,Unnamed: 0,Comuna,Partido,Porc_Pres,Porc_DipNac,Porc_JefGob,Porc_Com1,Porc_Com2,Porc_Com3,Porc_Com4,Porc_Com5,Porc_Com6,Porc_Com7,Porc_Com8,Porc_Com9,Porc_Com10,Porc_Com11,Porc_Com12,Porc_Com13,Porc_Com14,Porc_Com15
0,0,COMUNA 01,FIT,3.58,4.23,3.69,4.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,COMUNA 02,FIT,2.51,3.14,2.6,0.0,2.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22,COMUNA 03,FIT,4.37,5.18,4.52,0.0,0.0,5.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,33,COMUNA 04,FIT,4.24,4.69,4.24,0.0,0.0,0.0,3.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,44,COMUNA 05,FIT,4.71,5.79,4.94,0.0,0.0,0.0,0.0,5.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,55,COMUNA 06,FIT,4.11,5.17,4.32,0.0,0.0,0.0,0.0,0.0,4.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,66,COMUNA 07,FIT,3.91,4.75,4.04,0.0,0.0,0.0,0.0,0.0,0.0,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,77,COMUNA 08,FIT,3.75,3.92,3.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,88,COMUNA 09,FIT,3.92,4.34,3.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.16,0.0,0.0,0.0,0.0,0.0,0.0
99,99,COMUNA 10,FIT,4.34,4.97,4.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.56,0.0,0.0,0.0,0.0,0.0
110,110,COMUNA 11,FIT,3.96,4.66,3.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33,0.0,0.0,0.0,0.0
121,121,COMUNA 12,FIT,4.06,4.9,4.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.56,0.0,0.0,0.0
132,132,COMUNA 13,FIT,3.23,4.14,3.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.61,0.0,0.0
143,143,COMUNA 14,FIT,2.98,3.87,3.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.51,0.0
154,154,COMUNA 15,FIT,4.74,6.1,4.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1
