NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM1,VOTOS_RECURRIDO_COM1,PORCENTAJE_RECURRIDO_COM1
COMUNA 01,1001000001,7437,1,0.01
COMUNA 01,1001000002,6581,2,0.03
COMUNA 01,1001000003,3356,1,0.03
COMUNA 01,1001000005,5922,3,0.05
COMUNA 01,1001000006,11082,5,0.05
COMUNA 01,1001000007,5321,0,0.0
COMUNA 01,1001000008,5680,1,0.02
COMUNA 01,1001000009,7299,0,0.0
COMUNA 01,1001000010,8173,9,0.11
COMUNA 01,1001000011,8193,9,0.11
COMUNA 01,1001000012,7724,1,0.01
COMUNA 01,1001000013,8806,11,0.12
COMUNA 01,1001000014,3518,1,0.03
COMUNA 01,1001000015,5805,4,0.07
COMUNA 01,1001000016,5927,0,0.0
COMUNA 01,1001000017,8777,8,0.09
COMUNA 01,1001000018,4783,2,0.04
COMUNA 01,1001000019,7831,8,0.1
