NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM13,VOTOS_FDT_COM13,PORCENTAJE_FDT_COM13
COMUNA 13,1013000134,6826,1486,21.77
COMUNA 13,1013000135,9428,2039,21.63
COMUNA 13,1013000136,11643,2790,23.96
COMUNA 13,1013000137,10871,2707,24.9
COMUNA 13,1013000138,22202,4429,19.95
COMUNA 13,1013000139,14074,2604,18.5
COMUNA 13,1013000140,6552,1500,22.89
COMUNA 13,1013000141,11173,2339,20.93
COMUNA 13,1013000142,18591,2062,11.09
COMUNA 13,1013000143,13853,2564,18.51
COMUNA 13,1013000144,6185,1040,16.81
COMUNA 13,1013000145,11879,3236,27.24
COMUNA 13,1013000146,8802,2755,31.3
COMUNA 13,1013000147,15951,3066,19.22
