NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM14,VOTOS_FIT_COM14,PORCENTAJE_FIT_COM14,VOTOS_CF_COM14,PORCENTAJE_CF_COM14,VOTOS_FDT_COM14,PORCENTAJE_FDT_COM14,VOTOS_JXC_COM14,PORCENTAJE_JXC_COM14,VOTOS_NULO_COM14,PORCENTAJE_NULO_COM14,VOTOS_RECURRIDO_COM14,PORCENTAJE_RECURRIDO_COM14,VOTOS_IMPUGNADO_COM14,PORCENTAJE_IMPUGNADO_COM14,VOTOS_BLANCO_COM14,PORCENTAJE_BLANCO_COM14
COMUNA 14,1014000148,17051,499,2.93,959,5.62,2742,16.08,11018,64.62,111,0.65,3,0.02,1,0.01,830,4.87
COMUNA 14,1014000149,19261,489,2.54,1065,5.53,2985,15.5,12838,66.65,102,0.53,0,0.0,1,0.01,937,4.86
COMUNA 14,1014000150,9680,150,1.55,317,3.27,925,9.56,7418,76.63,36,0.37,8,0.08,1,0.01,357,3.69
COMUNA 14,1014000151,19465,432,2.22,861,4.42,2959,15.2,13331,68.49,122,0.63,9,0.05,3,0.02,834,4.28
COMUNA 14,1014000152,15310,450,2.94,694,4.53,2676,17.48,9876,64.51,93,0.61,5,0.03,8,0.05,766,5.0
COMUNA 14,1014000153,17560,742,4.23,1077,6.13,4129,23.51,9624,54.81,136,0.77,7,0.04,4,0.02,996,5.67
COMUNA 14,1014000154,20177,898,4.45,1217,6.03,5434,26.93,10328,51.19,208,1.03,5,0.02,22,0.11,1129,5.6
COMUNA 14,1014000155,18362,805,4.38,1131,6.16,5302,28.87,8968,48.84,166,0.9,2,0.01,0,0.0,1089,5.93
COMUNA 14,1014000156,7548,410,5.43,516,6.84,2457,32.55,3241,42.94,66,0.87,0,0.0,0,0.0,497,6.58
COMUNA 14,1014000157,12382,629,5.08,825,6.66,4029,32.54,5436,43.9,90,0.73,1,0.01,1,0.01,796,6.43
