NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM3,VOTOS_IMPUGNADO_COM3,PORCENTAJE_IMPUGNADO_COM3
COMUNA 03,1003000030,7953,0,0.0
COMUNA 03,1003000031,8906,6,0.07
COMUNA 03,1003000032,7975,0,0.0
COMUNA 03,1003000033,6284,0,0.0
COMUNA 03,1003000034,9989,0,0.0
COMUNA 03,1003000035,9281,0,0.0
COMUNA 03,1003000036,6246,0,0.0
COMUNA 03,1003000037,8255,0,0.0
COMUNA 03,1003000038,9021,0,0.0
COMUNA 03,1003000039,9468,0,0.0
COMUNA 03,1003000040,7368,0,0.0
COMUNA 03,1003000041,13698,5,0.04
COMUNA 03,1003000042,12464,1,0.01
