NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM4,VOTOS_BLANCO_COM4,PORCENTAJE_BLANCO_COM4
COMUNA 04,1004000043,12582,920,7.31
COMUNA 04,1004000044,9944,670,6.74
COMUNA 04,1004000045,7582,544,7.17
COMUNA 04,1004000046,6891,500,7.26
COMUNA 04,1004000047,17659,1727,9.78
COMUNA 04,1004000048,13871,993,7.16
COMUNA 04,1004000049,13679,944,6.9
COMUNA 04,1004000050,14169,931,6.57
COMUNA 04,1004000051,10508,864,8.22
COMUNA 04,1004000052,13391,1097,8.19
COMUNA 04,1004000053,15057,1459,9.69
COMUNA 04,1004000054,15777,1070,6.78
COMUNA 04,1004000055,10555,858,8.13
COMUNA 04,1004000056,9956,758,7.61
COMUNA 04,1004000057,20222,1640,8.11
