NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM4,VOTOS_CF_COM4,PORCENTAJE_CF_COM4
COMUNA 04,1004000043,12582,683,5.43
COMUNA 04,1004000044,9944,540,5.43
COMUNA 04,1004000045,7582,309,4.08
COMUNA 04,1004000046,6891,323,4.69
COMUNA 04,1004000047,17659,423,2.4
COMUNA 04,1004000048,13871,695,5.01
COMUNA 04,1004000049,13679,592,4.33
COMUNA 04,1004000050,14169,737,5.2
COMUNA 04,1004000051,10508,534,5.08
COMUNA 04,1004000052,13391,464,3.47
COMUNA 04,1004000053,15057,606,4.02
COMUNA 04,1004000054,15777,745,4.72
COMUNA 04,1004000055,10555,484,4.59
COMUNA 04,1004000056,9956,521,5.23
COMUNA 04,1004000057,20222,1182,5.85
