NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM7,VOTOS_FIT_COM7,PORCENTAJE_FIT_COM7,VOTOS_CF_COM7,PORCENTAJE_CF_COM7,VOTOS_FDT_COM7,PORCENTAJE_FDT_COM7,VOTOS_JXC_COM7,PORCENTAJE_JXC_COM7,VOTOS_NULO_COM7,PORCENTAJE_NULO_COM7,VOTOS_RECURRIDO_COM7,PORCENTAJE_RECURRIDO_COM7,VOTOS_IMPUGNADO_COM7,PORCENTAJE_IMPUGNADO_COM7,VOTOS_BLANCO_COM7,PORCENTAJE_BLANCO_COM7,VOTOS_OTROS_COM7,PORCENTAJE_OTROS_COM7
COMUNA 07,1007000075,8194,366,4.47,676,8.25,2623,32.01,3622,44.2,73,0.89,3,0.04,3,0.04,649,7.92,179,2.18
COMUNA 07,1007000076,13107,575,4.39,1069,8.16,4234,32.3,5658,43.17,106,0.81,5,0.04,1,0.01,1219,9.3,240,1.83
COMUNA 07,1007000077,10239,469,4.58,840,8.2,3822,37.33,3768,36.8,79,0.77,2,0.02,13,0.13,1047,10.23,199,1.94
COMUNA 07,1007000078,8193,309,3.77,603,7.36,3076,37.54,3077,37.56,80,0.98,6,0.07,0,0.0,870,10.62,172,2.1
COMUNA 07,1007000079,10072,466,4.63,706,7.01,3092,30.7,4480,44.48,68,0.68,3,0.03,45,0.45,1047,10.4,165,1.64
COMUNA 07,1007000080,10600,478,4.51,932,8.79,3185,30.05,4623,43.61,95,0.9,2,0.02,5,0.05,1088,10.26,192,1.81
COMUNA 07,1007000081,9824,437,4.45,781,7.95,2867,29.18,4481,45.61,101,1.03,28,0.29,0,0.0,945,9.62,184,1.87
COMUNA 07,1007000082,11678,508,4.35,883,7.56,3746,32.08,4998,42.8,84,0.72,5,0.04,3,0.03,1203,10.3,248,2.12
COMUNA 07,1007000083,16300,640,3.93,1282,7.87,4053,24.87,8292,50.87,128,0.79,8,0.05,1,0.01,1553,9.53,343,2.1
COMUNA 07,1007000084,8775,398,4.54,780,8.89,2948,33.6,3533,40.26,94,1.07,1,0.01,0,0.0,840,9.57,181,2.06
COMUNA 07,1007000085,6062,255,4.21,535,8.83,1729,28.52,2747,45.32,69,1.14,1,0.02,0,0.0,610,10.06,116,1.91
COMUNA 07,1007000086,21655,949,4.38,1262,5.83,10855,50.13,5409,24.98,206,0.95,4,0.02,5,0.02,2556,11.8,409,1.89
