NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_DIPNAC,VOTOS_FIT_DIPNAC,PORCENTAJE_FIT_DIPNAC,VOTOS_CF_DIPNAC,PORCENTAJE_CF_DIPNAC,VOTOS_FDT_DIPNAC,PORCENTAJE_FDT_DIPNAC,VOTOS_JXC_DIPNAC,PORCENTAJE_JXC_DIPNAC,VOTOS_ULD_DIPNAC,PORCENTAJE_ULD_DIPNAC,VOTOS_NULO_DIPNAC,PORCENTAJE_NULO_DIPNAC,VOTOS_RECURRIDO_DIPNAC,PORCENTAJE_RECURRIDO_DIPNAC,VOTOS_IMPUGNADO_DIPNAC,PORCENTAJE_IMPUGNADO_DIPNAC,VOTOS_BLANCO_DIPNAC,PORCENTAJE_BLANCO_DIPNAC,VOTOS_OTROS_DIPNAC,PORCENTAJE_OTROS_DIPNAC
COMUNA 01,1001000001,7115,414,5.82,428,6.02,2815,39.56,2648,37.22,182,2.56,43,0.6,2,0.03,3,0.04,283,3.98,297,4.17
COMUNA 01,1001000002,6635,401,6.04,396,5.97,2701,40.71,2296,34.6,199,3.0,75,1.13,2,0.03,0,0.0,279,4.2,286,4.31
COMUNA 01,1001000003,3377,47,1.39,150,4.44,435,12.88,2486,73.62,119,3.52,8,0.24,1,0.03,0,0.0,79,2.34,52,1.54
COMUNA 01,1001000005,5393,182,3.37,164,3.04,3372,62.53,892,16.54,86,1.59,54,1.0,4,0.07,1,0.02,499,9.25,139,2.58
COMUNA 01,1001000006,11100,187,1.68,371,3.34,1069,9.63,8111,73.07,316,2.85,53,0.48,5,0.05,1,0.01,338,3.05,649,5.85
COMUNA 01,1001000007,5335,133,2.49,249,4.67,817,15.31,3425,64.2,161,3.02,43,0.81,0,0.0,0,0.0,170,3.19,337,6.32
COMUNA 01,1001000008,5688,156,2.74,302,5.31,1197,21.04,3292,57.88,188,3.31,27,0.47,3,0.05,1,0.02,240,4.22,282,4.96
COMUNA 01,1001000009,7309,224,3.06,462,6.32,1845,25.24,3855,52.74,257,3.52,68,0.93,0,0.0,1,0.01,346,4.73,251,3.43
COMUNA 01,1001000010,8189,330,4.03,556,6.79,2025,24.73,4162,50.82,271,3.31,78,0.95,9,0.11,0,0.0,317,3.87,441,5.39
COMUNA 01,1001000011,8197,346,4.22,566,6.9,2795,34.1,3382,41.26,273,3.33,70,0.85,8,0.1,0,0.0,378,4.61,379,4.62
COMUNA 01,1001000012,7768,377,4.85,493,6.35,2700,34.76,3210,41.32,249,3.21,47,0.61,1,0.01,1,0.01,380,4.89,310,3.99
COMUNA 01,1001000013,8890,477,5.37,664,7.47,3154,35.48,3480,39.15,273,3.07,75,0.84,8,0.09,1,0.01,356,4.0,402,4.52
COMUNA 01,1001000014,3528,137,3.88,220,6.24,1205,34.16,1509,42.77,113,3.2,35,0.99,1,0.03,0,0.0,143,4.05,165,4.68
COMUNA 01,1001000015,5820,311,5.34,377,6.48,2393,41.12,2026,34.81,144,2.47,54,0.93,4,0.07,0,0.0,261,4.48,250,4.3
COMUNA 01,1001000016,5943,343,5.77,413,6.95,2250,37.86,2203,37.07,161,2.71,50,0.84,0,0.0,0,0.0,282,4.75,241,4.06
COMUNA 01,1001000017,8778,459,5.23,571,6.5,3465,39.47,3114,35.48,243,2.77,95,1.08,7,0.08,0,0.0,420,4.78,404,4.6
COMUNA 01,1001000018,4859,234,4.82,353,7.26,2041,42.0,1588,32.68,159,3.27,35,0.72,2,0.04,0,0.0,245,5.04,202,4.16
COMUNA 01,1001000019,7851,391,4.98,496,6.32,3414,43.48,2556,32.56,200,2.55,59,0.75,7,0.09,0,0.0,431,5.49,297,3.78
COMUNA 02,1002000020,6947,156,2.25,281,4.04,1290,18.57,4403,63.38,216,3.11,47,0.68,14,0.2,2,0.03,219,3.15,319,4.59
COMUNA 02,1002000021,8080,144,1.78,273,3.38,740,9.16,5975,73.95,222,2.75,40,0.5,1,0.01,0,0.0,239,2.96,446,5.52
COMUNA 02,1002000022,11875,435,3.66,703,5.92,2232,18.8,7205,60.67,370,3.12,83,0.7,4,0.03,7,0.06,415,3.49,421,3.55
COMUNA 02,1002000023,14752,494,3.35,888,6.02,2775,18.81,8912,60.41,431,2.92,108,0.73,11,0.07,4,0.03,457,3.1,672,4.56
COMUNA 02,1002000024,9689,273,2.82,474,4.89,1480,15.28,6193,63.92,254,2.62,54,0.56,7,0.07,4,0.04,288,2.97,662,6.83
COMUNA 02,1002000025,9401,226,2.4,415,4.41,1235,13.14,6310,67.12,290,3.08,62,0.66,3,0.03,1,0.01,248,2.64,611,6.5
COMUNA 02,1002000026,12226,252,2.06,523,4.28,1446,11.83,8389,68.62,354,2.9,70,0.57,0,0.0,1,0.01,367,3.0,824,6.74
COMUNA 02,1002000027,9137,327,3.58,563,6.16,1889,20.67,5172,56.61,289,3.16,108,1.18,0,0.0,0,0.0,298,3.26,491,5.37
COMUNA 02,1002000028,13207,572,4.33,863,6.53,3238,24.52,7067,53.51,433,3.28,111,0.84,2,0.02,0,0.0,405,3.07,516,3.91
COMUNA 02,1002000029,8625,382,4.43,590,6.84,2102,24.37,4611,53.46,259,3.0,69,0.8,1,0.01,2,0.02,272,3.15,337,3.91
COMUNA 03,1003000030,7979,361,4.52,609,7.63,2272,28.47,3701,46.38,217,2.72,94,1.18,1,0.01,0,0.0,424,5.31,300,3.76
COMUNA 03,1003000031,8888,416,4.68,623,7.01,2538,28.56,4176,46.98,285,3.21,90,1.01,1,0.01,0,0.0,395,4.44,364,4.1
COMUNA 03,1003000032,7974,405,5.08,567,7.11,2383,29.88,3507,43.98,227,2.85,85,1.07,1,0.01,0,0.0,368,4.61,431,5.41
COMUNA 03,1003000033,6432,327,5.08,440,6.84,2089,32.48,2706,42.07,196,3.05,77,1.2,1,0.02,0,0.0,343,5.33,253,3.93
COMUNA 03,1003000034,10020,493,4.92,703,7.02,3244,32.38,4230,42.22,346,3.45,109,1.09,4,0.04,0,0.0,457,4.56,434,4.33
COMUNA 03,1003000035,9306,507,5.45,685,7.36,3445,37.02,3492,37.52,243,2.61,87,0.93,3,0.03,0,0.0,455,4.89,389,4.18
COMUNA 03,1003000036,6278,364,5.8,447,7.12,2617,41.69,2024,32.24,182,2.9,68,1.08,1,0.02,0,0.0,298,4.75,277,4.41
COMUNA 03,1003000037,8258,438,5.3,607,7.35,3064,37.1,3075,37.24,253,3.06,86,1.04,2,0.02,0,0.0,383,4.64,350,4.24
COMUNA 03,1003000038,9107,439,4.82,614,6.74,3353,36.82,3534,38.81,281,3.09,78,0.86,2,0.02,0,0.0,401,4.4,405,4.45
COMUNA 03,1003000039,9583,498,5.2,624,6.51,3385,35.32,3817,39.83,332,3.46,106,1.11,0,0.0,0,0.0,383,4.0,438,4.57
COMUNA 03,1003000040,7371,373,5.06,529,7.18,2581,35.02,2951,40.04,235,3.19,79,1.07,4,0.05,0,0.0,321,4.35,298,4.04
COMUNA 03,1003000041,13721,777,5.66,1002,7.3,5230,38.12,4893,35.66,424,3.09,157,1.14,2,0.01,5,0.04,605,4.41,626,4.56
COMUNA 03,1003000042,12062,664,5.5,833,6.91,4380,36.31,4635,38.43,359,2.98,128,1.06,2,0.02,1,0.01,563,4.67,497,4.12
COMUNA 04,1004000043,9232,504,5.46,714,7.73,3398,36.81,3363,36.43,299,3.24,97,1.05,1,0.01,0,0.0,455,4.93,401,4.34
COMUNA 04,1004000044,7311,418,5.72,587,8.03,2657,36.34,2710,37.07,223,3.05,102,1.4,0,0.0,0,0.0,324,4.43,290,3.97
COMUNA 04,1004000045,5353,266,4.97,314,5.87,2211,41.3,1865,34.84,152,2.84,60,1.12,2,0.04,0,0.0,290,5.42,193,3.61
COMUNA 04,1004000046,4881,241,4.94,341,6.99,1992,40.81,1633,33.46,150,3.07,47,0.96,1,0.02,0,0.0,262,5.37,214,4.38
COMUNA 04,1004000047,11181,327,2.92,448,4.01,6563,58.7,1723,15.41,131,1.17,71,0.64,0,0.0,6,0.05,1612,14.42,300,2.68
COMUNA 04,1004000048,10295,480,4.66,754,7.32,3565,34.63,4219,40.98,290,2.82,100,0.97,2,0.02,1,0.01,468,4.55,416,4.04
COMUNA 04,1004000049,9129,455,4.98,608,6.66,3484,38.16,3255,35.66,259,2.84,93,1.02,3,0.03,3,0.03,574,6.29,395,4.33
COMUNA 04,1004000050,10959,580,5.29,793,7.24,3269,29.83,5063,46.2,307,2.8,129,1.18,9,0.08,1,0.01,426,3.89,382,3.49
COMUNA 04,1004000051,8034,339,4.22,573,7.13,2447,30.46,3629,45.17,246,3.06,65,0.81,5,0.06,7,0.09,386,4.8,337,4.19
COMUNA 04,1004000052,9454,485,5.13,501,5.3,4069,43.04,2958,31.29,226,2.39,82,0.87,5,0.05,10,0.11,743,7.86,375,3.97
COMUNA 04,1004000053,10692,425,3.97,633,5.92,4565,42.7,3276,30.64,246,2.3,96,0.9,0,0.0,0,0.0,1018,9.52,433,4.05
COMUNA 04,1004000054,11477,576,5.02,790,6.88,4283,37.32,4313,37.58,292,2.54,99,0.86,2,0.02,0,0.0,669,5.83,453,3.95
COMUNA 04,1004000055,7420,324,4.37,566,7.63,3133,42.22,2366,31.89,200,2.7,89,1.2,0,0.0,4,0.05,458,6.17,280,3.77
COMUNA 04,1004000056,6864,300,4.37,530,7.72,2890,42.1,2159,31.45,197,2.87,65,0.95,0,0.0,0,0.0,473,6.89,250,3.64
COMUNA 04,1004000057,14630,707,4.83,1219,8.33,5534,37.83,5111,34.94,443,3.03,129,0.88,2,0.01,4,0.03,863,5.9,618,4.22
COMUNA 05,1005000058,10877,597,5.49,908,8.35,4086,37.57,3851,35.4,367,3.37,120,1.1,2,0.02,0,0.0,469,4.31,477,4.39
COMUNA 05,1005000059,10361,634,6.12,854,8.24,3926,37.89,3656,35.29,321,3.1,97,0.94,2,0.02,0,0.0,462,4.46,409,3.95
COMUNA 05,1005000060,12266,720,5.87,1019,8.31,4313,35.16,4622,37.68,364,2.97,129,1.05,2,0.02,0,0.0,536,4.37,561,4.57
COMUNA 05,1005000061,11723,587,5.01,898,7.66,3586,30.59,5235,44.66,366,3.12,82,0.7,7,0.06,0,0.0,397,3.39,565,4.82
COMUNA 05,1005000062,8034,456,5.68,627,7.8,2828,35.2,3071,38.23,249,3.1,68,0.85,4,0.05,2,0.02,359,4.47,370,4.61
COMUNA 05,1005000063,15526,904,5.82,1207,7.77,4976,32.05,6494,41.83,532,3.43,133,0.86,4,0.03,3,0.02,595,3.83,678,4.37
COMUNA 05,1005000064,16714,928,5.55,1218,7.29,5537,33.13,6974,41.73,477,2.85,169,1.01,2,0.01,2,0.01,647,3.87,760,4.55
COMUNA 05,1005000065,10516,611,5.81,795,7.56,3411,32.44,4455,42.36,290,2.76,110,1.05,9,0.09,1,0.01,377,3.59,457,4.35
COMUNA 05,1005000066,10193,635,6.23,761,7.47,3328,32.65,4167,40.88,350,3.43,91,0.89,3,0.03,0,0.0,397,3.89,461,4.52
COMUNA 05,1005000067,15739,993,6.31,1197,7.61,5102,32.42,6544,41.58,432,2.74,137,0.87,3,0.02,7,0.04,608,3.86,716,4.55
COMUNA 06,1006000068,15765,926,5.87,1239,7.86,4949,31.39,6682,42.39,474,3.01,148,0.94,7,0.04,0,0.0,581,3.69,759,4.81
COMUNA 06,1006000069,22535,1048,4.65,1762,7.82,5711,25.34,11413,50.65,696,3.09,197,0.87,10,0.04,2,0.01,750,3.33,946,4.2
COMUNA 06,1006000070,20684,1128,5.45,1622,7.84,6166,29.81,9223,44.59,639,3.09,196,0.95,5,0.02,0,0.0,759,3.67,946,4.57
COMUNA 06,1006000071,24724,1125,4.55,1903,7.7,6643,26.87,12077,48.85,836,3.38,223,0.9,4,0.02,1,0.0,859,3.47,1053,4.26
COMUNA 06,1006000072,10770,655,6.08,930,8.64,3536,32.83,4194,38.94,349,3.24,134,1.24,5,0.05,3,0.03,402,3.73,562,5.22
COMUNA 06,1006000073,13842,853,6.16,1130,8.16,4299,31.06,5836,42.16,391,2.82,154,1.11,4,0.03,0,0.0,519,3.75,656,4.74
COMUNA 06,1006000074,19277,862,4.47,1564,8.11,4713,24.45,9834,51.01,652,3.38,151,0.78,2,0.01,2,0.01,645,3.35,852,4.42
