NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_DIPNAC,VOTOS_JXC_DIPNAC,PORCENTAJE_JXC_DIPNAC
COMUNA 01,1001000001,7115,2648,37.22
COMUNA 01,1001000002,6635,2296,34.6
COMUNA 01,1001000003,3377,2486,73.62
COMUNA 01,1001000005,5393,892,16.54
COMUNA 01,1001000006,11100,8111,73.07
COMUNA 01,1001000007,5335,3425,64.2
COMUNA 01,1001000008,5688,3292,57.88
COMUNA 01,1001000009,7309,3855,52.74
COMUNA 01,1001000010,8189,4162,50.82
COMUNA 01,1001000011,8197,3382,41.26
COMUNA 01,1001000012,7768,3210,41.32
COMUNA 01,1001000013,8890,3480,39.15
COMUNA 01,1001000014,3528,1509,42.77
COMUNA 01,1001000015,5820,2026,34.81
COMUNA 01,1001000016,5943,2203,37.07
COMUNA 01,1001000017,8778,3114,35.48
COMUNA 01,1001000018,4859,1588,32.68
COMUNA 01,1001000019,7851,2556,32.56
COMUNA 02,1002000020,6947,4403,63.38
COMUNA 02,1002000021,8080,5975,73.95
COMUNA 02,1002000022,11875,7205,60.67
COMUNA 02,1002000023,14752,8912,60.41
COMUNA 02,1002000024,9689,6193,63.92
COMUNA 02,1002000025,9401,6310,67.12
COMUNA 02,1002000026,12226,8389,68.62
COMUNA 02,1002000027,9137,5172,56.61
COMUNA 02,1002000028,13207,7067,53.51
COMUNA 02,1002000029,8625,4611,53.46
COMUNA 03,1003000030,7979,3701,46.38
COMUNA 03,1003000031,8888,4176,46.98
COMUNA 03,1003000032,7974,3507,43.98
COMUNA 03,1003000033,6432,2706,42.07
COMUNA 03,1003000034,10020,4230,42.22
COMUNA 03,1003000035,9306,3492,37.52
COMUNA 03,1003000036,6278,2024,32.24
COMUNA 03,1003000037,8258,3075,37.24
COMUNA 03,1003000038,9107,3534,38.81
COMUNA 03,1003000039,9583,3817,39.83
COMUNA 03,1003000040,7371,2951,40.04
COMUNA 03,1003000041,13721,4893,35.66
COMUNA 03,1003000042,12062,4635,38.43
COMUNA 04,1004000043,9232,3363,36.43
COMUNA 04,1004000044,7311,2710,37.07
COMUNA 04,1004000045,5353,1865,34.84
COMUNA 04,1004000046,4881,1633,33.46
COMUNA 04,1004000047,11181,1723,15.41
COMUNA 04,1004000048,10295,4219,40.98
COMUNA 04,1004000049,9129,3255,35.66
COMUNA 04,1004000050,10959,5063,46.2
COMUNA 04,1004000051,8034,3629,45.17
COMUNA 04,1004000052,9454,2958,31.29
COMUNA 04,1004000053,10692,3276,30.64
COMUNA 04,1004000054,11477,4313,37.58
COMUNA 04,1004000055,7420,2366,31.89
COMUNA 04,1004000056,6864,2159,31.45
COMUNA 04,1004000057,14630,5111,34.94
COMUNA 05,1005000058,10877,3851,35.4
COMUNA 05,1005000059,10361,3656,35.29
COMUNA 05,1005000060,12266,4622,37.68
COMUNA 05,1005000061,11723,5235,44.66
COMUNA 05,1005000062,8034,3071,38.23
COMUNA 05,1005000063,15526,6494,41.83
COMUNA 05,1005000064,16714,6974,41.73
COMUNA 05,1005000065,10516,4455,42.36
COMUNA 05,1005000066,10193,4167,40.88
COMUNA 05,1005000067,15739,6544,41.58
COMUNA 06,1006000068,15765,6682,42.39
COMUNA 06,1006000069,22535,11413,50.65
COMUNA 06,1006000070,20684,9223,44.59
COMUNA 06,1006000071,24724,12077,48.85
COMUNA 06,1006000072,10770,4194,38.94
COMUNA 06,1006000073,13842,5836,42.16
COMUNA 06,1006000074,19277,9834,51.01
