NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_DIPNAC,VOTOS_NULO_DIPNAC,PORCENTAJE_NULO_DIPNAC
COMUNA 01,1001000001,7115,43,0.6
COMUNA 01,1001000002,6635,75,1.13
COMUNA 01,1001000003,3377,8,0.24
COMUNA 01,1001000005,5393,54,1.0
COMUNA 01,1001000006,11100,53,0.48
COMUNA 01,1001000007,5335,43,0.81
COMUNA 01,1001000008,5688,27,0.47
COMUNA 01,1001000009,7309,68,0.93
COMUNA 01,1001000010,8189,78,0.95
COMUNA 01,1001000011,8197,70,0.85
COMUNA 01,1001000012,7768,47,0.61
COMUNA 01,1001000013,8890,75,0.84
COMUNA 01,1001000014,3528,35,0.99
COMUNA 01,1001000015,5820,54,0.93
COMUNA 01,1001000016,5943,50,0.84
COMUNA 01,1001000017,8778,95,1.08
COMUNA 01,1001000018,4859,35,0.72
COMUNA 01,1001000019,7851,59,0.75
COMUNA 02,1002000020,6947,47,0.68
COMUNA 02,1002000021,8080,40,0.5
COMUNA 02,1002000022,11875,83,0.7
COMUNA 02,1002000023,14752,108,0.73
COMUNA 02,1002000024,9689,54,0.56
COMUNA 02,1002000025,9401,62,0.66
COMUNA 02,1002000026,12226,70,0.57
COMUNA 02,1002000027,9137,108,1.18
COMUNA 02,1002000028,13207,111,0.84
COMUNA 02,1002000029,8625,69,0.8
COMUNA 03,1003000030,7979,94,1.18
COMUNA 03,1003000031,8888,90,1.01
COMUNA 03,1003000032,7974,85,1.07
COMUNA 03,1003000033,6432,77,1.2
COMUNA 03,1003000034,10020,109,1.09
COMUNA 03,1003000035,9306,87,0.93
COMUNA 03,1003000036,6278,68,1.08
COMUNA 03,1003000037,8258,86,1.04
COMUNA 03,1003000038,9107,78,0.86
COMUNA 03,1003000039,9583,106,1.11
COMUNA 03,1003000040,7371,79,1.07
COMUNA 03,1003000041,13721,157,1.14
COMUNA 03,1003000042,12062,128,1.06
COMUNA 04,1004000043,9232,97,1.05
COMUNA 04,1004000044,7311,102,1.4
COMUNA 04,1004000045,5353,60,1.12
COMUNA 04,1004000046,4881,47,0.96
COMUNA 04,1004000047,11181,71,0.64
COMUNA 04,1004000048,10295,100,0.97
COMUNA 04,1004000049,9129,93,1.02
COMUNA 04,1004000050,10959,129,1.18
COMUNA 04,1004000051,8034,65,0.81
COMUNA 04,1004000052,9454,82,0.87
COMUNA 04,1004000053,10692,96,0.9
COMUNA 04,1004000054,11477,99,0.86
COMUNA 04,1004000055,7420,89,1.2
COMUNA 04,1004000056,6864,65,0.95
COMUNA 04,1004000057,14630,129,0.88
COMUNA 05,1005000058,10877,120,1.1
COMUNA 05,1005000059,10361,97,0.94
COMUNA 05,1005000060,12266,129,1.05
COMUNA 05,1005000061,11723,82,0.7
COMUNA 05,1005000062,8034,68,0.85
COMUNA 05,1005000063,15526,133,0.86
COMUNA 05,1005000064,16714,169,1.01
COMUNA 05,1005000065,10516,110,1.05
COMUNA 05,1005000066,10193,91,0.89
COMUNA 05,1005000067,15739,137,0.87
COMUNA 06,1006000068,15765,148,0.94
COMUNA 06,1006000069,22535,197,0.87
COMUNA 06,1006000070,20684,196,0.95
COMUNA 06,1006000071,24724,223,0.9
COMUNA 06,1006000072,10770,134,1.24
COMUNA 06,1006000073,13842,154,1.11
COMUNA 06,1006000074,19277,151,0.78
COMUNA 07,1007000075,8275,78,0.94
COMUNA 07,1007000076,13207,112,0.85
COMUNA 07,1007000077,10308,87,0.84
COMUNA 07,1007000078,8195,81,0.99
COMUNA 07,1007000079,10047,76,0.76
COMUNA 07,1007000080,10633,113,1.06
COMUNA 07,1007000081,9827,103,1.05
COMUNA 07,1007000082,11287,97,0.86
