NOMBRE_REGION,VOTOS_TOTALES_DIPNAC,VOTOS_FIT_DIPNAC,PORCENTAJE_FIT_DIPNAC,VOTOS_CF_DIPNAC,PORCENTAJE_CF_DIPNAC,VOTOS_FDT_DIPNAC,PORCENTAJE_FDT_DIPNAC,VOTOS_JXC_DIPNAC,PORCENTAJE_JXC_DIPNAC,VOTOS_ULD_DIPNAC,PORCENTAJE_ULD_DIPNAC,VOTOS_NULO_DIPNAC,PORCENTAJE_NULO_DIPNAC,VOTOS_RECURRIDO_DIPNAC,PORCENTAJE_RECURRIDO_DIPNAC,VOTOS_IMPUGNADO_DIPNAC,PORCENTAJE_IMPUGNADO_DIPNAC,VOTOS_BLANCO_DIPNAC,PORCENTAJE_BLANCO_DIPNAC
COMUNA 01,121775,5149,4.23,7231,5.94,39693,32.6,54235,44.54,3594,2.95,969,0.8,64,0.05,9,0.01,5447,4.47
COMUNA 02,103939,3261,3.14,5573,5.36,18427,17.73,64237,61.8,3118,3.0,752,0.72,43,0.04,21,0.02,3208,3.09
COMUNA 03,116979,6062,5.18,8283,7.08,40581,34.69,46741,39.96,3580,3.06,1244,1.06,24,0.02,6,0.01,5396,4.61
COMUNA 04,136912,6427,4.69,9371,6.84,54060,39.49,47643,34.8,3661,2.67,1324,0.97,32,0.02,36,0.03,9021,6.59
COMUNA 05,121949,7065,5.79,9484,7.78,41093,33.7,49069,40.24,3748,3.07,1136,0.93,38,0.03,15,0.01,4847,3.97
COMUNA 06,127597,6597,5.17,10150,7.95,36017,28.23,59259,46.44,4037,3.16,1203,0.94,37,0.03,8,0.01,4515,3.54
COMUNA 07,133888,6361,4.75,10864,8.11,45034,33.64,53916,40.27,4431,3.31,1266,0.95,54,0.04,57,0.04,6125,4.57
COMUNA 08,106347,4164,3.92,7402,6.96,48922,46.0,32172,30.25,2697,2.54,1096,1.03,42,0.04,49,0.05,6356,5.98
COMUNA 09,116615,5056,4.34,10564,9.06,42907,36.79,43213,37.06,3833,3.29,1171,1.0,26,0.02,32,0.03,5369,4.6
COMUNA 10,118715,5900,4.97,10910,9.19,38467,32.4,47745,40.22,3733,3.14,1293,1.09,64,0.05,29,0.02,5224,4.4
COMUNA 11,137473,6413,4.66,12284,8.94,40269,29.29,61243,44.55,4588,3.34,1459,1.06,36,0.03,20,0.01,5246,3.82
COMUNA 12,151949,7440,4.9,12715,8.37,43184,28.42,70250,46.23,4983,3.28,1502,0.99,34,0.02,23,0.02,5684,3.74
COMUNA 13,168452,6982,4.14,10896,6.47,34021,20.2,97722,58.01,5402,3.21,1382,0.82,49,0.03,14,0.01,5837,3.47
COMUNA 14,156863,6070,3.87,9293,5.92,33295,21.23,91266,58.18,4602,2.93,1253,0.8,35,0.02,21,0.01,5333,3.4
COMUNA 15,128567,7848,6.1,9709,7.55,43788,34.06,50999,39.67,3605,2.8,1345,1.05,57,0.04,18,0.01,5209,4.05
