NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_JEFGOB,VOTOS_BLANCO_JEFGOB,PORCENTAJE_BLANCO_JEFGOB
COMUNA 01,1001000001,7443,467,6.27
COMUNA 01,1001000002,6602,528,8.0
COMUNA 01,1001000003,3349,156,4.66
COMUNA 01,1001000005,5952,677,11.37
COMUNA 01,1001000006,11079,770,6.95
COMUNA 01,1001000007,5332,401,7.52
COMUNA 01,1001000008,5681,500,8.8
COMUNA 01,1001000009,7297,624,8.55
COMUNA 01,1001000010,8179,680,8.31
COMUNA 01,1001000011,8196,740,9.03
COMUNA 01,1001000012,7740,691,8.93
COMUNA 01,1001000013,8833,654,7.4
COMUNA 01,1001000014,3518,310,8.81
COMUNA 01,1001000015,5886,526,8.94
COMUNA 01,1001000016,5930,494,8.33
COMUNA 01,1001000017,8786,757,8.62
COMUNA 01,1001000018,4795,403,8.4
COMUNA 01,1001000019,7836,728,9.29
COMUNA 02,1002000020,6924,487,7.03
COMUNA 02,1002000021,8050,583,7.24
COMUNA 02,1002000022,11863,839,7.07
COMUNA 02,1002000023,14640,1000,6.83
COMUNA 02,1002000024,9631,648,6.73
COMUNA 02,1002000025,9374,701,7.48
COMUNA 02,1002000026,12218,955,7.82
COMUNA 02,1002000027,9236,711,7.7
COMUNA 02,1002000028,13173,937,7.11
COMUNA 02,1002000029,8610,613,7.12
COMUNA 03,1003000030,7958,697,8.76
COMUNA 03,1003000031,8871,759,8.56
COMUNA 03,1003000032,7975,696,8.73
COMUNA 03,1003000033,6380,554,8.68
COMUNA 03,1003000034,9989,897,8.98
COMUNA 03,1003000035,9287,799,8.6
COMUNA 03,1003000036,6207,534,8.6
COMUNA 03,1003000037,8264,705,8.53
COMUNA 03,1003000038,9065,735,8.11
COMUNA 03,1003000039,9572,833,8.7
COMUNA 03,1003000040,7372,617,8.37
COMUNA 03,1003000041,13710,1197,8.73
COMUNA 03,1003000042,12455,1004,8.06
COMUNA 04,1004000043,9225,798,8.65
COMUNA 04,1004000044,7284,596,8.18
COMUNA 04,1004000045,5355,513,9.58
COMUNA 04,1004000046,4895,465,9.5
COMUNA 04,1004000047,11120,1916,17.23
COMUNA 04,1004000048,10278,886,8.62
COMUNA 04,1004000049,9729,950,9.76
COMUNA 04,1004000050,10935,759,6.94
COMUNA 04,1004000051,8030,758,9.44
COMUNA 04,1004000052,9372,1173,12.52
COMUNA 04,1004000053,10658,1374,12.89
COMUNA 04,1004000054,11458,1083,9.45
COMUNA 04,1004000055,7381,763,10.34
COMUNA 04,1004000056,7055,735,10.42
COMUNA 04,1004000057,14602,1434,9.82
COMUNA 05,1005000058,10805,872,8.07
COMUNA 05,1005000059,10334,869,8.41
COMUNA 05,1005000060,12535,994,7.93
COMUNA 05,1005000061,11673,819,7.02
COMUNA 05,1005000062,8020,709,8.84
COMUNA 05,1005000063,15488,1196,7.72
COMUNA 05,1005000064,16662,1191,7.15
COMUNA 05,1005000065,10491,766,7.3
COMUNA 05,1005000066,10159,760,7.48
COMUNA 05,1005000067,15733,1104,7.02
COMUNA 06,1006000068,15954,1141,7.15
COMUNA 06,1006000069,22482,1524,6.78
COMUNA 06,1006000070,20636,1498,7.26
COMUNA 06,1006000071,24687,1733,7.02
COMUNA 06,1006000072,10784,868,8.05
COMUNA 06,1006000073,13824,975,7.05
COMUNA 06,1006000074,19233,1355,7.05
COMUNA 07,1007000075,8240,549,6.66
COMUNA 07,1007000076,13173,969,7.36
COMUNA 07,1007000077,10243,867,8.46
COMUNA 07,1007000078,8193,729,8.9
COMUNA 07,1007000079,10045,930,9.26
COMUNA 07,1007000080,10619,893,8.41
COMUNA 07,1007000081,9827,791,8.05
COMUNA 07,1007000082,11642,983,8.44
COMUNA 07,1007000083,16254,1296,7.97
