NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_JEFGOB,VOTOS_NULO_JEFGOB,PORCENTAJE_NULO_JEFGOB
COMUNA 01,1001000001,7443,42,0.56
COMUNA 01,1001000002,6602,67,1.01
COMUNA 01,1001000003,3349,11,0.33
COMUNA 01,1001000005,5952,58,0.97
COMUNA 01,1001000006,11079,45,0.41
COMUNA 01,1001000007,5332,37,0.69
COMUNA 01,1001000008,5681,26,0.46
COMUNA 01,1001000009,7297,68,0.93
COMUNA 01,1001000010,8179,73,0.89
COMUNA 01,1001000011,8196,59,0.72
COMUNA 01,1001000012,7740,42,0.54
COMUNA 01,1001000013,8833,67,0.76
COMUNA 01,1001000014,3518,32,0.91
COMUNA 01,1001000015,5886,50,0.85
COMUNA 01,1001000016,5930,49,0.83
COMUNA 01,1001000017,8786,98,1.12
COMUNA 01,1001000018,4795,33,0.69
COMUNA 01,1001000019,7836,57,0.73
COMUNA 02,1002000020,6924,42,0.61
COMUNA 02,1002000021,8050,36,0.45
COMUNA 02,1002000022,11863,76,0.64
COMUNA 02,1002000023,14640,89,0.61
COMUNA 02,1002000024,9631,45,0.47
COMUNA 02,1002000025,9374,50,0.53
COMUNA 02,1002000026,12218,67,0.55
COMUNA 02,1002000027,9236,91,0.99
COMUNA 02,1002000028,13173,96,0.73
COMUNA 02,1002000029,8610,70,0.81
COMUNA 03,1003000030,7958,92,1.16
COMUNA 03,1003000031,8871,89,1.0
COMUNA 03,1003000032,7975,76,0.95
COMUNA 03,1003000033,6380,72,1.13
COMUNA 03,1003000034,9989,104,1.04
COMUNA 03,1003000035,9287,83,0.89
COMUNA 03,1003000036,6207,59,0.95
COMUNA 03,1003000037,8264,85,1.03
COMUNA 03,1003000038,9065,68,0.75
COMUNA 03,1003000039,9572,101,1.06
COMUNA 03,1003000040,7372,73,0.99
COMUNA 03,1003000041,13710,142,1.04
COMUNA 03,1003000042,12455,122,0.98
COMUNA 04,1004000043,9225,87,0.94
COMUNA 04,1004000044,7284,90,1.24
COMUNA 04,1004000045,5355,55,1.03
COMUNA 04,1004000046,4895,42,0.86
COMUNA 04,1004000047,11120,74,0.67
COMUNA 04,1004000048,10278,86,0.84
COMUNA 04,1004000049,9729,108,1.11
COMUNA 04,1004000050,10935,132,1.21
COMUNA 04,1004000051,8030,66,0.82
COMUNA 04,1004000052,9372,73,0.78
COMUNA 04,1004000053,10658,92,0.86
COMUNA 04,1004000054,11458,97,0.85
COMUNA 04,1004000055,7381,89,1.21
COMUNA 04,1004000056,7055,61,0.86
COMUNA 04,1004000057,14602,115,0.79
COMUNA 05,1005000058,10805,120,1.11
COMUNA 05,1005000059,10334,88,0.85
COMUNA 05,1005000060,12535,125,1.0
COMUNA 05,1005000061,11673,77,0.66
COMUNA 05,1005000062,8020,69,0.86
COMUNA 05,1005000063,15488,121,0.78
COMUNA 05,1005000064,16662,160,0.96
COMUNA 05,1005000065,10491,90,0.86
COMUNA 05,1005000066,10159,105,1.03
COMUNA 05,1005000067,15733,122,0.78
COMUNA 06,1006000068,15954,125,0.78
COMUNA 06,1006000069,22482,178,0.79
COMUNA 06,1006000070,20636,177,0.86
COMUNA 06,1006000071,24687,215,0.87
COMUNA 06,1006000072,10784,120,1.11
COMUNA 06,1006000073,13824,149,1.08
COMUNA 06,1006000074,19233,140,0.73
COMUNA 07,1007000075,8240,74,0.9
COMUNA 07,1007000076,13173,105,0.8
COMUNA 07,1007000077,10243,74,0.72
COMUNA 07,1007000078,8193,79,0.96
COMUNA 07,1007000079,10045,65,0.65
COMUNA 07,1007000080,10619,97,0.91
COMUNA 07,1007000081,9827,100,1.02
COMUNA 07,1007000082,11642,88,0.76
COMUNA 07,1007000083,16254,140,0.86
COMUNA 07,1007000084,8807,95,1.08
COMUNA 07,1007000085,5944,70,1.18
COMUNA 07,1007000086,21689,201,0.93
COMUNA 08,1008000087,23404,219,0.94
COMUNA 08,1008000088,14138,178,1.26
COMUNA 08,1008000089,35863,358,1.0
COMUNA 08,1008000090,33991,340,1.0
COMUNA 09,1009000091,6700,81,1.21
COMUNA 09,1009000092,10715,120,1.12
COMUNA 09,1009000093,6641,76,1.14
COMUNA 09,1009000094,9240,113,1.22
COMUNA 09,1009000095,15016,178,1.19
COMUNA 09,1009000096,8477,71,0.84
COMUNA 09,1009000097,10973,98,0.89
COMUNA 09,1009000098,15977,116,0.73
COMUNA 09,1009000099,8715,80,0.92
COMUNA 09,1009000100,11066,77,0.7
COMUNA 09,1009000101,13389,139,1.04
COMUNA 10,1010000102,10471,107,1.02
COMUNA 10,1010000103,10287,127,1.23
COMUNA 10,1010000104,10034,118,1.18
COMUNA 10,1010000105,14914,140,0.94
COMUNA 10,1010000106,9296,113,1.22
COMUNA 10,1010000107,15373,151,0.98
COMUNA 10,1010000108,9722,98,1.01
COMUNA 10,1010000109,15163,141,0.93
COMUNA 10,1010000110,8073,77,0.95
COMUNA 10,1010000111,8959,96,1.07
COMUNA 10,1010000112,6584,75,1.14
COMUNA 11,1011000113,10224,94,0.92
COMUNA 11,1011000114,13502,130,0.96
COMUNA 11,1011000115,9362,97,1.04
COMUNA 11,1011000116,13529,135,1.0
COMUNA 11,1011000117,14767,169,1.14
