NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_JEFGOB,VOTOS_FIT_JEFGOB,PORCENTAJE_FIT_JEFGOB,VOTOS_CF_JEFGOB,PORCENTAJE_CF_JEFGOB,VOTOS_FDT_JEFGOB,PORCENTAJE_FDT_JEFGOB,VOTOS_JXC_JEFGOB,PORCENTAJE_JXC_JEFGOB,VOTOS_ULD_JEFGOB,PORCENTAJE_ULD_JEFGOB,VOTOS_NULO_JEFGOB,PORCENTAJE_NULO_JEFGOB,VOTOS_RECURRIDO_JEFGOB,PORCENTAJE_RECURRIDO_JEFGOB,VOTOS_IMPUGNADO_JEFGOB,PORCENTAJE_IMPUGNADO_JEFGOB,VOTOS_BLANCO_JEFGOB,PORCENTAJE_BLANCO_JEFGOB,VOTOS_OTROS_JEFGOB,PORCENTAJE_OTROS_JEFGOB
COMUNA 01,1001000001,7443,371,4.98,417,5.6,3070,41.25,2865,38.49,6,0.08,42,0.56,1,0.01,3,0.04,467,6.27,201,2.7
COMUNA 01,1001000002,6602,331,5.01,389,5.89,2741,41.52,2369,35.88,2,0.03,67,1.01,2,0.03,0,0.0,528,8.0,173,2.62
COMUNA 01,1001000003,3349,33,0.99,145,4.33,448,13.38,2524,75.37,9,0.27,11,0.33,1,0.03,0,0.0,156,4.66,22,0.66
COMUNA 01,1001000005,5952,212,3.56,181,3.04,3753,63.05,998,16.77,0,0.0,58,0.97,3,0.05,1,0.02,677,11.37,69,1.16
COMUNA 01,1001000006,11079,153,1.38,378,3.41,1111,10.03,8522,76.92,0,0.0,45,0.41,6,0.05,1,0.01,770,6.95,93,0.84
COMUNA 01,1001000007,5332,106,1.99,234,4.39,839,15.74,3653,68.51,1,0.02,37,0.69,0,0.0,0,0.0,401,7.52,61,1.14
COMUNA 01,1001000008,5681,135,2.38,307,5.4,1218,21.44,3398,59.81,0,0.0,26,0.46,1,0.02,1,0.02,500,8.8,95,1.67
COMUNA 01,1001000009,7297,194,2.66,445,6.1,1877,25.72,3969,54.39,0,0.0,68,0.93,0,0.0,1,0.01,624,8.55,119,1.63
COMUNA 01,1001000010,8179,284,3.47,531,6.49,2092,25.58,4317,52.78,0,0.0,73,0.89,9,0.11,0,0.0,680,8.31,193,2.36
COMUNA 01,1001000011,8196,302,3.68,556,6.78,2849,34.76,3494,42.63,0,0.0,59,0.72,8,0.1,0,0.0,740,9.03,188,2.29
COMUNA 01,1001000012,7740,332,4.29,490,6.33,2752,35.56,3275,42.31,0,0.0,42,0.54,1,0.01,1,0.01,691,8.93,156,2.02
COMUNA 01,1001000013,8833,422,4.78,662,7.49,3210,36.34,3593,40.68,0,0.0,67,0.76,8,0.09,1,0.01,654,7.4,216,2.45
COMUNA 01,1001000014,3518,127,3.61,205,5.83,1212,34.45,1555,44.2,0,0.0,32,0.91,1,0.03,0,0.0,310,8.81,76,2.16
COMUNA 01,1001000015,5886,270,4.59,377,6.41,2431,41.3,2082,35.37,6,0.1,50,0.85,4,0.07,0,0.0,526,8.94,140,2.38
