NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_PRES,VOTOS_CF_PRES,PORCENTAJE_CF_PRES
COMUNA 01,1001000001,7137,483,6.77
COMUNA 01,1001000002,6643,456,6.86
COMUNA 01,1001000003,3377,181,5.36
COMUNA 01,1001000005,5402,184,3.41
COMUNA 01,1001000006,11110,433,3.9
COMUNA 01,1001000007,5335,284,5.32
COMUNA 01,1001000008,5738,357,6.22
COMUNA 01,1001000009,7313,521,7.12
COMUNA 01,1001000010,8189,648,7.91
COMUNA 01,1001000011,8197,660,8.05
COMUNA 01,1001000012,7778,576,7.41
COMUNA 01,1001000013,8908,754,8.46
COMUNA 01,1001000014,3528,249,7.06
COMUNA 01,1001000015,5819,428,7.36
COMUNA 01,1001000016,5959,458,7.69
COMUNA 01,1001000017,8788,657,7.48
COMUNA 01,1001000018,4918,405,8.24
COMUNA 01,1001000019,7895,571,7.23
COMUNA 02,1002000020,7172,332,4.63
COMUNA 02,1002000021,8085,301,3.72
COMUNA 02,1002000022,11880,866,7.29
COMUNA 02,1002000023,14764,1044,7.07
COMUNA 02,1002000024,9718,589,6.06
COMUNA 02,1002000025,9396,477,5.08
COMUNA 02,1002000026,12262,653,5.33
COMUNA 02,1002000027,9160,674,7.36
COMUNA 02,1002000028,13232,993,7.5
COMUNA 02,1002000029,8625,675,7.83
COMUNA 03,1003000030,7996,717,8.97
COMUNA 03,1003000031,8885,720,8.1
COMUNA 03,1003000032,7971,643,8.07
COMUNA 03,1003000033,6477,532,8.21
COMUNA 03,1003000034,10017,815,8.14
COMUNA 03,1003000035,9320,799,8.57
COMUNA 03,1003000036,6242,523,8.38
COMUNA 03,1003000037,8264,695,8.41
COMUNA 03,1003000038,9115,722,7.92
COMUNA 03,1003000039,9584,725,7.56
COMUNA 03,1003000040,7370,609,8.26
COMUNA 03,1003000041,13765,1133,8.23
COMUNA 03,1003000042,12151,1052,8.66
COMUNA 04,1004000043,9222,822,8.91
COMUNA 04,1004000044,7296,673,9.22
COMUNA 04,1004000045,5354,349,6.52
COMUNA 04,1004000046,4894,377,7.7
COMUNA 04,1004000047,11199,498,4.45
COMUNA 04,1004000048,10301,862,8.37
COMUNA 04,1004000049,9162,697,7.61
COMUNA 04,1004000050,11010,917,8.33
COMUNA 04,1004000051,8029,667,8.31
COMUNA 04,1004000052,9377,576,6.14
COMUNA 04,1004000053,10605,717,6.76
COMUNA 04,1004000054,11533,908,7.87
COMUNA 04,1004000055,7434,623,8.38
COMUNA 04,1004000056,6819,587,8.61
COMUNA 04,1004000057,14664,1398,9.53
COMUNA 05,1005000058,10885,1013,9.31
COMUNA 05,1005000059,10370,968,9.33
COMUNA 05,1005000060,12272,1192,9.71
COMUNA 05,1005000061,11715,1074,9.17
COMUNA 05,1005000062,8030,752,9.36
COMUNA 05,1005000063,15545,1398,8.99
COMUNA 05,1005000064,16707,1445,8.65
COMUNA 05,1005000065,10511,897,8.53
COMUNA 05,1005000066,10201,900,8.82
COMUNA 05,1005000067,15739,1424,9.05
COMUNA 06,1006000068,15756,1504,9.55
COMUNA 06,1006000069,22541,2095,9.29
COMUNA 06,1006000070,20657,1950,9.44
COMUNA 06,1006000071,24706,2238,9.06
COMUNA 06,1006000072,10797,1094,10.13
COMUNA 06,1006000073,13841,1347,9.73
COMUNA 06,1006000074,19296,1843,9.55
COMUNA 07,1007000075,8290,853,10.29
COMUNA 07,1007000076,13226,1365,10.32
COMUNA 07,1007000077,10301,1041,10.11
COMUNA 07,1007000078,8198,751,9.16
COMUNA 07,1007000079,10081,903,8.96
COMUNA 07,1007000080,10634,1107,10.41
COMUNA 07,1007000081,9812,928,9.46
COMUNA 07,1007000082,11311,1057,9.34
COMUNA 07,1007000083,16294,1586,9.73
COMUNA 07,1007000084,8846,955,10.8
COMUNA 07,1007000085,6089,722,11.86
COMUNA 07,1007000086,21039,1504,7.15
COMUNA 08,1008000087,23153,1392,6.01
COMUNA 08,1008000088,13116,1278,9.74
COMUNA 08,1008000089,36250,2892,7.98
COMUNA 08,1008000090,34601,2735,7.9
COMUNA 09,1009000091,6731,405,6.02
COMUNA 09,1009000092,10706,1069,9.99
COMUNA 09,1009000093,6695,646,9.65
COMUNA 09,1009000094,8441,844,10.0
COMUNA 09,1009000095,15018,1545,10.29
COMUNA 09,1009000096,8485,881,10.38
COMUNA 09,1009000097,10997,991,9.01
COMUNA 09,1009000098,16240,1901,11.71
COMUNA 09,1009000099,8796,1060,12.05
COMUNA 09,1009000100,11076,1223,11.04
COMUNA 09,1009000101,13447,1434,10.66
COMUNA 10,1010000102,10509,1188,11.3
COMUNA 10,1010000103,10289,1137,11.05
COMUNA 10,1010000104,10113,1137,11.24
COMUNA 10,1010000105,14873,1575,10.59
COMUNA 10,1010000106,9278,1036,11.17
COMUNA 10,1010000107,15517,1624,10.47
COMUNA 10,1010000108,9711,980,10.09
COMUNA 10,1010000109,15192,1500,9.87
COMUNA 10,1010000110,8071,881,10.92
COMUNA 10,1010000111,8598,878,10.21
COMUNA 10,1010000112,6582,669,10.16
COMUNA 11,1011000113,10248,1097,10.7
COMUNA 11,1011000114,13509,1402,10.38
COMUNA 11,1011000115,9425,941,9.98
COMUNA 11,1011000116,13646,1355,9.93
COMUNA 11,1011000117,14829,1521,10.26
COMUNA 11,1011000118,11656,1164,9.99
COMUNA 11,1011000119,14519,1562,10.76
COMUNA 11,1011000120,15266,1645,10.78
COMUNA 11,1011000121,12467,1393,11.17
COMUNA 11,1011000122,10589,896,8.46
COMUNA 11,1011000123,11582,1277,11.03
COMUNA 12,1012000124,13349,1291,9.67
COMUNA 12,1012000125,17581,1832,10.42
COMUNA 12,1012000126,14680,1496,10.19
COMUNA 12,1012000127,19338,1895,9.8
COMUNA 12,1012000128,15923,1672,10.5
COMUNA 12,1012000129,20511,1854,9.04
COMUNA 12,1012000130,13885,1207,8.69
COMUNA 12,1012000131,4523,455,10.06
COMUNA 12,1012000132,15977,1468,9.19
COMUNA 12,1012000133,16392,1644,10.03
COMUNA 13,1013000134,6838,577,8.44
COMUNA 13,1013000135,9470,768,8.11
COMUNA 13,1013000136,11514,961,8.35
COMUNA 13,1013000137,11092,1066,9.61
COMUNA 13,1013000138,22404,1831,8.17
COMUNA 13,1013000139,14138,1102,7.79
COMUNA 13,1013000140,6549,484,7.39
COMUNA 13,1013000141,11241,823,7.32
COMUNA 13,1013000142,18669,983,5.27
COMUNA 13,1013000143,13904,1069,7.69
COMUNA 13,1013000144,6206,392,6.32
COMUNA 13,1013000145,11891,990,8.33
COMUNA 13,1013000146,8866,713,8.04
COMUNA 13,1013000147,15980,1204,7.53
COMUNA 14,1014000148,17184,1257,7.31
COMUNA 14,1014000149,19267,1278,6.63
COMUNA 14,1014000150,9692,419,4.32
COMUNA 14,1014000151,19469,1113,5.72
COMUNA 14,1014000152,14959,903,6.04
COMUNA 14,1014000153,17576,1341,7.63
COMUNA 14,1014000154,20312,1553,7.65
COMUNA 14,1014000155,18366,1465,7.98
COMUNA 14,1014000156,7567,662,8.75
COMUNA 14,1014000157,12392,1026,8.28
COMUNA 15,1015000158,15289,1375,8.99
COMUNA 15,1015000159,9436,823,8.72
COMUNA 15,1015000160,17775,1651,9.29
COMUNA 15,1015000161,15639,1463,9.35
COMUNA 15,1015000162,12689,1107,8.72
