NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM1,VOTOS_FDT_COM1,PORCENTAJE_FDT_COM1
COMUNA 01,1001000001,7437,3023,40.65
COMUNA 01,1001000002,6581,2714,41.24
COMUNA 01,1001000003,3356,434,12.93
COMUNA 01,1001000005,5922,3734,63.05
COMUNA 01,1001000006,11082,1071,9.66
COMUNA 01,1001000007,5321,828,15.56
COMUNA 01,1001000008,5680,1200,21.13
COMUNA 01,1001000009,7299,1853,25.39
COMUNA 01,1001000010,8173,2048,25.06
COMUNA 01,1001000011,8193,2801,34.19
COMUNA 01,1001000012,7724,2707,35.05
COMUNA 01,1001000013,8806,3165,35.94
COMUNA 01,1001000014,3518,1199,34.08
COMUNA 01,1001000015,5805,2405,41.43
COMUNA 01,1001000016,5927,2232,37.66
COMUNA 01,1001000017,8777,3466,39.49
COMUNA 01,1001000018,4783,2048,42.82
COMUNA 01,1001000019,7831,3394,43.34
