NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM1,VOTOS_FIT_COM1,PORCENTAJE_FIT_COM1
COMUNA 01,1001000001,7437,405,5.45
COMUNA 01,1001000002,6581,367,5.58
COMUNA 01,1001000003,3356,41,1.22
COMUNA 01,1001000005,5922,211,3.56
COMUNA 01,1001000006,11082,180,1.62
COMUNA 01,1001000007,5321,121,2.27
COMUNA 01,1001000008,5680,150,2.64
COMUNA 01,1001000009,7299,215,2.95
COMUNA 01,1001000010,8173,314,3.84
COMUNA 01,1001000011,8193,332,4.05
COMUNA 01,1001000012,7724,364,4.71
COMUNA 01,1001000013,8806,452,5.13
COMUNA 01,1001000014,3518,133,3.78
COMUNA 01,1001000015,5805,285,4.91
COMUNA 01,1001000016,5927,332,5.6
COMUNA 01,1001000017,8777,436,4.97
COMUNA 01,1001000018,4783,223,4.66
COMUNA 01,1001000019,7831,373,4.76
