NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM1,VOTOS_IMPUGNADO_COM1,PORCENTAJE_IMPUGNADO_COM1
COMUNA 01,1001000001,7437,3,0.04
COMUNA 01,1001000002,6581,0,0.0
COMUNA 01,1001000003,3356,0,0.0
COMUNA 01,1001000005,5922,1,0.02
COMUNA 01,1001000006,11082,2,0.02
COMUNA 01,1001000007,5321,0,0.0
COMUNA 01,1001000008,5680,1,0.02
COMUNA 01,1001000009,7299,1,0.01
COMUNA 01,1001000010,8173,0,0.0
COMUNA 01,1001000011,8193,0,0.0
COMUNA 01,1001000012,7724,1,0.01
COMUNA 01,1001000013,8806,1,0.01
COMUNA 01,1001000014,3518,0,0.0
COMUNA 01,1001000015,5805,0,0.0
COMUNA 01,1001000016,5927,0,0.0
COMUNA 01,1001000017,8777,0,0.0
COMUNA 01,1001000018,4783,0,0.0
COMUNA 01,1001000019,7831,0,0.0
