NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM10,VOTOS_FIT_COM10,PORCENTAJE_FIT_COM10,VOTOS_CF_COM10,PORCENTAJE_CF_COM10,VOTOS_FDT_COM10,PORCENTAJE_FDT_COM10,VOTOS_JXC_COM10,PORCENTAJE_JXC_COM10,VOTOS_NULO_COM10,PORCENTAJE_NULO_COM10,VOTOS_RECURRIDO_COM10,PORCENTAJE_RECURRIDO_COM10,VOTOS_IMPUGNADO_COM10,PORCENTAJE_IMPUGNADO_COM10,VOTOS_BLANCO_COM10,PORCENTAJE_BLANCO_COM10
COMUNA 10,1010000102,10499,403,3.84,984,9.37,3075,29.29,4573,43.56,110,1.05,2,0.02,0,0.0,789,7.52
COMUNA 10,1010000103,10303,419,4.07,972,9.43,3155,30.62,4328,42.01,118,1.15,2,0.02,1,0.01,748,7.26
COMUNA 10,1010000104,10041,441,4.39,937,9.33,3381,33.67,3959,39.43,115,1.15,0,0.0,0,0.0,764,7.61
COMUNA 10,1010000105,14911,670,4.49,1337,8.97,4695,31.49,6287,42.16,147,0.99,21,0.14,7,0.05,1075,7.21
COMUNA 10,1010000106,9289,403,4.34,872,9.39,3002,32.32,3723,40.08,116,1.25,26,0.28,2,0.02,683,7.35
COMUNA 10,1010000107,15420,689,4.47,1348,8.74,5132,33.28,6351,41.19,157,1.02,6,0.04,0,0.0,973,6.31
COMUNA 10,1010000108,9718,509,5.24,822,8.46,3232,33.26,3857,39.69,99,1.02,4,0.04,17,0.17,698,7.18
COMUNA 10,1010000109,15178,773,5.09,1213,7.99,4946,32.59,6101,40.2,142,0.94,8,0.05,2,0.01,1232,8.12
COMUNA 10,1010000110,8078,372,4.61,701,8.68,2950,36.52,3009,37.25,84,1.04,5,0.06,0,0.0,574,7.11
COMUNA 10,1010000111,8912,426,4.78,723,8.11,2989,33.54,3493,39.19,81,0.91,4,0.04,2,0.02,757,8.49
COMUNA 10,1010000112,6586,315,4.78,542,8.23,2273,34.51,2523,38.31,72,1.09,2,0.03,0,0.0,502,7.62
