NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM3,VOTOS_FIT_COM3,PORCENTAJE_FIT_COM3,VOTOS_CF_COM3,PORCENTAJE_CF_COM3,VOTOS_FDT_COM3,PORCENTAJE_FDT_COM3,VOTOS_JXC_COM3,PORCENTAJE_JXC_COM3,VOTOS_NULO_COM3,PORCENTAJE_NULO_COM3,VOTOS_RECURRIDO_COM3,PORCENTAJE_RECURRIDO_COM3,VOTOS_IMPUGNADO_COM3,PORCENTAJE_IMPUGNADO_COM3,VOTOS_BLANCO_COM3,PORCENTAJE_BLANCO_COM3,VOTOS_OTROS_COM3,PORCENTAJE_OTROS_COM3
COMUNA 03,1003000030,7953,332,4.17,611,7.68,2295,28.86,3703,46.56,87,1.09,1,0.01,0,0.0,802,10.08,122,1.53
COMUNA 03,1003000031,8906,396,4.45,612,6.87,2552,28.65,4196,47.11,90,1.01,1,0.01,6,0.07,918,10.31,135,1.52
COMUNA 03,1003000032,7975,383,4.8,542,6.8,2407,30.18,3533,44.3,76,0.95,1,0.01,0,0.0,814,10.21,219,2.75
COMUNA 03,1003000033,6284,325,5.17,417,6.64,2091,33.27,2608,41.5,70,1.11,1,0.02,0,0.0,668,10.63,104,1.65
COMUNA 03,1003000034,9989,465,4.66,678,6.79,3261,32.65,4228,42.33,104,1.04,4,0.04,0,0.0,1066,10.67,183,1.83
COMUNA 03,1003000035,9281,491,5.29,659,7.1,3464,37.32,3489,37.59,81,0.87,3,0.03,0,0.0,927,9.99,167,1.8
COMUNA 03,1003000036,6246,389,6.23,434,6.95,2547,40.78,2034,32.56,58,0.93,1,0.02,0,0.0,633,10.13,150,2.4
COMUNA 03,1003000037,8255,414,5.02,551,6.67,3060,37.07,3109,37.66,81,0.98,2,0.02,0,0.0,882,10.68,156,1.89
COMUNA 03,1003000038,9021,437,4.84,574,6.36,3350,37.14,3559,39.45,73,0.81,1,0.01,0,0.0,858,9.51,169,1.87
COMUNA 03,1003000039,9468,476,5.03,598,6.32,3306,34.92,3849,40.65,102,1.08,0,0.0,0,0.0,957,10.11,180,1.9
COMUNA 03,1003000040,7368,350,4.75,502,6.81,2587,35.11,2978,40.42,71,0.96,4,0.05,0,0.0,751,10.19,125,1.7
COMUNA 03,1003000041,13698,770,5.62,929,6.78,5236,38.22,4916,35.89,141,1.03,7,0.05,5,0.04,1423,10.39,271,1.98
COMUNA 03,1003000042,12464,645,5.17,807,6.47,4642,37.24,4804,38.54,116,0.93,3,0.02,1,0.01,1238,9.93,208,1.67
