NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM4,VOTOS_RECURRIDO_COM4,PORCENTAJE_RECURRIDO_COM4
COMUNA 04,1004000043,12582,1,0.01
COMUNA 04,1004000044,9944,0,0.0
COMUNA 04,1004000045,7582,2,0.03
COMUNA 04,1004000046,6891,1,0.01
COMUNA 04,1004000047,17659,0,0.0
COMUNA 04,1004000048,13871,4,0.03
COMUNA 04,1004000049,13679,3,0.02
COMUNA 04,1004000050,14169,5,0.04
COMUNA 04,1004000051,10508,5,0.05
COMUNA 04,1004000052,13391,35,0.26
COMUNA 04,1004000053,15057,1,0.01
COMUNA 04,1004000054,15777,2,0.01
COMUNA 04,1004000055,10555,0,0.0
COMUNA 04,1004000056,9956,0,0.0
COMUNA 04,1004000057,20222,2,0.01
