NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM7,VOTOS_CF_COM7,PORCENTAJE_CF_COM7
COMUNA 07,1007000075,8194,676,8.25
COMUNA 07,1007000076,13107,1069,8.16
COMUNA 07,1007000077,10239,840,8.2
COMUNA 07,1007000078,8193,603,7.36
COMUNA 07,1007000079,10072,706,7.01
COMUNA 07,1007000080,10600,932,8.79
COMUNA 07,1007000081,9824,781,7.95
COMUNA 07,1007000082,11678,883,7.56
COMUNA 07,1007000083,16300,1282,7.87
COMUNA 07,1007000084,8775,780,8.89
COMUNA 07,1007000085,6062,535,8.83
COMUNA 07,1007000086,21655,1262,5.83
