NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_DIPNAC,VOTOS_BLANCO_DIPNAC,PORCENTAJE_BLANCO_DIPNAC
COMUNA 01,1001000001,7115,283,3.98
COMUNA 01,1001000002,6635,279,4.2
COMUNA 01,1001000003,3377,79,2.34
COMUNA 01,1001000005,5393,499,9.25
COMUNA 01,1001000006,11100,338,3.05
COMUNA 01,1001000007,5335,170,3.19
COMUNA 01,1001000008,5688,240,4.22
COMUNA 01,1001000009,7309,346,4.73
COMUNA 01,1001000010,8189,317,3.87
COMUNA 01,1001000011,8197,378,4.61
COMUNA 01,1001000012,7768,380,4.89
COMUNA 01,1001000013,8890,356,4.0
COMUNA 01,1001000014,3528,143,4.05
COMUNA 01,1001000015,5820,261,4.48
COMUNA 01,1001000016,5943,282,4.75
COMUNA 01,1001000017,8778,420,4.78
COMUNA 01,1001000018,4859,245,5.04
COMUNA 01,1001000019,7851,431,5.49
COMUNA 02,1002000020,6947,219,3.15
COMUNA 02,1002000021,8080,239,2.96
COMUNA 02,1002000022,11875,415,3.49
COMUNA 02,1002000023,14752,457,3.1
COMUNA 02,1002000024,9689,288,2.97
COMUNA 02,1002000025,9401,248,2.64
COMUNA 02,1002000026,12226,367,3.0
COMUNA 02,1002000027,9137,298,3.26
COMUNA 02,1002000028,13207,405,3.07
COMUNA 02,1002000029,8625,272,3.15
COMUNA 03,1003000030,7979,424,5.31
COMUNA 03,1003000031,8888,395,4.44
COMUNA 03,1003000032,7974,368,4.61
COMUNA 03,1003000033,6432,343,5.33
COMUNA 03,1003000034,10020,457,4.56
COMUNA 03,1003000035,9306,455,4.89
COMUNA 03,1003000036,6278,298,4.75
COMUNA 03,1003000037,8258,383,4.64
COMUNA 03,1003000038,9107,401,4.4
COMUNA 03,1003000039,9583,383,4.0
COMUNA 03,1003000040,7371,321,4.35
COMUNA 03,1003000041,13721,605,4.41
COMUNA 03,1003000042,12062,563,4.67
COMUNA 04,1004000043,9232,455,4.93
