NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_DIPNAC,VOTOS_IMPUGNADO_DIPNAC,PORCENTAJE_IMPUGNADO_DIPNAC
COMUNA 01,1001000001,7115,3,0.04
COMUNA 01,1001000002,6635,0,0.0
COMUNA 01,1001000003,3377,0,0.0
COMUNA 01,1001000005,5393,1,0.02
COMUNA 01,1001000006,11100,1,0.01
COMUNA 01,1001000007,5335,0,0.0
COMUNA 01,1001000008,5688,1,0.02
COMUNA 01,1001000009,7309,1,0.01
COMUNA 01,1001000010,8189,0,0.0
COMUNA 01,1001000011,8197,0,0.0
COMUNA 01,1001000012,7768,1,0.01
COMUNA 01,1001000013,8890,1,0.01
COMUNA 01,1001000014,3528,0,0.0
COMUNA 01,1001000015,5820,0,0.0
COMUNA 01,1001000016,5943,0,0.0
COMUNA 01,1001000017,8778,0,0.0
COMUNA 01,1001000018,4859,0,0.0
COMUNA 01,1001000019,7851,0,0.0
COMUNA 02,1002000020,6947,2,0.03
COMUNA 02,1002000021,8080,0,0.0
COMUNA 02,1002000022,11875,7,0.06
COMUNA 02,1002000023,14752,4,0.03
COMUNA 02,1002000024,9689,4,0.04
COMUNA 02,1002000025,9401,1,0.01
COMUNA 02,1002000026,12226,1,0.01
COMUNA 02,1002000027,9137,0,0.0
COMUNA 02,1002000028,13207,0,0.0
COMUNA 02,1002000029,8625,2,0.02
COMUNA 03,1003000030,7979,0,0.0
COMUNA 03,1003000031,8888,0,0.0
COMUNA 03,1003000032,7974,0,0.0
COMUNA 03,1003000033,6432,0,0.0
COMUNA 03,1003000034,10020,0,0.0
COMUNA 03,1003000035,9306,0,0.0
COMUNA 03,1003000036,6278,0,0.0
COMUNA 03,1003000037,8258,0,0.0
COMUNA 03,1003000038,9107,0,0.0
COMUNA 03,1003000039,9583,0,0.0
COMUNA 03,1003000040,7371,0,0.0
COMUNA 03,1003000041,13721,5,0.04
COMUNA 03,1003000042,12062,1,0.01
COMUNA 04,1004000043,9232,0,0.0
COMUNA 04,1004000044,7311,0,0.0
COMUNA 04,1004000045,5353,0,0.0
COMUNA 04,1004000046,4881,0,0.0
COMUNA 04,1004000047,11181,6,0.05
COMUNA 04,1004000048,10295,1,0.01
COMUNA 04,1004000049,9129,3,0.03
COMUNA 04,1004000050,10959,1,0.01
COMUNA 04,1004000051,8034,7,0.09
COMUNA 04,1004000052,9454,10,0.11
COMUNA 04,1004000053,10692,0,0.0
COMUNA 04,1004000054,11477,0,0.0
COMUNA 04,1004000055,7420,4,0.05
COMUNA 04,1004000056,6864,0,0.0
COMUNA 04,1004000057,14630,4,0.03
COMUNA 05,1005000058,10877,0,0.0
COMUNA 05,1005000059,10361,0,0.0
COMUNA 05,1005000060,12266,0,0.0
COMUNA 05,1005000061,11723,0,0.0
COMUNA 05,1005000062,8034,2,0.02
COMUNA 05,1005000063,15526,3,0.02
COMUNA 05,1005000064,16714,2,0.01
COMUNA 05,1005000065,10516,1,0.01
COMUNA 05,1005000066,10193,0,0.0
COMUNA 05,1005000067,15739,7,0.04
COMUNA 06,1006000068,15765,0,0.0
COMUNA 06,1006000069,22535,2,0.01
COMUNA 06,1006000070,20684,0,0.0
COMUNA 06,1006000071,24724,1,0.0
COMUNA 06,1006000072,10770,3,0.03
COMUNA 06,1006000073,13842,0,0.0
COMUNA 06,1006000074,19277,2,0.01
COMUNA 07,1007000075,8275,3,0.04
COMUNA 07,1007000076,13207,1,0.01
COMUNA 07,1007000077,10308,13,0.13
COMUNA 07,1007000078,8195,0,0.0
COMUNA 07,1007000079,10047,26,0.26
COMUNA 07,1007000080,10633,6,0.06
COMUNA 07,1007000081,9827,0,0.0
COMUNA 07,1007000082,11287,2,0.02
COMUNA 07,1007000083,16283,1,0.01
COMUNA 07,1007000084,8838,0,0.0
COMUNA 07,1007000085,6063,0,0.0
COMUNA 07,1007000086,20925,5,0.02
