NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_DIPNAC,VOTOS_FIT_DIPNAC,VOTOS_CF_DIPNAC,VOTOS_FDT_DIPNAC,VOTOS_JXC_DIPNAC,VOTOS_ULD_DIPNAC,VOTOS_NULO_DIPNAC,VOTOS_RECURRIDO_DIPNAC,VOTOS_IMPUGNADO_DIPNAC,VOTOS_BLANCO_DIPNAC,VOTOS_OTROS_DIPNAC
COMUNA 01,1001000001,7115,414,428,2815,2648,182,43,2,3,283,297
COMUNA 01,1001000002,6635,401,396,2701,2296,199,75,2,0,279,286
COMUNA 01,1001000003,3377,47,150,435,2486,119,8,1,0,79,52
COMUNA 01,1001000005,5393,182,164,3372,892,86,54,4,1,499,139
COMUNA 01,1001000006,11100,187,371,1069,8111,316,53,5,1,338,649
COMUNA 01,1001000007,5335,133,249,817,3425,161,43,0,0,170,337
COMUNA 01,1001000008,5688,156,302,1197,3292,188,27,3,1,240,282
COMUNA 01,1001000009,7309,224,462,1845,3855,257,68,0,1,346,251
COMUNA 01,1001000010,8189,330,556,2025,4162,271,78,9,0,317,441
COMUNA 01,1001000011,8197,346,566,2795,3382,273,70,8,0,378,379
COMUNA 01,1001000012,7768,377,493,2700,3210,249,47,1,1,380,310
COMUNA 01,1001000013,8890,477,664,3154,3480,273,75,8,1,356,402
COMUNA 01,1001000014,3528,137,220,1205,1509,113,35,1,0,143,165
COMUNA 01,1001000015,5820,311,377,2393,2026,144,54,4,0,261,250
COMUNA 01,1001000016,5943,343,413,2250,2203,161,50,0,0,282,241
COMUNA 01,1001000017,8778,459,571,3465,3114,243,95,7,0,420,404
COMUNA 01,1001000018,4859,234,353,2041,1588,159,35,2,0,245,202
COMUNA 01,1001000019,7851,391,496,3414,2556,200,59,7,0,431,297
COMUNA 02,1002000020,6947,156,281,1290,4403,216,47,14,2,219,319
COMUNA 02,1002000021,8080,144,273,740,5975,222,40,1,0,239,446
COMUNA 02,1002000022,11875,435,703,2232,7205,370,83,4,7,415,421
COMUNA 02,1002000023,14752,494,888,2775,8912,431,108,11,4,457,672
COMUNA 02,1002000024,9689,273,474,1480,6193,254,54,7,4,288,662
COMUNA 02,1002000025,9401,226,415,1235,6310,290,62,3,1,248,611
COMUNA 02,1002000026,12226,252,523,1446,8389,354,70,0,1,367,824
COMUNA 02,1002000027,9137,327,563,1889,5172,289,108,0,0,298,491
COMUNA 02,1002000028,13207,572,863,3238,7067,433,111,2,0,405,516
COMUNA 02,1002000029,8625,382,590,2102,4611,259,69,1,2,272,337
COMUNA 03,1003000030,7979,361,609,2272,3701,217,94,1,0,424,300
COMUNA 03,1003000031,8888,416,623,2538,4176,285,90,1,0,395,364
COMUNA 03,1003000032,7974,405,567,2383,3507,227,85,1,0,368,431
COMUNA 03,1003000033,6432,327,440,2089,2706,196,77,1,0,343,253
COMUNA 03,1003000034,10020,493,703,3244,4230,346,109,4,0,457,434
COMUNA 03,1003000035,9306,507,685,3445,3492,243,87,3,0,455,389
COMUNA 03,1003000036,6278,364,447,2617,2024,182,68,1,0,298,277
COMUNA 03,1003000037,8258,438,607,3064,3075,253,86,2,0,383,350
COMUNA 03,1003000038,9107,439,614,3353,3534,281,78,2,0,401,405
COMUNA 03,1003000039,9583,498,624,3385,3817,332,106,0,0,383,438
COMUNA 03,1003000040,7371,373,529,2581,2951,235,79,4,0,321,298
COMUNA 03,1003000041,13721,777,1002,5230,4893,424,157,2,5,605,626
COMUNA 03,1003000042,12062,664,833,4380,4635,359,128,2,1,563,497
COMUNA 04,1004000043,9232,504,714,3398,3363,299,97,1,0,455,401
COMUNA 04,1004000044,7311,418,587,2657,2710,223,102,0,0,324,290
COMUNA 04,1004000045,5353,266,314,2211,1865,152,60,2,0,290,193
COMUNA 04,1004000046,4881,241,341,1992,1633,150,47,1,0,262,214
COMUNA 04,1004000047,11181,327,448,6563,1723,131,71,0,6,1612,300
COMUNA 04,1004000048,10295,480,754,3565,4219,290,100,2,1,468,416
COMUNA 04,1004000049,9129,455,608,3484,3255,259,93,3,3,574,395
COMUNA 04,1004000050,10959,580,793,3269,5063,307,129,9,1,426,382
COMUNA 04,1004000051,8034,339,573,2447,3629,246,65,5,7,386,337
COMUNA 04,1004000052,9454,485,501,4069,2958,226,82,5,10,743,375
COMUNA 04,1004000053,10692,425,633,4565,3276,246,96,0,0,1018,433
COMUNA 04,1004000054,11477,576,790,4283,4313,292,99,2,0,669,453
COMUNA 04,1004000055,7420,324,566,3133,2366,200,89,0,4,458,280
COMUNA 04,1004000056,6864,300,530,2890,2159,197,65,0,0,473,250
COMUNA 04,1004000057,14630,707,1219,5534,5111,443,129,2,4,863,618
COMUNA 05,1005000058,10877,597,908,4086,3851,367,120,2,0,469,477
COMUNA 05,1005000059,10361,634,854,3926,3656,321,97,2,0,462,409
COMUNA 05,1005000060,12266,720,1019,4313,4622,364,129,2,0,536,561
COMUNA 05,1005000061,11723,587,898,3586,5235,366,82,7,0,397,565
COMUNA 05,1005000062,8034,456,627,2828,3071,249,68,4,2,359,370
COMUNA 05,1005000063,15526,904,1207,4976,6494,532,133,4,3,595,678
COMUNA 05,1005000064,16714,928,1218,5537,6974,477,169,2,2,647,760
COMUNA 05,1005000065,10516,611,795,3411,4455,290,110,9,1,377,457
COMUNA 05,1005000066,10193,635,761,3328,4167,350,91,3,0,397,461
COMUNA 05,1005000067,15739,993,1197,5102,6544,432,137,3,7,608,716
COMUNA 06,1006000068,15765,926,1239,4949,6682,474,148,7,0,581,759
COMUNA 06,1006000069,22535,1048,1762,5711,11413,696,197,10,2,750,946
COMUNA 06,1006000070,20684,1128,1622,6166,9223,639,196,5,0,759,946
COMUNA 06,1006000071,24724,1125,1903,6643,12077,836,223,4,1,859,1053
COMUNA 06,1006000072,10770,655,930,3536,4194,349,134,5,3,402,562
COMUNA 06,1006000073,13842,853,1130,4299,5836,391,154,4,0,519,656
COMUNA 06,1006000074,19277,862,1564,4713,9834,652,151,2,2,645,852
COMUNA 07,1007000075,8275,398,714,2581,3573,280,78,4,3,263,381
COMUNA 07,1007000076,13207,617,1154,4243,5579,450,112,4,1,461,586
COMUNA 07,1007000077,10308,509,884,3815,3722,376,87,2,13,446,454
COMUNA 07,1007000078,8195,333,643,3086,3048,273,81,2,0,389,340
COMUNA 07,1007000079,10047,501,768,3047,4458,313,76,3,26,466,389
COMUNA 07,1007000080,10633,532,950,3161,4564,399,113,2,6,433,473
COMUNA 07,1007000081,9827,487,803,2846,4465,279,103,13,0,404,427
COMUNA 07,1007000082,11287,633,908,3420,4800,393,97,9,2,476,549
COMUNA 07,1007000083,16283,694,1332,4009,8182,558,154,7,1,629,717
COMUNA 07,1007000084,8838,446,818,2928,3488,298,95,0,0,372,393
COMUNA 07,1007000085,6063,269,577,1701,2696,224,64,1,0,230,301
COMUNA 07,1007000086,20925,942,1313,10197,5341,588,206,7,5,1556,770
COMUNA 08,1008000087,22915,827,1265,12362,5409,513,217,29,16,1599,678
COMUNA 08,1008000088,13075,506,1147,4611,5176,433,175,0,0,602,425
COMUNA 08,1008000089,36057,1507,2558,15934,11361,892,368,5,1,2260,1171
COMUNA 08,1008000090,34300,1324,2432,16015,10226,859,336,8,32,1895,1173
COMUNA 09,1009000091,6707,255,364,3663,1413,198,76,1,0,518,219
COMUNA 09,1009000092,10727,566,931,3730,3944,411,137,6,0,562,440
COMUNA 09,1009000093,6662,266,574,2630,2330,191,74,1,0,330,266
COMUNA 09,1009000094,8442,440,746,3184,2996,280,90,3,0,378,325
COMUNA 09,1009000095,15070,668,1382,5478,5682,516,188,0,0,585,571
COMUNA 09,1009000096,8483,393,793,3363,2851,264,79,1,0,432,307
COMUNA 09,1009000097,10989,457,871,4586,3691,323,102,1,2,565,391
COMUNA 09,1009000098,16149,637,1679,5605,6338,584,124,6,1,602,573
COMUNA 09,1009000099,8741,331,931,2739,3729,271,81,3,0,326,330
COMUNA 09,1009000100,11106,466,1038,3496,4704,380,77,2,2,511,430
COMUNA 09,1009000101,13539,577,1255,4433,5535,415,143,2,27,560,592
COMUNA 10,1010000102,10505,476,1006,3074,4556,383,108,2,0,458,442
COMUNA 10,1010000103,10295,465,1003,3139,4300,344,130,2,1,428,483
COMUNA 10,1010000104,10075,452,985,3388,3926,302,127,0,0,455,440
COMUNA 10,1010000105,14929,723,1405,4637,6240,440,149,17,7,649,662
COMUNA 10,1010000106,9265,451,902,2991,3683,280,118,16,2,410,412
COMUNA 10,1010000107,15470,741,1390,5117,6305,488,160,6,0,627,636
COMUNA 10,1010000108,9714,543,863,3234,3826,310,101,5,15,391,426
COMUNA 10,1010000109,15193,863,1262,4952,6023,448,155,6,2,740,742
COMUNA 10,1010000110,8090,414,752,2894,2993,237,85,5,0,351,359
COMUNA 10,1010000111,8595,434,761,2782,3408,277,80,2,2,427,422
