NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_DIPNAC,PORCENTAJE_FIT_DIPNAC,PORCENTAJE_CF_DIPNAC,PORCENTAJE_FDT_DIPNAC,PORCENTAJE_JXC_DIPNAC,PORCENTAJE_ULD_DIPNAC,PORCENTAJE_NULO_DIPNAC,PORCENTAJE_RECURRIDO_DIPNAC,PORCENTAJE_IMPUGNADO_DIPNAC,PORCENTAJE_BLANCO_DIPNAC,PORCENTAJE_OTROS_DIPNAC
COMUNA 01,1001000001,100,5.82,6.02,39.56,37.22,2.56,0.6,0.03,0.04,3.98,4.17
COMUNA 01,1001000002,100,6.04,5.97,40.71,34.6,3.0,1.13,0.03,0.0,4.2,4.31
COMUNA 01,1001000003,100,1.39,4.44,12.88,73.62,3.52,0.24,0.03,0.0,2.34,1.54
COMUNA 01,1001000005,100,3.37,3.04,62.53,16.54,1.59,1.0,0.07,0.02,9.25,2.58
COMUNA 01,1001000006,100,1.68,3.34,9.63,73.07,2.85,0.48,0.05,0.01,3.05,5.85
COMUNA 01,1001000007,100,2.49,4.67,15.31,64.2,3.02,0.81,0.0,0.0,3.19,6.32
COMUNA 01,1001000008,100,2.74,5.31,21.04,57.88,3.31,0.47,0.05,0.02,4.22,4.96
COMUNA 01,1001000009,100,3.06,6.32,25.24,52.74,3.52,0.93,0.0,0.01,4.73,3.43
COMUNA 01,1001000010,100,4.03,6.79,24.73,50.82,3.31,0.95,0.11,0.0,3.87,5.39
COMUNA 01,1001000011,100,4.22,6.9,34.1,41.26,3.33,0.85,0.1,0.0,4.61,4.62
COMUNA 01,1001000012,100,4.85,6.35,34.76,41.32,3.21,0.61,0.01,0.01,4.89,3.99
COMUNA 01,1001000013,100,5.37,7.47,35.48,39.15,3.07,0.84,0.09,0.01,4.0,4.52
COMUNA 01,1001000014,100,3.88,6.24,34.16,42.77,3.2,0.99,0.03,0.0,4.05,4.68
COMUNA 01,1001000015,100,5.34,6.48,41.12,34.81,2.47,0.93,0.07,0.0,4.48,4.3
COMUNA 01,1001000016,100,5.77,6.95,37.86,37.07,2.71,0.84,0.0,0.0,4.75,4.06
COMUNA 01,1001000017,100,5.23,6.5,39.47,35.48,2.77,1.08,0.08,0.0,4.78,4.6
COMUNA 01,1001000018,100,4.82,7.26,42.0,32.68,3.27,0.72,0.04,0.0,5.04,4.16
COMUNA 01,1001000019,100,4.98,6.32,43.48,32.56,2.55,0.75,0.09,0.0,5.49,3.78
COMUNA 02,1002000020,100,2.25,4.04,18.57,63.38,3.11,0.68,0.2,0.03,3.15,4.59
COMUNA 02,1002000021,100,1.78,3.38,9.16,73.95,2.75,0.5,0.01,0.0,2.96,5.52
COMUNA 02,1002000022,100,3.66,5.92,18.8,60.67,3.12,0.7,0.03,0.06,3.49,3.55
COMUNA 02,1002000023,100,3.35,6.02,18.81,60.41,2.92,0.73,0.07,0.03,3.1,4.56
COMUNA 02,1002000024,100,2.82,4.89,15.28,63.92,2.62,0.56,0.07,0.04,2.97,6.83
COMUNA 02,1002000025,100,2.4,4.41,13.14,67.12,3.08,0.66,0.03,0.01,2.64,6.5
COMUNA 02,1002000026,100,2.06,4.28,11.83,68.62,2.9,0.57,0.0,0.01,3.0,6.74
COMUNA 02,1002000027,100,3.58,6.16,20.67,56.61,3.16,1.18,0.0,0.0,3.26,5.37
COMUNA 02,1002000028,100,4.33,6.53,24.52,53.51,3.28,0.84,0.02,0.0,3.07,3.91
COMUNA 02,1002000029,100,4.43,6.84,24.37,53.46,3.0,0.8,0.01,0.02,3.15,3.91
COMUNA 03,1003000030,100,4.52,7.63,28.47,46.38,2.72,1.18,0.01,0.0,5.31,3.76
COMUNA 03,1003000031,100,4.68,7.01,28.56,46.98,3.21,1.01,0.01,0.0,4.44,4.1
COMUNA 03,1003000032,100,5.08,7.11,29.88,43.98,2.85,1.07,0.01,0.0,4.61,5.41
COMUNA 03,1003000033,100,5.08,6.84,32.48,42.07,3.05,1.2,0.02,0.0,5.33,3.93
COMUNA 03,1003000034,100,4.92,7.02,32.38,42.22,3.45,1.09,0.04,0.0,4.56,4.33
COMUNA 03,1003000035,100,5.45,7.36,37.02,37.52,2.61,0.93,0.03,0.0,4.89,4.18
COMUNA 03,1003000036,100,5.8,7.12,41.69,32.24,2.9,1.08,0.02,0.0,4.75,4.41
