NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_JEFGOB,VOTOS_CF_JEFGOB,PORCENTAJE_CF_JEFGOB
COMUNA 01,1001000001,7443,417,5.6
COMUNA 01,1001000002,6602,389,5.89
COMUNA 01,1001000003,3349,145,4.33
COMUNA 01,1001000005,5952,181,3.04
COMUNA 01,1001000006,11079,378,3.41
COMUNA 01,1001000007,5332,234,4.39
COMUNA 01,1001000008,5681,307,5.4
COMUNA 01,1001000009,7297,445,6.1
COMUNA 01,1001000010,8179,531,6.49
COMUNA 01,1001000011,8196,556,6.78
COMUNA 01,1001000012,7740,490,6.33
COMUNA 01,1001000013,8833,662,7.49
COMUNA 01,1001000014,3518,205,5.83
COMUNA 01,1001000015,5886,377,6.41
COMUNA 01,1001000016,5930,385,6.49
COMUNA 01,1001000017,8786,561,6.39
COMUNA 01,1001000018,4795,341,7.11
COMUNA 01,1001000019,7836,468,5.97
COMUNA 02,1002000020,6924,281,4.06
COMUNA 02,1002000021,8050,257,3.19
COMUNA 02,1002000022,11863,658,5.55
COMUNA 02,1002000023,14640,861,5.88
COMUNA 02,1002000024,9631,461,4.79
COMUNA 02,1002000025,9374,385,4.11
COMUNA 02,1002000026,12218,523,4.28
COMUNA 02,1002000027,9236,559,6.05
COMUNA 02,1002000028,13173,824,6.26
COMUNA 02,1002000029,8610,555,6.45
COMUNA 03,1003000030,7958,616,7.74
COMUNA 03,1003000031,8871,616,6.94
COMUNA 03,1003000032,7975,564,7.07
COMUNA 03,1003000033,6380,426,6.68
COMUNA 03,1003000034,9989,707,7.08
COMUNA 03,1003000035,9287,668,7.19
COMUNA 03,1003000036,6207,440,7.09
COMUNA 03,1003000037,8264,591,7.15
COMUNA 03,1003000038,9065,585,6.45
COMUNA 03,1003000039,9572,615,6.42
COMUNA 03,1003000040,7372,512,6.95
COMUNA 03,1003000041,13710,959,6.99
COMUNA 03,1003000042,12455,819,6.58
COMUNA 04,1004000043,9225,685,7.43
COMUNA 04,1004000044,7284,561,7.7
COMUNA 04,1004000045,5355,314,5.86
COMUNA 04,1004000046,4895,329,6.72
COMUNA 04,1004000047,11120,431,3.88
COMUNA 04,1004000048,10278,734,7.14
COMUNA 04,1004000049,9729,595,6.12
COMUNA 04,1004000050,10935,747,6.83
COMUNA 04,1004000051,8030,545,6.79
COMUNA 04,1004000052,9372,475,5.07
COMUNA 04,1004000053,10658,613,5.75
COMUNA 04,1004000054,11458,755,6.59
COMUNA 04,1004000055,7381,534,7.23
COMUNA 04,1004000056,7055,518,7.34
COMUNA 04,1004000057,14602,1182,8.09
COMUNA 05,1005000058,10805,866,8.01
COMUNA 05,1005000059,10334,805,7.79
COMUNA 05,1005000060,12535,978,7.8
COMUNA 05,1005000061,11673,906,7.76
COMUNA 05,1005000062,8020,588,7.33
COMUNA 05,1005000063,15488,1189,7.68
COMUNA 05,1005000064,16662,1207,7.24
COMUNA 05,1005000065,10491,751,7.16
COMUNA 05,1005000066,10159,756,7.44
COMUNA 05,1005000067,15733,1161,7.38
COMUNA 06,1006000068,15954,1201,7.53
COMUNA 06,1006000069,22482,1684,7.49
COMUNA 06,1006000070,20636,1598,7.74
COMUNA 06,1006000071,24687,1796,7.28
COMUNA 06,1006000072,10784,917,8.5
COMUNA 06,1006000073,13824,1131,8.18
COMUNA 06,1006000074,19233,1511,7.86
COMUNA 07,1007000075,8240,692,8.4
COMUNA 07,1007000076,13173,1092,8.29
COMUNA 07,1007000077,10243,850,8.3
COMUNA 07,1007000078,8193,611,7.46
COMUNA 07,1007000079,10045,717,7.14
COMUNA 07,1007000080,10619,940,8.85
COMUNA 07,1007000081,9827,790,8.04
COMUNA 07,1007000082,11642,900,7.73
COMUNA 07,1007000083,16254,1300,8.0
COMUNA 07,1007000084,8807,786,8.92
COMUNA 07,1007000085,5944,535,9.0
COMUNA 07,1007000086,21689,1279,5.9
COMUNA 08,1008000087,23404,1226,5.24
COMUNA 08,1008000088,14138,1121,7.93
COMUNA 08,1008000089,35863,2463,6.87
COMUNA 08,1008000090,33991,2291,6.74
COMUNA 09,1009000091,6700,365,5.45
COMUNA 09,1009000092,10715,953,8.89
COMUNA 09,1009000093,6641,551,8.3
COMUNA 09,1009000094,9240,730,7.9
COMUNA 09,1009000095,15016,1314,8.75
COMUNA 09,1009000096,8477,742,8.75
COMUNA 09,1009000097,10973,854,7.78
COMUNA 09,1009000098,15977,1600,10.01
COMUNA 09,1009000099,8715,885,10.15
COMUNA 09,1009000100,11066,1010,9.13
COMUNA 09,1009000101,13389,1139,8.51
COMUNA 10,1010000102,10471,986,9.42
COMUNA 10,1010000103,10287,976,9.49
COMUNA 10,1010000104,10034,966,9.63
COMUNA 10,1010000105,14914,1358,9.11
COMUNA 10,1010000106,9296,887,9.54
COMUNA 10,1010000107,15373,1363,8.87
COMUNA 10,1010000108,9722,827,8.51
COMUNA 10,1010000109,15163,1246,8.22
COMUNA 10,1010000110,8073,712,8.82
COMUNA 10,1010000111,8959,740,8.26
COMUNA 10,1010000112,6584,551,8.37
COMUNA 11,1011000113,10224,924,9.04
COMUNA 11,1011000114,13502,1172,8.68
COMUNA 11,1011000115,9362,741,7.91
COMUNA 11,1011000116,13529,1100,8.13
COMUNA 11,1011000117,14767,1245,8.43
COMUNA 11,1011000118,11627,960,8.26
COMUNA 11,1011000119,14657,1319,9.0
COMUNA 11,1011000120,15193,1354,8.91
COMUNA 11,1011000121,12430,1146,9.22
COMUNA 11,1011000122,10544,745,7.07
COMUNA 11,1011000123,11539,1048,9.08
COMUNA 12,1012000124,13337,1063,7.97
COMUNA 12,1012000125,17543,1525,8.69
COMUNA 12,1012000126,14598,1245,8.53
COMUNA 12,1012000127,19304,1508,7.81
COMUNA 12,1012000128,15876,1340,8.44
COMUNA 12,1012000129,20593,1496,7.26
COMUNA 12,1012000130,13788,1010,7.33
COMUNA 12,1012000131,4523,391,8.64
COMUNA 12,1012000132,15876,1244,7.84
COMUNA 12,1012000133,16364,1344,8.21
COMUNA 13,1013000134,6824,454,6.65
COMUNA 13,1013000135,9440,633,6.71
COMUNA 13,1013000136,11647,773,6.64
COMUNA 13,1013000137,10943,855,7.81
COMUNA 13,1013000138,22267,1477,6.63
COMUNA 13,1013000139,14093,851,6.04
COMUNA 13,1013000140,6554,397,6.06
COMUNA 13,1013000141,11183,654,5.85
COMUNA 13,1013000142,18615,750,4.03
COMUNA 13,1013000143,13875,879,6.34
