NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_JEFGOB,VOTOS_RECURRIDO_JEFGOB,PORCENTAJE_RECURRIDO_JEFGOB
COMUNA 01,1001000001,7443,1,0.01
COMUNA 01,1001000002,6602,2,0.03
COMUNA 01,1001000003,3349,1,0.03
COMUNA 01,1001000005,5952,3,0.05
COMUNA 01,1001000006,11079,6,0.05
COMUNA 01,1001000007,5332,0,0.0
COMUNA 01,1001000008,5681,1,0.02
COMUNA 01,1001000009,7297,0,0.0
COMUNA 01,1001000010,8179,9,0.11
COMUNA 01,1001000011,8196,8,0.1
COMUNA 01,1001000012,7740,1,0.01
COMUNA 01,1001000013,8833,8,0.09
COMUNA 01,1001000014,3518,1,0.03
COMUNA 01,1001000015,5886,4,0.07
COMUNA 01,1001000016,5930,0,0.0
COMUNA 01,1001000017,8786,7,0.08
COMUNA 01,1001000018,4795,2,0.04
COMUNA 01,1001000019,7836,7,0.09
COMUNA 02,1002000020,6924,19,0.27
COMUNA 02,1002000021,8050,1,0.01
COMUNA 02,1002000022,11863,4,0.03
COMUNA 02,1002000023,14640,9,0.06
COMUNA 02,1002000024,9631,7,0.07
COMUNA 02,1002000025,9374,3,0.03
COMUNA 02,1002000026,12218,0,0.0
COMUNA 02,1002000027,9236,0,0.0
COMUNA 02,1002000028,13173,3,0.02
COMUNA 02,1002000029,8610,1,0.01
COMUNA 03,1003000030,7958,1,0.01
COMUNA 03,1003000031,8871,1,0.01
COMUNA 03,1003000032,7975,1,0.01
COMUNA 03,1003000033,6380,1,0.02
COMUNA 03,1003000034,9989,4,0.04
COMUNA 03,1003000035,9287,3,0.03
COMUNA 03,1003000036,6207,1,0.02
COMUNA 03,1003000037,8264,2,0.02
COMUNA 03,1003000038,9065,1,0.01
COMUNA 03,1003000039,9572,0,0.0
COMUNA 03,1003000040,7372,4,0.05
COMUNA 03,1003000041,13710,2,0.01
COMUNA 03,1003000042,12455,2,0.02
COMUNA 04,1004000043,9225,2,0.02
COMUNA 04,1004000044,7284,1,0.01
COMUNA 04,1004000045,5355,2,0.04
COMUNA 04,1004000046,4895,1,0.02
COMUNA 04,1004000047,11120,0,0.0
COMUNA 04,1004000048,10278,3,0.03
COMUNA 04,1004000049,9729,3,0.03
COMUNA 04,1004000050,10935,9,0.08
COMUNA 04,1004000051,8030,4,0.05
COMUNA 04,1004000052,9372,5,0.05
COMUNA 04,1004000053,10658,40,0.38
COMUNA 04,1004000054,11458,2,0.02
COMUNA 04,1004000055,7381,0,0.0
COMUNA 04,1004000056,7055,0,0.0
COMUNA 04,1004000057,14602,2,0.01
COMUNA 05,1005000058,10805,1,0.01
COMUNA 05,1005000059,10334,2,0.02
COMUNA 05,1005000060,12535,2,0.02
COMUNA 05,1005000061,11673,7,0.06
COMUNA 05,1005000062,8020,3,0.04
COMUNA 05,1005000063,15488,4,0.03
COMUNA 05,1005000064,16662,2,0.01
COMUNA 05,1005000065,10491,9,0.09
COMUNA 05,1005000066,10159,3,0.03
COMUNA 05,1005000067,15733,2,0.01
COMUNA 06,1006000068,15954,7,0.04
COMUNA 06,1006000069,22482,9,0.04
COMUNA 06,1006000070,20636,5,0.02
COMUNA 06,1006000071,24687,3,0.01
COMUNA 06,1006000072,10784,5,0.05
COMUNA 06,1006000073,13824,3,0.02
COMUNA 06,1006000074,19233,2,0.01
COMUNA 07,1007000075,8240,4,0.05
COMUNA 07,1007000076,13173,4,0.03
COMUNA 07,1007000077,10243,2,0.02
COMUNA 07,1007000078,8193,2,0.02
COMUNA 07,1007000079,10045,3,0.03
COMUNA 07,1007000080,10619,2,0.02
COMUNA 07,1007000081,9827,13,0.13
COMUNA 07,1007000082,11642,6,0.05
COMUNA 07,1007000083,16254,7,0.04
COMUNA 07,1007000084,8807,0,0.0
COMUNA 07,1007000085,5944,1,0.02
COMUNA 07,1007000086,21689,4,0.02
COMUNA 08,1008000087,23404,37,0.16
COMUNA 08,1008000088,14138,2,0.01
COMUNA 08,1008000089,35863,5,0.01
COMUNA 08,1008000090,33991,8,0.02
COMUNA 09,1009000091,6700,1,0.01
COMUNA 09,1009000092,10715,11,0.1
COMUNA 09,1009000093,6641,1,0.02
COMUNA 09,1009000094,9240,3,0.03
COMUNA 09,1009000095,15016,0,0.0
COMUNA 09,1009000096,8477,0,0.0
COMUNA 09,1009000097,10973,1,0.01
COMUNA 09,1009000098,15977,6,0.04
COMUNA 09,1009000099,8715,3,0.03
COMUNA 09,1009000100,11066,2,0.02
COMUNA 09,1009000101,13389,2,0.01
COMUNA 10,1010000102,10471,2,0.02
COMUNA 10,1010000103,10287,2,0.02
COMUNA 10,1010000104,10034,0,0.0
COMUNA 10,1010000105,14914,17,0.11
COMUNA 10,1010000106,9296,33,0.35
COMUNA 10,1010000107,15373,6,0.04
COMUNA 10,1010000108,9722,4,0.04
COMUNA 10,1010000109,15163,6,0.04
COMUNA 10,1010000110,8073,5,0.06
COMUNA 10,1010000111,8959,4,0.04
COMUNA 10,1010000112,6584,3,0.05
COMUNA 11,1011000113,10224,5,0.05
COMUNA 11,1011000114,13502,2,0.01
COMUNA 11,1011000115,9362,2,0.02
COMUNA 11,1011000116,13529,4,0.03
COMUNA 11,1011000117,14767,3,0.02
COMUNA 11,1011000118,11627,2,0.02
COMUNA 11,1011000119,14657,5,0.03
COMUNA 11,1011000120,15193,1,0.01
COMUNA 11,1011000121,12430,2,0.02
COMUNA 11,1011000122,10544,1,0.01
COMUNA 11,1011000123,11539,8,0.07
COMUNA 12,1012000124,13337,2,0.01
COMUNA 12,1012000125,17543,6,0.03
COMUNA 12,1012000126,14598,2,0.01
