NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_JEFGOB,VOTOS_ULD_JEFGOB,PORCENTAJE_ULD_JEFGOB
COMUNA 01,1001000001,7443,6,0.08
COMUNA 01,1001000002,6602,2,0.03
COMUNA 01,1001000003,3349,9,0.27
COMUNA 01,1001000005,5952,0,0.0
COMUNA 01,1001000006,11079,0,0.0
COMUNA 01,1001000007,5332,1,0.02
COMUNA 01,1001000008,5681,0,0.0
COMUNA 01,1001000009,7297,0,0.0
COMUNA 01,1001000010,8179,0,0.0
COMUNA 01,1001000011,8196,0,0.0
COMUNA 01,1001000012,7740,0,0.0
COMUNA 01,1001000013,8833,0,0.0
COMUNA 01,1001000014,3518,0,0.0
COMUNA 01,1001000015,5886,6,0.1
COMUNA 01,1001000016,5930,0,0.0
COMUNA 01,1001000017,8786,0,0.0
COMUNA 01,1001000018,4795,0,0.0
COMUNA 01,1001000019,7836,1,0.01
COMUNA 02,1002000020,6924,0,0.0
COMUNA 02,1002000021,8050,0,0.0
COMUNA 02,1002000022,11863,1,0.01
COMUNA 02,1002000023,14640,0,0.0
COMUNA 02,1002000024,9631,0,0.0
COMUNA 02,1002000025,9374,0,0.0
COMUNA 02,1002000026,12218,0,0.0
COMUNA 02,1002000027,9236,0,0.0
COMUNA 02,1002000028,13173,3,0.02
COMUNA 02,1002000029,8610,0,0.0
COMUNA 03,1003000030,7958,0,0.0
COMUNA 03,1003000031,8871,0,0.0
COMUNA 03,1003000032,7975,0,0.0
COMUNA 03,1003000033,6380,0,0.0
COMUNA 03,1003000034,9989,0,0.0
COMUNA 03,1003000035,9287,0,0.0
COMUNA 03,1003000036,6207,0,0.0
COMUNA 03,1003000037,8264,0,0.0
COMUNA 03,1003000038,9065,0,0.0
COMUNA 03,1003000039,9572,0,0.0
COMUNA 03,1003000040,7372,8,0.11
COMUNA 03,1003000041,13710,14,0.1
COMUNA 03,1003000042,12455,1,0.01
COMUNA 04,1004000043,9225,0,0.0
COMUNA 04,1004000044,7284,9,0.12
COMUNA 04,1004000045,5355,0,0.0
COMUNA 04,1004000046,4895,7,0.14
COMUNA 04,1004000047,11120,2,0.02
COMUNA 04,1004000048,10278,0,0.0
COMUNA 04,1004000049,9729,9,0.09
