NOMBRE_REGION,VOTOS_TOTALES_JEFGOB,VOTOS_FIT_JEFGOB,VOTOS_CF_JEFGOB,VOTOS_FDT_JEFGOB,VOTOS_JXC_JEFGOB,VOTOS_ULD_JEFGOB,VOTOS_NULO_JEFGOB,VOTOS_RECURRIDO_JEFGOB,VOTOS_IMPUGNADO_JEFGOB,VOTOS_BLANCO_JEFGOB,VOTOS_OTROS_JEFGOB
COMUNA 01,122434,4519,7072,40885,56382,25,914,61,9,10106,2461
COMUNA 02,103719,2700,5364,19015,66945,4,662,47,25,7474,1483
COMUNA 03,117105,5299,8118,41479,48171,23,1166,23,6,10027,2793
COMUNA 04,137377,5825,9018,54806,49209,44,1267,74,55,14203,2876
COMUNA 05,121900,6016,9207,42240,50721,41,1077,35,15,9280,3268
COMUNA 06,127600,5518,9838,37342,61167,95,1104,34,8,9094,3400
COMUNA 07,134676,5444,10492,47007,55597,28,1188,48,68,11554,3250
COMUNA 08,107396,4014,7101,50118,33339,84,1095,52,80,9711,1802
COMUNA 09,116909,4566,10143,43885,44444,95,1149,30,66,10069,2462
COMUNA 10,118876,5062,10612,39417,49292,57,1243,82,42,10050,3019
COMUNA 11,137374,5437,11754,41353,63108,170,1387,35,20,10778,3332
COMUNA 12,151802,6317,12166,44305,72486,59,1480,35,30,11447,3477
COMUNA 13,168245,5539,10385,35193,100863,57,1283,31,14,11745,3135
COMUNA 14,156319,4889,8842,34391,93547,90,1137,34,22,10680,2687
COMUNA 15,128877,6349,9459,45470,52804,105,1271,58,16,9665,3680
