NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_PRES,VOTOS_IMPUGNADO_PRES,PORCENTAJE_IMPUGNADO_PRES
COMUNA 01,1001000001,7137,3,0.04
COMUNA 01,1001000002,6643,0,0.0
COMUNA 01,1001000003,3377,0,0.0
COMUNA 01,1001000005,5402,1,0.02
COMUNA 01,1001000006,11110,1,0.01
COMUNA 01,1001000007,5335,0,0.0
COMUNA 01,1001000008,5738,1,0.02
COMUNA 01,1001000009,7313,3,0.04
COMUNA 01,1001000010,8189,0,0.0
COMUNA 01,1001000011,8197,0,0.0
COMUNA 01,1001000012,7778,1,0.01
COMUNA 01,1001000013,8908,0,0.0
COMUNA 01,1001000014,3528,0,0.0
COMUNA 01,1001000015,5819,0,0.0
COMUNA 01,1001000016,5959,0,0.0
COMUNA 01,1001000017,8788,0,0.0
COMUNA 01,1001000018,4918,2,0.04
COMUNA 01,1001000019,7895,2,0.03
COMUNA 02,1002000020,7172,2,0.03
COMUNA 02,1002000021,8085,0,0.0
COMUNA 02,1002000022,11880,7,0.06
COMUNA 02,1002000023,14764,4,0.03
COMUNA 02,1002000024,9718,4,0.04
COMUNA 02,1002000025,9396,1,0.01
COMUNA 02,1002000026,12262,1,0.01
COMUNA 02,1002000027,9160,0,0.0
COMUNA 02,1002000028,13232,0,0.0
COMUNA 02,1002000029,8625,2,0.02
COMUNA 03,1003000030,7996,0,0.0
COMUNA 03,1003000031,8885,0,0.0
COMUNA 03,1003000032,7971,0,0.0
COMUNA 03,1003000033,6477,0,0.0
COMUNA 03,1003000034,10017,0,0.0
COMUNA 03,1003000035,9320,0,0.0
COMUNA 03,1003000036,6242,0,0.0
COMUNA 03,1003000037,8264,0,0.0
COMUNA 03,1003000038,9115,0,0.0
COMUNA 03,1003000039,9584,0,0.0
COMUNA 03,1003000040,7370,0,0.0
COMUNA 03,1003000041,13765,6,0.04
COMUNA 03,1003000042,12151,1,0.01
COMUNA 04,1004000043,9222,0,0.0
COMUNA 04,1004000044,7296,0,0.0
COMUNA 04,1004000045,5354,0,0.0
COMUNA 04,1004000046,4894,0,0.0
COMUNA 04,1004000047,11199,6,0.05
COMUNA 04,1004000048,10301,1,0.01
COMUNA 04,1004000049,9162,3,0.03
COMUNA 04,1004000050,11010,1,0.01
COMUNA 04,1004000051,8029,6,0.07
COMUNA 04,1004000052,9377,10,0.11
COMUNA 04,1004000053,10605,0,0.0
COMUNA 04,1004000054,11533,0,0.0
COMUNA 04,1004000055,7434,4,0.05
COMUNA 04,1004000056,6819,0,0.0
COMUNA 04,1004000057,14664,4,0.03
COMUNA 05,1005000058,10885,0,0.0
COMUNA 05,1005000059,10370,0,0.0
COMUNA 05,1005000060,12272,0,0.0
COMUNA 05,1005000061,11715,0,0.0
COMUNA 05,1005000062,8030,3,0.04
COMUNA 05,1005000063,15545,3,0.02
COMUNA 05,1005000064,16707,2,0.01
COMUNA 05,1005000065,10511,1,0.01
COMUNA 05,1005000066,10201,0,0.0
COMUNA 05,1005000067,15739,6,0.04
COMUNA 06,1006000068,15756,0,0.0
COMUNA 06,1006000069,22541,2,0.01
COMUNA 06,1006000070,20657,0,0.0
COMUNA 06,1006000071,24706,1,0.0
COMUNA 06,1006000072,10797,3,0.03
COMUNA 06,1006000073,13841,0,0.0
COMUNA 06,1006000074,19296,3,0.02
COMUNA 07,1007000075,8290,3,0.04
COMUNA 07,1007000076,13226,1,0.01
COMUNA 07,1007000077,10301,13,0.13
COMUNA 07,1007000078,8198,0,0.0
COMUNA 07,1007000079,10081,25,0.25
COMUNA 07,1007000080,10634,5,0.05
COMUNA 07,1007000081,9812,0,0.0
COMUNA 07,1007000082,11311,2,0.02
COMUNA 07,1007000083,16294,1,0.01
COMUNA 07,1007000084,8846,0,0.0
COMUNA 07,1007000085,6089,0,0.0
COMUNA 07,1007000086,21039,5,0.02
COMUNA 08,1008000087,23153,17,0.07
COMUNA 08,1008000088,13116,0,0.0
COMUNA 08,1008000089,36250,1,0.0
COMUNA 08,1008000090,34601,50,0.14
COMUNA 09,1009000091,6731,0,0.0
COMUNA 09,1009000092,10706,0,0.0
COMUNA 09,1009000093,6695,0,0.0
COMUNA 09,1009000094,8441,0,0.0
COMUNA 09,1009000095,15018,0,0.0
COMUNA 09,1009000096,8485,0,0.0
COMUNA 09,1009000097,10997,2,0.02
COMUNA 09,1009000098,16240,1,0.01
COMUNA 09,1009000099,8796,0,0.0
COMUNA 09,1009000100,11076,3,0.03
COMUNA 09,1009000101,13447,24,0.18
COMUNA 10,1010000102,10509,0,0.0
COMUNA 10,1010000103,10289,1,0.01
COMUNA 10,1010000104,10113,0,0.0
COMUNA 10,1010000105,14873,4,0.03
COMUNA 10,1010000106,9278,2,0.02
COMUNA 10,1010000107,15517,0,0.0
COMUNA 10,1010000108,9711,12,0.12
COMUNA 10,1010000109,15192,2,0.01
COMUNA 10,1010000110,8071,0,0.0
COMUNA 10,1010000111,8598,2,0.02
COMUNA 10,1010000112,6582,0,0.0
COMUNA 11,1011000113,10248,0,0.0
COMUNA 11,1011000114,13509,1,0.01
COMUNA 11,1011000115,9425,0,0.0
COMUNA 11,1011000116,13646,2,0.01
COMUNA 11,1011000117,14829,0,0.0
COMUNA 11,1011000118,11656,0,0.0
COMUNA 11,1011000119,14519,0,0.0
COMUNA 11,1011000120,15266,4,0.03
COMUNA 11,1011000121,12467,1,0.01
COMUNA 11,1011000122,10589,0,0.0
COMUNA 11,1011000123,11582,13,0.11
COMUNA 12,1012000124,13349,0,0.0
COMUNA 12,1012000125,17581,4,0.02
COMUNA 12,1012000126,14680,3,0.02
COMUNA 12,1012000127,19338,3,0.02
COMUNA 12,1012000128,15923,0,0.0
COMUNA 12,1012000129,20511,0,0.0
COMUNA 12,1012000130,13885,3,0.02
COMUNA 12,1012000131,4523,3,0.07
COMUNA 12,1012000132,15977,11,0.07
COMUNA 12,1012000133,16392,0,0.0
COMUNA 13,1013000134,6838,0,0.0
COMUNA 13,1013000135,9470,0,0.0
COMUNA 13,1013000136,11514,5,0.04
COMUNA 13,1013000137,11092,4,0.04
COMUNA 13,1013000138,22404,0,0.0
COMUNA 13,1013000139,14138,1,0.01
COMUNA 13,1013000140,6549,1,0.02
COMUNA 13,1013000141,11241,0,0.0
COMUNA 13,1013000142,18669,3,0.02
COMUNA 13,1013000143,13904,0,0.0
