NOMBRE_REGION,CODIGO_CIRCUITO,MEDIANA_EDAD
COMUNA 01,1001000001.0,44.5
COMUNA 01,1001000002.0,40.0
COMUNA 01,1001000003.0,37.0
COMUNA 01,1001000005.0,30.0
COMUNA 01,1001000006.0,49.0
COMUNA 01,1001000007.0,46.0
COMUNA 01,1001000008.0,47.0
COMUNA 01,1001000009.0,39.0
COMUNA 01,1001000010.0,40.0
COMUNA 01,1001000011.0,40.0
COMUNA 01,1001000012.0,45.0
COMUNA 01,1001000013.0,42.0
COMUNA 01,1001000015.0,40.0
COMUNA 01,1001000016.0,43.0
COMUNA 01,1001000017.0,39.0
COMUNA 01,1001000018.0,40.0
COMUNA 02,1002000020.0,48.0
COMUNA 02,1002000021.0,50.0
COMUNA 02,1002000024.0,43.0
COMUNA 02,1002000025.0,45.0
COMUNA 02,1002000026.0,48.0
COMUNA 02,1002000028.0,38.0
COMUNA 02,1002000029.0,37.0
COMUNA 03,1003000030.0,38.0
COMUNA 03,1003000031.0,40.0
COMUNA 03,1003000032.0,39.0
COMUNA 03,1003000033.0,41.0
COMUNA 03,1003000034.0,42.0
COMUNA 03,1003000035.0,41.0
COMUNA 03,1003000037.0,43.0
COMUNA 03,1003000038.0,42.0
COMUNA 03,1003000039.0,43.0
COMUNA 03,1003000042.0,42.0
COMUNA 04,1004000043.0,43.0
COMUNA 04,1004000044.0,43.0
COMUNA 04,1004000045.0,41.0
COMUNA 04,1004000046.0,40.0
COMUNA 04,1004000048.0,45.0
COMUNA 04,1004000049.0,39.0
COMUNA 04,1004000050.0,53.0
COMUNA 04,1004000051.0,43.0
COMUNA 04,1004000052.0,36.0
COMUNA 04,1004000053.0,43.0
COMUNA 04,1004000054.0,42.0
COMUNA 04,1004000055.0,40.0
COMUNA 04,1004000056.0,45.0
COMUNA 04,1004000057.0,43.0
COMUNA 05,1005000058.0,43.0
COMUNA 05,1005000059.0,44.0
COMUNA 05,1005000060.0,44.0
COMUNA 05,1005000061.0,42.0
COMUNA 05,1005000062.0,45.0
COMUNA 05,1005000063.0,39.0
COMUNA 05,1005000064.0,43.0
COMUNA 05,1005000065.0,41.0
COMUNA 05,1005000066.0,42.0
COMUNA 05,1005000067.0,44.0
COMUNA 06,1006000068.0,44.0
COMUNA 06,1006000069.0,49.0
COMUNA 06,1006000070.0,45.0
COMUNA 06,1006000071.0,42.0
COMUNA 06,1006000072.0,44.0
COMUNA 06,1006000073.0,44.0
COMUNA 06,1006000074.0,43.0
COMUNA 07,1007000076.0,46.0
COMUNA 07,1007000077.0,45.0
COMUNA 07,1007000078.0,45.0
COMUNA 07,1007000079.0,45.0
COMUNA 07,1007000080.0,45.0
COMUNA 07,1007000081.0,47.0
COMUNA 07,1007000082.0,46.0
COMUNA 07,1007000083.0,50.0
COMUNA 07,1007000084.0,43.0
COMUNA 07,1007000085.0,46.0
COMUNA 07,1007000086.0,33.0
COMUNA 08,1008000087.0,40.0
COMUNA 08,1008000088.0,45.0
COMUNA 08,1008000089.0,35.0
COMUNA 08,1008000090.0,37.0
COMUNA 09,1009000091.0,33.0
COMUNA 09,1009000092.0,42.0
COMUNA 09,1009000093.0,42.0
COMUNA 09,1009000094.0,48.0
COMUNA 09,1009000095.0,44.0
COMUNA 09,1009000096.0,44.0
COMUNA 09,1009000097.0,43.0
COMUNA 09,1009000098.0,46.0
COMUNA 09,1009000099.0,45.0
COMUNA 09,1009000100.0,45.0
COMUNA 09,1009000101.0,46.0
COMUNA 10,1010000102.0,46.0
COMUNA 10,1010000103.0,46.0
COMUNA 10,1010000104.0,46.0
COMUNA 10,1010000105.0,45.0
COMUNA 10,1010000106.0,45.0
COMUNA 10,1010000107.0,43.0
COMUNA 10,1010000108.0,44.0
COMUNA 10,1010000109.0,45.0
COMUNA 10,1010000110.0,46.0
COMUNA 10,1010000111.0,45.0
COMUNA 10,1010000112.0,42.0
COMUNA 11,1011000114.0,45.0
COMUNA 11,1011000115.0,43.5
COMUNA 11,1011000116.0,43.0
COMUNA 11,1011000117.0,46.0
COMUNA 11,1011000118.0,46.0
COMUNA 11,1011000119.0,47.0
COMUNA 11,1011000120.0,42.0
COMUNA 11,1011000121.0,46.0
COMUNA 11,1011000122.0,49.0
COMUNA 11,1011000123.0,46.0
COMUNA 12,1012000124.0,47.0
COMUNA 12,1012000125.0,47.0
COMUNA 12,1012000126.0,44.0
COMUNA 12,1012000127.0,46.0
COMUNA 12,1012000129.0,44.0
COMUNA 12,1012000130.0,43.0
COMUNA 12,1012000131.0,47.0
COMUNA 12,1012000132.0,46.0
COMUNA 12,1012000133.0,43.0
COMUNA 13,1013000134.0,45.0
COMUNA 13,1013000135.0,41.0
COMUNA 13,1013000136.0,43.0
COMUNA 13,1013000137.0,42.0
COMUNA 13,1013000138.0,44.0
COMUNA 13,1013000139.0,43.0
COMUNA 13,1013000140.0,43.0
COMUNA 13,1013000141.0,41.0
COMUNA 13,1013000142.0,50.0
COMUNA 13,1013000143.0,45.0
COMUNA 13,1013000144.0,52.0
COMUNA 13,1013000145.0,45.0
COMUNA 13,1013000146.0,41.0
COMUNA 13,1013000147.0,45.0
COMUNA 14,1014000148.0,44.0
COMUNA 14,1014000149.0,43.0
COMUNA 14,1014000150.0,48.0
COMUNA 14,1014000151.0,40.0
COMUNA 14,1014000152.0,49.0
COMUNA 14,1014000153.0,46.0
COMUNA 14,1014000154.0,40.0
COMUNA 14,1014000155.0,39.0
COMUNA 14,1014000156.0,43.0
COMUNA 14,1014000157.0,37.0
COMUNA 15,1015000158.0,42.0
COMUNA 15,1015000159.0,44.0
