,geometry,centroide,CODIGO_CIRCUITO,NOMBRE_REGION,VOTOS_TOTALES_PRES,VOTOS_FIT_PRES,PORCENTAJE_FIT_PRES,ESPERANZA_EDAD_AGRUPADA
364261,"POLYGON ((-6499226.767579486 -4108249.5628491584, -6499300.423275206 -4108423.8148075375, -6499308.385061722 -4108419.0677314526, -6499313.92096893 -4108414.2816286543, -6499379.0317751225 -4108363.530411308, -6499482.247220443 -4108281.703278397, -6499492.692885913 -4108273.3397220564, -6499382.604083909 -4108139.3339146706, -6499241.487751091 -4108239.4401900773, -6499226.767579486 -4108249.5628491584))",POINT (-6499351.762265292 -4108275.6329806847),1001000006.0,COMUNA 01,11110,148,1.33,2.6963685272360456
519946,"POLYGON ((-6499892.725325214 -4109897.800427954, -6499884.651508791 -4110062.230202506, -6499901.009215065 -4110063.7115353723, -6500039.198144957 -4110072.6313568037, -6500076.775799218 -4110075.061974216, -6500088.783134268 -4109930.1980718705, -6500089.650872137 -4109913.7561255354, -6500075.103326584 -4109912.9135708064, -6500044.804818643 -4109910.5996445706, -6499907.850329349 -4109900.4809030225, -6499892.725325214 -4109897.800427954))",POINT (-6499985.854046017 -4109987.3321957192),1001000010.0,COMUNA 01,8189,273,3.33,2.426216324889425
272932,"POLYGON ((-6499731.437129716 -4106725.7791317464, -6499744.5160001265 -4106742.440188516, -6499735.9104770655 -4106749.613794899, -6499727.940377262 -4106754.969675983, -6499720.557280332 -4106761.5535845985, -6499712.558108519 -4106768.7369133304, -6499676.37476884 -4106793.747175878, -6499653.060964989 -4106810.4336241544, -6499616.290360641 -4106834.2157326196, -6499549.525585707 -4106875.1861266303, -6499526.182343197 -4106893.6998897158, -6499523.718010916 -4106896.0975585477, -6499511.425423975 -4106906.258427364, -6499522.781956634 -4106916.7991925804, -6499533.168122348 -4106912.091506841, -6499540.9057401605 -4106921.3555021933, -6499509.417505573 -4106956.190012676, -6499515.335959704 -4106965.424837976, -6499522.428420949 -4106977.1157963453, -6499580.559055502 -4106945.146302447, -6499723.358882819 -4106852.385529876, -6499769.399383242 -4106817.784154713, -6499844.404118402 -4106754.400410651, -6499822.326185878 -4106731.502098863, -6499820.48768933 -4106732.691226735, -6499731.437129716 -4106725.7791317464))",POINT (-6499670.699942754 -4106841.0691940817),1001000005.0,COMUNA 01,5402,176,3.26,1.8005337899083493
780480,"POLYGON ((-6498993.00659149 -4112326.9725448266, -6498993.399006299 -4112340.390163138, -6498994.52755664 -4112383.690361281, -6498994.055998128 -4112489.145217211, -6498993.961429451 -4112533.0358715155, -6498990.839010116 -4112652.470638851, -6499161.800635293 -4112663.1516525694, -6499162.384064545 -4112512.5854360573, -6499162.656519797 -4112495.520650988, -6499163.502565009 -4112328.5015659574, -6499142.268828562 -4112328.1594407083, -6499019.710149299 -4112326.7935482636, -6498993.00659149 -4112326.9725448266))",POINT (-6499078.413605657 -4112492.834472223),1001000017.0,COMUNA 01,8788,391,4.45,2.3685800604229605
778981,"POLYGON ((-6498507.348553156 -4112831.207867002, -6498505.881206099 -4112847.034536216, -6498470.4434765475 -4113051.299275369, -6498610.059322592 -4113124.88515323, -6498615.646701751 -4113117.050065304, -6498675.15180226 -4112849.7706716983, -6498526.127065111 -4112833.340422191, -6498507.348553156 -4112831.207867002))",POINT (-6498570.331630172 -4112964.1211877987),1001000016.0,COMUNA 01,5959,287,4.82,2.5463642428285524
511803,"POLYGON ((-6497664.585607894 -4109427.9070151076, -6497622.58449427 -4109549.7244731532, -6497616.23487011 -4109567.29551341, -6497567.158642352 -4109713.987247514, -6497642.838051094 -4109723.7489896244, -6497757.228048563 -4109740.8426508605, -6497775.384915432 -4109743.57516921, -6497792.3483150415 -4109745.069364843, -6497797.190802965 -4109745.757404041, -6497860.133412607 -4109755.311034141, -6497860.955404816 -4109741.916149563, -6497872.726228693 -4109613.5108714323, -6497873.606944067 -4109596.4603665182, -6497873.783206005 -4109585.493017252, -6497883.998467276 -4109440.6091522262, -6497868.238753887 -4109439.744113923, -6497856.724678795 -4109438.9479172374, -6497839.771520175 -4109436.8445861167, -6497822.192260367 -4109435.949967912, -6497664.585607894 -4109427.9070151076))",POINT (-6497744.1696453625 -4109591.795161944),1001000009.0,COMUNA 01,7313,201,2.75,2.3935895861476113
640532,"POLYGON ((-6499541.762785182 -4110525.426745955, -6499540.85535343 -4110544.306915481, -6499534.003387361 -4110669.7562689204, -6499534.3770440705 -4110684.3906541476, -6499681.633206535 -4110695.899321351, -6499693.148754292 -4110696.6937733986, -6499700.993414801 -4110546.879548985, -6499701.745441111 -4110537.7489937656, -6499690.239751174 -4110536.3452144396, -6499559.960254216 -4110525.7192031094, -6499541.762785182 -4110525.426745955))",POINT (-6499617.450899961 -4110610.690280535),1001000011.0,COMUNA 01,8197,290,3.54,2.4184975194897236
758598,"POLYGON ((-6498370.005326527 -4112162.0702445456, -6498368.557451209 -4112176.6770872166, -6498364.655819821 -4112306.4584391946, -6498364.460356769 -4112318.6473230226, -6498516.109778295 -4112322.319630261, -6498527.636625393 -4112322.5060059438, -6498531.9952904945 -4112164.080789489, -6498519.245505439 -4112164.484245222, -6498370.005326527 -4112162.0702445456))",POINT (-6498448.373823607 -4112242.0362129994),1001000002.0,COMUNA 01,6643,335,5.04,2.5
695023,"POLYGON ((-6499664.420701137 -4111167.3987591695, -6499664.071505247 -4111189.336690776, -6499665.489920871 -4111328.945767896, -6499681.868818505 -4111329.2088574953, -6499827.313716239 -4111340.6873158244, -6499826.017179336 -4111307.750765925, -6499825.238223795 -4111204.11525547, -6499826.8100354755 -4111181.5873628985, -6499664.420701137 -4111167.3987591695))",POINT (-6499745.162049317 -4111254.325674343),1001000012.0,COMUNA 01,7778,294,3.78,2.6365131578947367
825199,"POLYGON ((-6499319.712802147 -4112997.3342220825, -6499319.401653163 -4113016.837709225, -6499318.038314429 -4113178.3717823527, -6499316.472731034 -4113276.500601078, -6499316.573796157 -4113308.204330446, -6499351.735050281 -4113310.5993634034, -6499469.999166388 -4113315.5507768993, -6499605.84896983 -4113321.393298242, -6499631.919068828 -4113323.031653567, -6499632.462678034 -4113288.8996073524, -6499633.637239138 -4113215.1503567914, -6499634.564294616 -4113195.0467589004, -6499612.74157218 -4113193.4767055223, -6499498.73541381 -4113187.985714467, -6499472.049215493 -4113186.946812955, -6499475.570527355 -4113004.109834574, -6499448.884767853 -4113003.07090932, -6499319.712802147 -4112997.3342220825))",POINT (-6499442.620772449 -4113185.9123431323),1001000018.0,COMUNA 01,4918,219,4.45,2.3938832252085263
798611,"POLYGON ((-6498015.780840608 -4112945.1741162706, -6498014.801968619 -4112968.3244318683, -6498010.8467135765 -4113101.1619715444, -6498010.562675208 -4113118.837063613, -6498003.025680186 -4113247.960356823, -6498002.643665192 -4113271.7306203903, -6498029.3298100345 -4113272.773043182, -6498148.815716729 -4113277.148580166, -6498152.035306676 -4113265.6173358466, -6498159.971859166 -4113111.5047131167, -6498160.793875532 -4113098.1058507203, -6498167.262271972 -4112959.8222483424, -6498050.333841528 -4112947.5632836744, -6498015.780840608 -4112945.1741162706))",POINT (-6498084.294139098 -4113112.6972383736),1001000001.0,COMUNA 01,7137,343,4.81,2.582618025751073
722267,"POLYGON ((-6499018.820040234 -4111584.9156425293, -6499017.139438409 -4111614.1476556235, -6499012.1170384195 -4111700.625315833, -6499011.747049217 -4111723.7830403834, -6499032.969900077 -4111724.7347712927, -6499157.215506165 -4111734.0519404504, -6499173.575499386 -4111735.534635129, -6499176.5786746675 -4111623.422280442, -6499178.758505248 -4111600.903466477, -6499041.852810346 -4111586.5060839294, -6499018.820040234 -4111584.9156425293))",POINT (-6499094.751515443 -4111661.0448773294),1001000013.0,COMUNA 01,8908,406,4.56,2.49185667752443
