,NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_PRES,VOTOS_FIT_PRES,PORCENTAJE_FIT_PRES,VOTOS_CF_PRES,PORCENTAJE_CF_PRES,VOTOS_FDT_PRES,PORCENTAJE_FDT_PRES,VOTOS_JXC_PRES,PORCENTAJE_JXC_PRES,VOTOS_NOS_PRES,PORCENTAJE_NOS_PRES,VOTOS_ULD_PRES,PORCENTAJE_ULD_PRES,VOTOS_NULO_PRES,PORCENTAJE_NULO_PRES,VOTOS_RECURRIDO_PRES,PORCENTAJE_RECURRIDO_PRES,VOTOS_IMPUGNADO_PRES,PORCENTAJE_IMPUGNADO_PRES,VOTOS_BLANCO_PRES,PORCENTAJE_BLANCO_PRES,VOTOS_OTROS_PRES,PORCENTAJE_OTROS_PRES,VOTOS_TOTALES_DIPNAC,VOTOS_FIT_DIPNAC,PORCENTAJE_FIT_DIPNAC,VOTOS_CF_DIPNAC,PORCENTAJE_CF_DIPNAC,VOTOS_FDT_DIPNAC,PORCENTAJE_FDT_DIPNAC,VOTOS_JXC_DIPNAC,PORCENTAJE_JXC_DIPNAC,VOTOS_ULD_DIPNAC,PORCENTAJE_ULD_DIPNAC,VOTOS_NULO_DIPNAC,PORCENTAJE_NULO_DIPNAC,VOTOS_RECURRIDO_DIPNAC,PORCENTAJE_RECURRIDO_DIPNAC,VOTOS_IMPUGNADO_DIPNAC,PORCENTAJE_IMPUGNADO_DIPNAC,VOTOS_BLANCO_DIPNAC,PORCENTAJE_BLANCO_DIPNAC,VOTOS_OTROS_DIPNAC,PORCENTAJE_OTROS_DIPNAC
0,COMUNA 01,1001000001,7137,343,4.81,483,6.77,3002,42.06,2637,36.95,75,1.05,209,2.93,46,0.64,1,0.01,3,0.04,215,3.01,123,1.72,7115,414,5.82,428,6.02,2815,39.56,2648,37.22,182,2.56,43,0.6,2,0.03,3,0.04,283,3.98,297,4.17
1,COMUNA 01,1001000002,6643,335,5.04,456,6.86,2868,43.17,2274,34.23,81,1.22,219,3.3,77,1.16,2,0.03,0,0.0,220,3.31,111,1.67,6635,401,6.04,396,5.97,2701,40.71,2296,34.6,199,3.0,75,1.13,2,0.03,0,0.0,279,4.2,286,4.31
2,COMUNA 01,1001000003,3377,31,0.92,181,5.36,466,13.8,2467,73.05,25,0.74,139,4.12,11,0.33,1,0.03,0,0.0,42,1.24,14,0.41,3377,47,1.39,150,4.44,435,12.88,2486,73.62,119,3.52,8,0.24,1,0.03,0,0.0,79,2.34,52,1.54
3,COMUNA 01,1001000005,5402,176,3.26,184,3.41,3616,66.94,899,16.64,70,1.3,93,1.72,58,1.07,5,0.09,1,0.02,242,4.48,58,1.07,5393,182,3.37,164,3.04,3372,62.53,892,16.54,86,1.59,54,1.0,4,0.07,1,0.02,499,9.25,139,2.58
4,COMUNA 01,1001000006,11110,148,1.33,433,3.9,1150,10.35,8458,76.13,233,2.1,363,3.27,50,0.45,4,0.04,1,0.01,210,1.89,60,0.54,11100,187,1.68,371,3.34,1069,9.63,8111,73.07,316,2.85,53,0.48,5,0.05,1,0.01,338,3.05,649,5.85
5,COMUNA 01,1001000007,5335,106,1.99,284,5.32,877,16.44,3539,66.34,148,2.77,178,3.34,44,0.82,1,0.02,0,0.0,110,2.06,48,0.9,5335,133,2.49,249,4.67,817,15.31,3425,64.2,161,3.02,43,0.81,0,0.0,0,0.0,170,3.19,337,6.32
6,COMUNA 01,1001000008,5738,133,2.32,357,6.22,1277,22.26,3337,58.16,110,1.92,213,3.71,33,0.58,1,0.02,1,0.02,213,3.71,63,1.1,5688,156,2.74,302,5.31,1197,21.04,3292,57.88,188,3.31,27,0.47,3,0.05,1,0.02,240,4.22,282,4.96
7,COMUNA 01,1001000009,7313,201,2.75,521,7.12,1961,26.82,3826,52.32,142,1.94,301,4.12,71,0.97,0,0.0,3,0.04,186,2.54,101,1.38,7309,224,3.06,462,6.32,1845,25.24,3855,52.74,257,3.52,68,0.93,0,0.0,1,0.01,346,4.73,251,3.43
8,COMUNA 01,1001000010,8189,273,3.33,648,7.91,2199,26.85,4151,50.69,128,1.56,320,3.91,84,1.03,9,0.11,0,0.0,239,2.92,138,1.69,8189,330,4.03,556,6.79,2025,24.73,4162,50.82,271,3.31,78,0.95,9,0.11,0,0.0,317,3.87,441,5.39
9,COMUNA 01,1001000011,8197,290,3.54,660,8.05,2968,36.21,3385,41.3,95,1.16,326,3.98,63,0.77,8,0.1,0,0.0,273,3.33,129,1.57,8197,346,4.22,566,6.9,2795,34.1,3382,41.26,273,3.33,70,0.85,8,0.1,0,0.0,378,4.61,379,4.62
