NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM13,VOTOS_NULO_COM13,PORCENTAJE_NULO_COM13
COMUNA 13,1013000134,6826,69,1.01
COMUNA 13,1013000135,9428,75,0.8
COMUNA 13,1013000136,11643,88,0.76
COMUNA 13,1013000137,10871,96,0.88
COMUNA 13,1013000138,22202,188,0.85
COMUNA 13,1013000139,14074,103,0.73
COMUNA 13,1013000140,6552,42,0.64
COMUNA 13,1013000141,11173,75,0.67
COMUNA 13,1013000142,18591,90,0.48
COMUNA 13,1013000143,13853,106,0.77
COMUNA 13,1013000144,6185,39,0.63
COMUNA 13,1013000145,11879,106,0.89
COMUNA 13,1013000146,8802,73,0.83
COMUNA 13,1013000147,15951,99,0.62
