NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM2,VOTOS_FIT_COM2,PORCENTAJE_FIT_COM2,VOTOS_CF_COM2,PORCENTAJE_CF_COM2,VOTOS_FDT_COM2,PORCENTAJE_FDT_COM2,VOTOS_JXC_COM2,PORCENTAJE_JXC_COM2,VOTOS_NULO_COM2,PORCENTAJE_NULO_COM2,VOTOS_RECURRIDO_COM2,PORCENTAJE_RECURRIDO_COM2,VOTOS_IMPUGNADO_COM2,PORCENTAJE_IMPUGNADO_COM2,VOTOS_BLANCO_COM2,PORCENTAJE_BLANCO_COM2
COMUNA 02,1002000020,6931,147,2.12,258,3.72,1291,18.63,4439,64.05,52,0.75,24,0.35,2,0.03,502,7.24
COMUNA 02,1002000021,8068,115,1.43,247,3.06,759,9.41,6026,74.69,35,0.43,2,0.02,0,0.0,542,6.72
COMUNA 02,1002000022,11853,378,3.19,651,5.49,2276,19.2,7254,61.2,74,0.62,7,0.06,7,0.06,975,8.23
COMUNA 02,1002000023,14732,435,2.95,833,5.65,2824,19.17,8996,61.06,87,0.59,9,0.06,8,0.05,1109,7.53
COMUNA 02,1002000024,9629,245,2.54,449,4.66,1490,15.47,6272,65.14,42,0.44,7,0.07,4,0.04,614,6.38
COMUNA 02,1002000025,9404,213,2.26,379,4.03,1241,13.2,6392,67.97,45,0.48,6,0.06,1,0.01,681,7.24
COMUNA 02,1002000026,12209,215,1.76,462,3.78,1451,11.88,8506,69.67,70,0.57,0,0.0,1,0.01,874,7.16
COMUNA 02,1002000027,9253,307,3.32,508,5.49,1950,21.07,5309,57.38,85,0.92,0,0.0,0,0.0,741,8.01
COMUNA 02,1002000028,13158,506,3.85,800,6.08,3287,24.98,7124,54.14,96,0.73,4,0.03,0,0.0,1099,8.35
COMUNA 02,1002000029,8608,357,4.15,547,6.35,2139,24.85,4607,53.52,65,0.76,6,0.07,2,0.02,708,8.22
