NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM4,VOTOS_FDT_COM4,PORCENTAJE_FDT_COM4
COMUNA 04,1004000043,12582,6776,53.85
COMUNA 04,1004000044,9944,5338,53.68
COMUNA 04,1004000045,7582,4462,58.85
COMUNA 04,1004000046,6891,3998,58.02
COMUNA 04,1004000047,17659,13134,74.38
COMUNA 04,1004000048,13871,7144,51.5
COMUNA 04,1004000049,13679,7914,57.86
COMUNA 04,1004000050,14169,6478,45.72
COMUNA 04,1004000051,10508,4896,46.59
COMUNA 04,1004000052,13391,8154,60.89
COMUNA 04,1004000053,15057,8874,58.94
COMUNA 04,1004000054,15777,8630,54.7
COMUNA 04,1004000055,10555,6286,59.55
COMUNA 04,1004000056,9956,5964,59.9
COMUNA 04,1004000057,20222,11166,55.22
