NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM4,VOTOS_JXC_COM4,PORCENTAJE_JXC_COM4
COMUNA 04,1004000043,12582,3415,27.14
COMUNA 04,1004000044,9944,2742,27.57
COMUNA 04,1004000045,7582,1866,24.61
COMUNA 04,1004000046,6891,1660,24.09
COMUNA 04,1004000047,17659,1711,9.69
COMUNA 04,1004000048,13871,4253,30.66
COMUNA 04,1004000049,13679,3373,24.66
COMUNA 04,1004000050,14169,5129,36.2
COMUNA 04,1004000051,10508,3651,34.74
COMUNA 04,1004000052,13391,2916,21.78
COMUNA 04,1004000053,15057,3288,21.84
COMUNA 04,1004000054,15777,4351,27.58
COMUNA 04,1004000055,10555,2380,22.55
COMUNA 04,1004000056,9956,2205,22.15
COMUNA 04,1004000057,20222,5119,25.31
