NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM7,VOTOS_BLANCO_COM7,PORCENTAJE_BLANCO_COM7
COMUNA 07,1007000075,8194,649,7.92
COMUNA 07,1007000076,13107,1219,9.3
COMUNA 07,1007000077,10239,1047,10.23
COMUNA 07,1007000078,8193,870,10.62
COMUNA 07,1007000079,10072,1047,10.4
COMUNA 07,1007000080,10600,1088,10.26
COMUNA 07,1007000081,9824,945,9.62
COMUNA 07,1007000082,11678,1203,10.3
COMUNA 07,1007000083,16300,1553,9.53
COMUNA 07,1007000084,8775,840,9.57
COMUNA 07,1007000085,6062,610,10.06
COMUNA 07,1007000086,21655,2556,11.8
