NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM7,VOTOS_FIT_COM7,PORCENTAJE_FIT_COM7
COMUNA 07,1007000075,8194,366,4.47
COMUNA 07,1007000076,13107,575,4.39
COMUNA 07,1007000077,10239,469,4.58
COMUNA 07,1007000078,8193,309,3.77
COMUNA 07,1007000079,10072,466,4.63
COMUNA 07,1007000080,10600,478,4.51
COMUNA 07,1007000081,9824,437,4.45
COMUNA 07,1007000082,11678,508,4.35
COMUNA 07,1007000083,16300,640,3.93
COMUNA 07,1007000084,8775,398,4.54
COMUNA 07,1007000085,6062,255,4.21
COMUNA 07,1007000086,21655,949,4.38
