NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_DIPNAC,VOTOS_RECURRIDO_DIPNAC,PORCENTAJE_RECURRIDO_DIPNAC
COMUNA 01,1001000001,7115,2,0.03
COMUNA 01,1001000002,6635,2,0.03
COMUNA 01,1001000003,3377,1,0.03
COMUNA 01,1001000005,5393,4,0.07
COMUNA 01,1001000006,11100,5,0.05
COMUNA 01,1001000007,5335,0,0.0
COMUNA 01,1001000008,5688,3,0.05
COMUNA 01,1001000009,7309,0,0.0
COMUNA 01,1001000010,8189,9,0.11
COMUNA 01,1001000011,8197,8,0.1
COMUNA 01,1001000012,7768,1,0.01
COMUNA 01,1001000013,8890,8,0.09
COMUNA 01,1001000014,3528,1,0.03
COMUNA 01,1001000015,5820,4,0.07
COMUNA 01,1001000016,5943,0,0.0
COMUNA 01,1001000017,8778,7,0.08
COMUNA 01,1001000018,4859,2,0.04
COMUNA 01,1001000019,7851,7,0.09
COMUNA 02,1002000020,6947,14,0.2
COMUNA 02,1002000021,8080,1,0.01
COMUNA 02,1002000022,11875,4,0.03
COMUNA 02,1002000023,14752,11,0.07
COMUNA 02,1002000024,9689,7,0.07
COMUNA 02,1002000025,9401,3,0.03
COMUNA 02,1002000026,12226,0,0.0
COMUNA 02,1002000027,9137,0,0.0
COMUNA 02,1002000028,13207,2,0.02
COMUNA 02,1002000029,8625,1,0.01
COMUNA 03,1003000030,7979,1,0.01
COMUNA 03,1003000031,8888,1,0.01
COMUNA 03,1003000032,7974,1,0.01
COMUNA 03,1003000033,6432,1,0.02
COMUNA 03,1003000034,10020,4,0.04
COMUNA 03,1003000035,9306,3,0.03
COMUNA 03,1003000036,6278,1,0.02
COMUNA 03,1003000037,8258,2,0.02
COMUNA 03,1003000038,9107,2,0.02
COMUNA 03,1003000039,9583,0,0.0
COMUNA 03,1003000040,7371,4,0.05
COMUNA 03,1003000041,13721,2,0.01
COMUNA 03,1003000042,12062,2,0.02
COMUNA 04,1004000043,9232,1,0.01
COMUNA 04,1004000044,7311,0,0.0
COMUNA 04,1004000045,5353,2,0.04
COMUNA 04,1004000046,4881,1,0.02
COMUNA 04,1004000047,11181,0,0.0
COMUNA 04,1004000048,10295,2,0.02
COMUNA 04,1004000049,9129,3,0.03
COMUNA 04,1004000050,10959,9,0.08
COMUNA 04,1004000051,8034,5,0.06
COMUNA 04,1004000052,9454,5,0.05
COMUNA 04,1004000053,10692,0,0.0
COMUNA 04,1004000054,11477,2,0.02
COMUNA 04,1004000055,7420,0,0.0
COMUNA 04,1004000056,6864,0,0.0
COMUNA 04,1004000057,14630,2,0.01
COMUNA 05,1005000058,10877,2,0.02
COMUNA 05,1005000059,10361,2,0.02
COMUNA 05,1005000060,12266,2,0.02
COMUNA 05,1005000061,11723,7,0.06
COMUNA 05,1005000062,8034,4,0.05
COMUNA 05,1005000063,15526,4,0.03
COMUNA 05,1005000064,16714,2,0.01
COMUNA 05,1005000065,10516,9,0.09
COMUNA 05,1005000066,10193,3,0.03
COMUNA 05,1005000067,15739,3,0.02
COMUNA 06,1006000068,15765,7,0.04
COMUNA 06,1006000069,22535,10,0.04
COMUNA 06,1006000070,20684,5,0.02
COMUNA 06,1006000071,24724,4,0.02
COMUNA 06,1006000072,10770,5,0.05
COMUNA 06,1006000073,13842,4,0.03
COMUNA 06,1006000074,19277,2,0.01
COMUNA 07,1007000075,8275,4,0.05
COMUNA 07,1007000076,13207,4,0.03
COMUNA 07,1007000077,10308,2,0.02
COMUNA 07,1007000078,8195,2,0.02
COMUNA 07,1007000079,10047,3,0.03
COMUNA 07,1007000080,10633,2,0.02
COMUNA 07,1007000081,9827,13,0.13
COMUNA 07,1007000082,11287,9,0.08
COMUNA 07,1007000083,16283,7,0.04
COMUNA 07,1007000084,8838,0,0.0
COMUNA 07,1007000085,6063,1,0.02
COMUNA 07,1007000086,20925,7,0.03
COMUNA 08,1008000087,22915,29,0.13
COMUNA 08,1008000088,13075,0,0.0
COMUNA 08,1008000089,36057,5,0.01
COMUNA 08,1008000090,34300,8,0.02
COMUNA 09,1009000091,6707,1,0.01
COMUNA 09,1009000092,10727,6,0.06
COMUNA 09,1009000093,6662,1,0.02
COMUNA 09,1009000094,8442,3,0.04
COMUNA 09,1009000095,15070,0,0.0
COMUNA 09,1009000096,8483,1,0.01
COMUNA 09,1009000097,10989,1,0.01
COMUNA 09,1009000098,16149,6,0.04
COMUNA 09,1009000099,8741,3,0.03
COMUNA 09,1009000100,11106,2,0.02
COMUNA 09,1009000101,13539,2,0.01
COMUNA 10,1010000102,10505,2,0.02
COMUNA 10,1010000103,10295,2,0.02
COMUNA 10,1010000104,10075,0,0.0
COMUNA 10,1010000105,14929,17,0.11
COMUNA 10,1010000106,9265,16,0.17
COMUNA 10,1010000107,15470,6,0.04
COMUNA 10,1010000108,9714,5,0.05
COMUNA 10,1010000109,15193,6,0.04
COMUNA 10,1010000110,8090,5,0.06
COMUNA 10,1010000111,8595,2,0.02
COMUNA 10,1010000112,6584,3,0.05
COMUNA 11,1011000113,10249,6,0.06
COMUNA 11,1011000114,13511,2,0.01
COMUNA 11,1011000115,9370,2,0.02
COMUNA 11,1011000116,13592,4,0.03
COMUNA 11,1011000117,14739,3,0.02
COMUNA 11,1011000118,11631,2,0.02
COMUNA 11,1011000119,14489,5,0.03
COMUNA 11,1011000120,15244,1,0.01
COMUNA 11,1011000121,12473,2,0.02
COMUNA 11,1011000122,10581,1,0.01
COMUNA 11,1011000123,11594,8,0.07
COMUNA 12,1012000124,13351,2,0.01
COMUNA 12,1012000125,17542,6,0.03
COMUNA 12,1012000126,14626,3,0.02
COMUNA 12,1012000127,19325,7,0.04
COMUNA 12,1012000128,15891,0,0.0
COMUNA 12,1012000129,20498,6,0.03
COMUNA 12,1012000130,13851,3,0.02
COMUNA 12,1012000131,4524,0,0.0
COMUNA 12,1012000132,15922,5,0.03
COMUNA 12,1012000133,16419,2,0.01
COMUNA 13,1013000134,6827,0,0.0
COMUNA 13,1013000135,9464,1,0.01
COMUNA 13,1013000136,11511,1,0.01
COMUNA 13,1013000137,10995,0,0.0
COMUNA 13,1013000138,22381,7,0.03
COMUNA 13,1013000139,14109,5,0.04
COMUNA 13,1013000140,6545,1,0.02
COMUNA 13,1013000141,11224,2,0.02
COMUNA 13,1013000142,18655,1,0.01
COMUNA 13,1013000143,13915,7,0.05
COMUNA 13,1013000144,6201,2,0.03
COMUNA 13,1013000145,11900,5,0.04
COMUNA 13,1013000146,8724,0,0.0
COMUNA 13,1013000147,16001,17,0.11
COMUNA 14,1014000148,17107,3,0.02
COMUNA 14,1014000149,19245,0,0.0
COMUNA 14,1014000150,9688,8,0.08
COMUNA 14,1014000151,19475,7,0.04
COMUNA 14,1014000152,15096,4,0.03
COMUNA 14,1014000153,17650,4,0.02
COMUNA 14,1014000154,20244,6,0.03
COMUNA 14,1014000155,18373,2,0.01
COMUNA 14,1014000156,7586,0,0.0
COMUNA 14,1014000157,12399,1,0.01
COMUNA 15,1015000158,15275,6,0.04
COMUNA 15,1015000159,9413,1,0.01
COMUNA 15,1015000160,17770,8,0.05
COMUNA 15,1015000161,15642,4,0.03
COMUNA 15,1015000162,12685,6,0.05
COMUNA 15,1015000163,9521,3,0.03
COMUNA 15,1015000164,8653,6,0.07
COMUNA 15,1015000165,15825,11,0.07
COMUNA 15,1015000166,13177,8,0.06
COMUNA 15,1015000167,10606,4,0.04
