NOMBRE_REGION,VOTOS_TOTALES_DIPNAC,VOTOS_FIT_DIPNAC,VOTOS_CF_DIPNAC,VOTOS_FDT_DIPNAC,VOTOS_JXC_DIPNAC,VOTOS_ULD_DIPNAC,VOTOS_NULO_DIPNAC,VOTOS_RECURRIDO_DIPNAC,VOTOS_IMPUGNADO_DIPNAC,VOTOS_BLANCO_DIPNAC,VOTOS_OTROS_DIPNAC
COMUNA 01,121775,5149,7231,39693,54235,3594,969,64,9,5447,5384
COMUNA 02,103939,3261,5573,18427,64237,3118,752,43,21,3208,5299
COMUNA 03,116979,6062,8283,40581,46741,3580,1244,24,6,5396,5062
COMUNA 04,136912,6427,9371,54060,47643,3661,1324,32,36,9021,5337
COMUNA 05,121949,7065,9484,41093,49069,3748,1136,38,15,4847,5454
COMUNA 06,127597,6597,10150,36017,59259,4037,1203,37,8,4515,5774
COMUNA 07,133888,6361,10864,45034,53916,4431,1266,54,57,6125,5780
COMUNA 08,106347,4164,7402,48922,32172,2697,1096,42,49,6356,3447
COMUNA 09,116615,5056,10564,42907,43213,3833,1171,26,32,5369,4444
COMUNA 10,118715,5900,10910,38467,47745,3733,1293,64,29,5224,5350
COMUNA 11,137473,6413,12284,40269,61243,4588,1459,36,20,5246,5915
COMUNA 12,151949,7440,12715,43184,70250,4983,1502,34,23,5684,6134
COMUNA 13,168452,6982,10896,34021,97722,5402,1382,49,14,5837,6147
COMUNA 14,156863,6070,9293,33295,91266,4602,1253,35,21,5333,5695
COMUNA 15,128567,7848,9709,43788,50999,3605,1345,57,18,5209,5989
