NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_JEFGOB,PORCENTAJE_FIT_JEFGOB,PORCENTAJE_CF_JEFGOB,PORCENTAJE_FDT_JEFGOB,PORCENTAJE_JXC_JEFGOB,PORCENTAJE_ULD_JEFGOB,PORCENTAJE_NULO_JEFGOB,PORCENTAJE_RECURRIDO_JEFGOB,PORCENTAJE_IMPUGNADO_JEFGOB,PORCENTAJE_BLANCO_JEFGOB,PORCENTAJE_OTROS_JEFGOB
COMUNA 01,1001000001,100,4.98,5.6,41.25,38.49,0.08,0.56,0.01,0.04,6.27,2.7
COMUNA 01,1001000002,100,5.01,5.89,41.52,35.88,0.03,1.01,0.03,0.0,8.0,2.62
COMUNA 01,1001000003,100,0.99,4.33,13.38,75.37,0.27,0.33,0.03,0.0,4.66,0.66
COMUNA 01,1001000005,100,3.56,3.04,63.05,16.77,0.0,0.97,0.05,0.02,11.37,1.16
COMUNA 01,1001000006,100,1.38,3.41,10.03,76.92,0.0,0.41,0.05,0.01,6.95,0.84
COMUNA 01,1001000007,100,1.99,4.39,15.74,68.51,0.02,0.69,0.0,0.0,7.52,1.14
COMUNA 01,1001000008,100,2.38,5.4,21.44,59.81,0.0,0.46,0.02,0.02,8.8,1.67
COMUNA 01,1001000009,100,2.66,6.1,25.72,54.39,0.0,0.93,0.0,0.01,8.55,1.63
COMUNA 01,1001000010,100,3.47,6.49,25.58,52.78,0.0,0.89,0.11,0.0,8.31,2.36
COMUNA 01,1001000011,100,3.68,6.78,34.76,42.63,0.0,0.72,0.1,0.0,9.03,2.29
COMUNA 01,1001000012,100,4.29,6.33,35.56,42.31,0.0,0.54,0.01,0.01,8.93,2.02
COMUNA 01,1001000013,100,4.78,7.49,36.34,40.68,0.0,0.76,0.09,0.01,7.4,2.45
COMUNA 01,1001000014,100,3.61,5.83,34.45,44.2,0.0,0.91,0.03,0.0,8.81,2.16
COMUNA 01,1001000015,100,4.59,6.41,41.3,35.37,0.1,0.85,0.07,0.0,8.94,2.38
