NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES,VOTOS_AGRUPACION,PORCENTAJE_AGRUPACION
COMUNA 01,1001000001,7137,215,3.01
COMUNA 01,1001000002,6643,220,3.31
COMUNA 01,1001000003,3377,42,1.24
COMUNA 01,1001000005,5402,242,4.48
COMUNA 01,1001000006,11110,210,1.89
COMUNA 01,1001000007,5335,110,2.06
COMUNA 01,1001000008,5738,213,3.71
COMUNA 01,1001000009,7313,186,2.54
COMUNA 01,1001000010,8189,239,2.92
COMUNA 01,1001000011,8197,273,3.33
COMUNA 01,1001000012,7778,273,3.51
COMUNA 01,1001000013,8908,271,3.04
COMUNA 01,1001000014,3528,108,3.06
COMUNA 01,1001000015,5819,174,2.99
COMUNA 01,1001000016,5959,209,3.51
COMUNA 01,1001000017,8788,297,3.38
COMUNA 01,1001000018,4918,155,3.15
COMUNA 01,1001000019,7895,237,3.0
COMUNA 02,1002000020,7172,154,2.15
COMUNA 02,1002000021,8085,154,1.9
COMUNA 02,1002000022,11880,299,2.52
COMUNA 02,1002000023,14764,340,2.3
COMUNA 02,1002000024,9718,242,2.49
COMUNA 02,1002000025,9396,221,2.35
COMUNA 02,1002000026,12262,234,1.91
COMUNA 02,1002000027,9160,262,2.86
COMUNA 02,1002000028,13232,353,2.67
COMUNA 02,1002000029,8625,234,2.71
COMUNA 03,1003000030,7996,270,3.38
COMUNA 03,1003000031,8885,269,3.03
COMUNA 03,1003000032,7971,266,3.34
COMUNA 03,1003000033,6477,240,3.71
COMUNA 03,1003000034,10017,328,3.27
COMUNA 03,1003000035,9320,283,3.04
COMUNA 03,1003000036,6242,212,3.4
COMUNA 03,1003000037,8264,259,3.13
COMUNA 03,1003000038,9115,275,3.02
COMUNA 03,1003000039,9584,313,3.27
COMUNA 03,1003000040,7370,241,3.27
COMUNA 03,1003000041,13765,476,3.46
COMUNA 03,1003000042,12151,358,2.95
COMUNA 04,1004000043,9222,334,3.62
COMUNA 04,1004000044,7296,238,3.26
COMUNA 04,1004000045,5354,235,4.39
COMUNA 04,1004000046,4894,207,4.23
COMUNA 04,1004000047,11199,821,7.33
COMUNA 04,1004000048,10301,339,3.29
COMUNA 04,1004000049,9162,330,3.6
COMUNA 04,1004000050,11010,335,3.04
COMUNA 04,1004000051,8029,327,4.07
COMUNA 04,1004000052,9377,459,4.89
COMUNA 04,1004000053,10605,587,5.54
COMUNA 04,1004000054,11533,421,3.65
COMUNA 04,1004000055,7434,276,3.71
COMUNA 04,1004000056,6819,306,4.49
COMUNA 04,1004000057,14664,586,4.0
COMUNA 05,1005000058,10885,356,3.27
COMUNA 05,1005000059,10370,363,3.5
COMUNA 05,1005000060,12272,440,3.59
COMUNA 05,1005000061,11715,314,2.68
COMUNA 05,1005000062,8030,234,2.91
COMUNA 05,1005000063,15545,489,3.15
COMUNA 05,1005000064,16707,492,2.94
COMUNA 05,1005000065,10511,303,2.88
COMUNA 05,1005000066,10201,308,3.02
COMUNA 05,1005000067,15739,511,3.25
COMUNA 06,1006000068,15756,501,3.18
COMUNA 06,1006000069,22541,666,2.95
COMUNA 06,1006000070,20657,668,3.23
COMUNA 06,1006000071,24706,762,3.08
COMUNA 06,1006000072,10797,336,3.11
COMUNA 06,1006000073,13841,472,3.41
COMUNA 06,1006000074,19296,563,2.92
COMUNA 07,1007000075,8290,246,2.97
COMUNA 07,1007000076,13226,366,2.77
COMUNA 07,1007000077,10301,356,3.46
COMUNA 07,1007000078,8198,282,3.44
COMUNA 07,1007000079,10081,363,3.6
COMUNA 07,1007000080,10634,373,3.51
COMUNA 07,1007000081,9812,308,3.14
COMUNA 07,1007000082,11311,411,3.63
COMUNA 07,1007000083,16294,497,3.05
COMUNA 07,1007000084,8846,292,3.3
COMUNA 07,1007000085,6089,195,3.2
COMUNA 07,1007000086,21039,942,4.48
COMUNA 08,1008000087,23153,916,3.96
COMUNA 08,1008000088,13116,472,3.6
COMUNA 08,1008000089,36250,1278,3.53
COMUNA 08,1008000090,34601,1126,3.25
COMUNA 09,1009000091,6731,283,4.2
COMUNA 09,1009000092,10706,338,3.16
COMUNA 09,1009000093,6695,258,3.85
COMUNA 09,1009000094,8441,297,3.52
COMUNA 09,1009000095,15018,437,2.91
COMUNA 09,1009000096,8485,303,3.57
COMUNA 09,1009000097,10997,380,3.46
COMUNA 09,1009000098,16240,454,2.8
COMUNA 09,1009000099,8796,248,2.82
COMUNA 09,1009000100,11076,434,3.92
COMUNA 09,1009000101,13447,386,2.87
COMUNA 10,1010000102,10509,359,3.42
COMUNA 10,1010000103,10289,349,3.39
COMUNA 10,1010000104,10113,385,3.81
COMUNA 10,1010000105,14873,461,3.1
COMUNA 10,1010000106,9278,316,3.41
COMUNA 10,1010000107,15517,459,2.96
COMUNA 10,1010000108,9711,370,3.81
COMUNA 10,1010000109,15192,576,3.79
COMUNA 10,1010000110,8071,201,2.49
COMUNA 10,1010000111,8598,347,4.04
COMUNA 10,1010000112,6582,208,3.16
COMUNA 11,1011000113,10248,348,3.4
COMUNA 11,1011000114,13509,469,3.47
COMUNA 11,1011000115,9425,291,3.09
COMUNA 11,1011000116,13646,416,3.05
COMUNA 11,1011000117,14829,503,3.39
COMUNA 11,1011000118,11656,399,3.42
COMUNA 11,1011000119,14519,441,3.04
COMUNA 11,1011000120,15266,429,2.81
COMUNA 11,1011000121,12467,403,3.23
COMUNA 11,1011000122,10589,281,2.65
COMUNA 11,1011000123,11582,383,3.31
COMUNA 12,1012000124,13349,424,3.18
COMUNA 12,1012000125,17581,544,3.09
COMUNA 12,1012000126,14680,497,3.39
COMUNA 12,1012000127,19338,524,2.71
COMUNA 12,1012000128,15923,501,3.15
COMUNA 12,1012000129,20511,670,3.27
COMUNA 12,1012000130,13885,490,3.53
COMUNA 12,1012000131,4523,140,3.1
COMUNA 12,1012000132,15977,474,2.97
COMUNA 12,1012000133,16392,456,2.78
COMUNA 13,1013000134,6838,182,2.66
COMUNA 13,1013000135,9470,258,2.72
COMUNA 13,1013000136,11514,415,3.6
COMUNA 13,1013000137,11092,302,2.72
COMUNA 13,1013000138,22404,605,2.7
COMUNA 13,1013000139,14138,435,3.08
COMUNA 13,1013000140,6549,223,3.41
COMUNA 13,1013000141,11241,298,2.65
COMUNA 13,1013000142,18669,382,2.05
COMUNA 13,1013000143,13904,363,2.61
COMUNA 13,1013000144,6206,173,2.79
COMUNA 13,1013000145,11891,459,3.86
COMUNA 13,1013000146,8866,309,3.49
COMUNA 13,1013000147,15980,491,3.07
COMUNA 14,1014000148,17184,449,2.61
COMUNA 14,1014000149,19267,441,2.29
COMUNA 14,1014000150,9692,181,1.87
COMUNA 14,1014000151,19469,398,2.04
COMUNA 14,1014000152,14959,386,2.58
COMUNA 14,1014000153,17576,477,2.71
COMUNA 14,1014000154,20312,604,2.97
COMUNA 14,1014000155,18366,511,2.78
COMUNA 14,1014000156,7567,241,3.18
COMUNA 14,1014000157,12392,414,3.34
COMUNA 15,1015000158,15289,592,3.87
COMUNA 15,1015000159,9436,285,3.02
COMUNA 15,1015000160,17775,667,3.75
COMUNA 15,1015000161,15639,571,3.65
COMUNA 15,1015000162,12689,417,3.29
COMUNA 15,1015000163,9538,369,3.87
COMUNA 15,1015000164,8654,340,3.93
COMUNA 15,1015000165,15832,532,3.36
COMUNA 15,1015000166,13176,370,2.81
COMUNA 15,1015000167,10519,366,3.48
