NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES,VOTOS_AGRUPACION,PORCENTAJE_AGRUPACION
COMUNA 01,1001000001,7137,3002,42.06
COMUNA 01,1001000002,6643,2868,43.17
COMUNA 01,1001000003,3377,466,13.8
COMUNA 01,1001000005,5402,3616,66.94
COMUNA 01,1001000006,11110,1150,10.35
COMUNA 01,1001000007,5335,877,16.44
COMUNA 01,1001000008,5738,1277,22.26
COMUNA 01,1001000009,7313,1961,26.82
COMUNA 01,1001000010,8189,2199,26.85
COMUNA 01,1001000011,8197,2968,36.21
COMUNA 01,1001000012,7778,2880,37.03
COMUNA 01,1001000013,8908,3347,37.57
COMUNA 01,1001000014,3528,1259,35.69
COMUNA 01,1001000015,5819,2541,43.67
COMUNA 01,1001000016,5959,2397,40.22
COMUNA 01,1001000017,8788,3681,41.89
COMUNA 01,1001000018,4918,2172,44.16
COMUNA 01,1001000019,7895,3638,46.08
COMUNA 02,1002000020,7172,1433,19.98
COMUNA 02,1002000021,8085,790,9.77
COMUNA 02,1002000022,11880,2362,19.88
COMUNA 02,1002000023,14764,2937,19.89
COMUNA 02,1002000024,9718,1565,16.1
COMUNA 02,1002000025,9396,1311,13.95
COMUNA 02,1002000026,12262,1560,12.72
COMUNA 02,1002000027,9160,1995,21.78
COMUNA 02,1002000028,13232,3443,26.02
COMUNA 02,1002000029,8625,2219,25.73
COMUNA 03,1003000030,7996,2435,30.45
COMUNA 03,1003000031,8885,2717,30.58
COMUNA 03,1003000032,7971,2558,32.09
COMUNA 03,1003000033,6477,2221,34.29
COMUNA 03,1003000034,10017,3451,34.45
COMUNA 03,1003000035,9320,3672,39.4
COMUNA 03,1003000036,6242,2722,43.61
COMUNA 03,1003000037,8264,3270,39.57
COMUNA 03,1003000038,9115,3546,38.9
COMUNA 03,1003000039,9584,3590,37.46
COMUNA 03,1003000040,7370,2726,36.99
COMUNA 03,1003000041,13765,5548,40.31
COMUNA 03,1003000042,12151,4683,38.54
COMUNA 04,1004000043,9222,3609,39.13
COMUNA 04,1004000044,7296,2825,38.72
COMUNA 04,1004000045,5354,2313,43.2
COMUNA 04,1004000046,4894,2108,43.07
COMUNA 04,1004000047,11199,7324,65.4
COMUNA 04,1004000048,10301,3775,36.65
COMUNA 04,1004000049,9162,3752,40.95
COMUNA 04,1004000050,11010,3474,31.55
COMUNA 04,1004000051,8029,2580,32.13
COMUNA 04,1004000052,9377,4322,46.09
COMUNA 04,1004000053,10605,4936,46.54
COMUNA 04,1004000054,11533,4547,39.43
COMUNA 04,1004000055,7434,3347,45.02
COMUNA 04,1004000056,6819,3043,44.63
COMUNA 04,1004000057,14664,5882,40.11
COMUNA 05,1005000058,10885,4307,39.57
COMUNA 05,1005000059,10370,4141,39.93
COMUNA 05,1005000060,12272,4623,37.67
COMUNA 05,1005000061,11715,3824,32.64
COMUNA 05,1005000062,8030,2998,37.33
COMUNA 05,1005000063,15545,5292,34.04
COMUNA 05,1005000064,16707,5926,35.47
COMUNA 05,1005000065,10511,3636,34.59
COMUNA 05,1005000066,10201,3560,34.9
COMUNA 05,1005000067,15739,5478,34.81
COMUNA 06,1006000068,15756,5312,33.71
COMUNA 06,1006000069,22541,6101,27.07
COMUNA 06,1006000070,20657,6630,32.1
COMUNA 06,1006000071,24706,7046,28.52
COMUNA 06,1006000072,10797,3805,35.24
COMUNA 06,1006000073,13841,4644,33.55
COMUNA 06,1006000074,19296,5010,25.96
COMUNA 07,1007000075,8290,2729,32.92
COMUNA 07,1007000076,13226,4522,34.19
COMUNA 07,1007000077,10301,4044,39.26
COMUNA 07,1007000078,8198,3228,39.38
COMUNA 07,1007000079,10081,3253,32.27
COMUNA 07,1007000080,10634,3357,31.57
COMUNA 07,1007000081,9812,3029,30.87
COMUNA 07,1007000082,11311,3704,32.75
COMUNA 07,1007000083,16294,4286,26.3
COMUNA 07,1007000084,8846,3102,35.07
COMUNA 07,1007000085,6089,1819,29.87
COMUNA 07,1007000086,21039,10828,51.47
COMUNA 08,1008000087,23153,13195,56.99
COMUNA 08,1008000088,13116,4785,36.48
COMUNA 08,1008000089,36250,16874,46.55
COMUNA 08,1008000090,34601,16949,48.98
COMUNA 09,1009000091,6731,3885,57.72
COMUNA 09,1009000092,10706,3956,36.95
COMUNA 09,1009000093,6695,2752,41.11
COMUNA 09,1009000094,8441,3345,39.63
COMUNA 09,1009000095,15018,5633,37.51
COMUNA 09,1009000096,8485,3498,41.23
COMUNA 09,1009000097,10997,4780,43.47
COMUNA 09,1009000098,16240,5873,36.16
COMUNA 09,1009000099,8796,2867,32.59
COMUNA 09,1009000100,11076,3559,32.13
COMUNA 09,1009000101,13447,4649,34.57
COMUNA 10,1010000102,10509,3197,30.42
COMUNA 10,1010000103,10289,3268,31.76
COMUNA 10,1010000104,10113,3544,35.04
COMUNA 10,1010000105,14873,4901,32.95
COMUNA 10,1010000106,9278,3120,33.63
COMUNA 10,1010000107,15517,5380,34.67
COMUNA 10,1010000108,9711,3393,34.94
COMUNA 10,1010000109,15192,5238,34.48
COMUNA 10,1010000110,8071,3084,38.21
COMUNA 10,1010000111,8598,2963,34.46
COMUNA 10,1010000112,6582,2390,36.31
COMUNA 11,1011000113,10248,3504,34.19
COMUNA 11,1011000114,13509,4667,34.55
COMUNA 11,1011000115,9425,3580,37.98
COMUNA 11,1011000116,13646,5051,37.01
COMUNA 11,1011000117,14829,4875,32.87
COMUNA 11,1011000118,11656,3389,29.08
