NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES,VOTOS_AGRUPACION,PORCENTAJE_AGRUPACION
COMUNA 01,1001000001,7137,2637,36.95
COMUNA 01,1001000002,6643,2274,34.23
COMUNA 01,1001000003,3377,2467,73.05
COMUNA 01,1001000005,5402,899,16.64
COMUNA 01,1001000006,11110,8458,76.13
COMUNA 01,1001000007,5335,3539,66.34
COMUNA 01,1001000008,5738,3337,58.16
COMUNA 01,1001000009,7313,3826,52.32
COMUNA 01,1001000010,8189,4151,50.69
COMUNA 01,1001000011,8197,3385,41.3
COMUNA 01,1001000012,7778,3181,40.9
COMUNA 01,1001000013,8908,3451,38.74
COMUNA 01,1001000014,3528,1501,42.55
COMUNA 01,1001000015,5819,2021,34.73
COMUNA 01,1001000016,5959,2196,36.85
COMUNA 01,1001000017,8788,3108,35.37
COMUNA 01,1001000018,4918,1582,32.17
COMUNA 01,1001000019,7895,2555,32.36
COMUNA 02,1002000020,7172,4656,64.92
COMUNA 02,1002000021,8085,6176,76.39
COMUNA 02,1002000022,11880,7211,60.7
COMUNA 02,1002000023,14764,9003,60.98
COMUNA 02,1002000024,9718,6371,65.56
COMUNA 02,1002000025,9396,6529,69.49
COMUNA 02,1002000026,12262,8703,70.98
COMUNA 02,1002000027,9160,5223,57.02
COMUNA 02,1002000028,13232,7062,53.37
COMUNA 02,1002000029,8625,4585,53.16
COMUNA 03,1003000030,7996,3734,46.7
COMUNA 03,1003000031,8885,4178,47.02
COMUNA 03,1003000032,7971,3504,43.96
COMUNA 03,1003000033,6477,2723,42.04
COMUNA 03,1003000034,10017,4217,42.1
COMUNA 03,1003000035,9320,3444,36.95
COMUNA 03,1003000036,6242,1998,32.01
COMUNA 03,1003000037,8264,3056,36.98
COMUNA 03,1003000038,9115,3502,38.42
COMUNA 03,1003000039,9584,3779,39.43
COMUNA 03,1003000040,7370,2919,39.61
COMUNA 03,1003000041,13765,4833,35.11
COMUNA 03,1003000042,12151,4615,37.98
COMUNA 04,1004000043,9222,3324,36.04
COMUNA 04,1004000044,7296,2670,36.6
COMUNA 04,1004000045,5354,1837,34.31
COMUNA 04,1004000046,4894,1625,33.2
COMUNA 04,1004000047,11199,1747,15.6
COMUNA 04,1004000048,10301,4186,40.64
COMUNA 04,1004000049,9162,3225,35.2
COMUNA 04,1004000050,11010,5020,45.59
COMUNA 04,1004000051,8029,3575,44.53
COMUNA 04,1004000052,9377,2934,31.29
COMUNA 04,1004000053,10605,3252,30.66
COMUNA 04,1004000054,11533,4284,37.15
COMUNA 04,1004000055,7434,2344,31.53
COMUNA 04,1004000056,6819,2131,31.25
COMUNA 04,1004000057,14664,5037,34.35
COMUNA 05,1005000058,10885,3815,35.05
COMUNA 05,1005000059,10370,3597,34.69
COMUNA 05,1005000060,12272,4518,36.82
COMUNA 05,1005000061,11715,5182,44.23
COMUNA 05,1005000062,8030,3040,37.86
COMUNA 05,1005000063,15545,6464,41.58
COMUNA 05,1005000064,16707,6911,41.37
COMUNA 05,1005000065,10511,4403,41.89
COMUNA 05,1005000066,10201,4134,40.53
COMUNA 05,1005000067,15739,6425,40.82
COMUNA 06,1006000068,15756,6575,41.73
COMUNA 06,1006000069,22541,11308,50.17
COMUNA 06,1006000070,20657,9052,43.82
COMUNA 06,1006000071,24706,11937,48.32
COMUNA 06,1006000072,10797,4115,38.11
COMUNA 06,1006000073,13841,5739,41.46
COMUNA 06,1006000074,19296,9724,50.39
COMUNA 07,1007000075,8290,3512,42.36
COMUNA 07,1007000076,13226,5451,41.21
COMUNA 07,1007000077,10301,3636,35.3
COMUNA 07,1007000078,8198,3008,36.69
COMUNA 07,1007000079,10081,4428,43.92
COMUNA 07,1007000080,10634,4483,42.16
COMUNA 07,1007000081,9812,4396,44.8
COMUNA 07,1007000082,11311,4832,42.72
COMUNA 07,1007000083,16294,8093,49.67
COMUNA 07,1007000084,8846,3437,38.85
COMUNA 07,1007000085,6089,2656,43.62
COMUNA 07,1007000086,21039,5319,25.28
COMUNA 08,1008000087,23153,5405,23.34
COMUNA 08,1008000088,13116,5092,38.82
COMUNA 08,1008000089,36250,11281,31.12
COMUNA 08,1008000090,34601,10070,29.1
COMUNA 09,1009000091,6731,1406,20.89
COMUNA 09,1009000092,10706,3911,36.53
COMUNA 09,1009000093,6695,2292,34.23
COMUNA 09,1009000094,8441,2937,34.79
COMUNA 09,1009000095,15018,5581,37.16
COMUNA 09,1009000096,8485,2816,33.19
COMUNA 09,1009000097,10997,3630,33.01
COMUNA 09,1009000098,16240,6194,38.14
COMUNA 09,1009000099,8796,3680,41.84
COMUNA 09,1009000100,11076,4625,41.76
COMUNA 09,1009000101,13447,5432,40.4
COMUNA 10,1010000102,10509,4472,42.55
COMUNA 10,1010000103,10289,4241,41.22
COMUNA 10,1010000104,10113,3847,38.04
COMUNA 10,1010000105,14873,6171,41.49
COMUNA 10,1010000106,9278,3643,39.26
COMUNA 10,1010000107,15517,6207,40.0
COMUNA 10,1010000108,9711,3751,38.63
COMUNA 10,1010000109,15192,5987,39.41
COMUNA 10,1010000110,8071,2932,36.33
COMUNA 10,1010000111,8598,3361,39.09
COMUNA 10,1010000112,6582,2459,37.36
COMUNA 11,1011000113,10248,4036,39.38
COMUNA 11,1011000114,13509,5400,39.97
COMUNA 11,1011000115,9425,3440,36.5
COMUNA 11,1011000116,13646,5146,37.71
COMUNA 11,1011000117,14829,6185,41.71
COMUNA 11,1011000118,11656,5398,46.31
COMUNA 11,1011000119,14519,6579,45.31
COMUNA 11,1011000120,15266,7126,46.68
COMUNA 11,1011000121,12467,5535,44.4
COMUNA 11,1011000122,10589,6016,56.81
COMUNA 11,1011000123,11582,5240,45.24
COMUNA 12,1012000124,13349,5300,39.7
COMUNA 12,1012000125,17581,7697,43.78
COMUNA 12,1012000126,14680,6206,42.28
COMUNA 12,1012000127,19338,10053,51.99
COMUNA 12,1012000128,15923,7057,44.32
COMUNA 12,1012000129,20511,9682,47.2
COMUNA 12,1012000130,13885,6485,46.71
COMUNA 12,1012000131,4523,2036,45.01
COMUNA 12,1012000132,15977,6851,42.88
COMUNA 12,1012000133,16392,7691,46.92
COMUNA 13,1013000134,6838,3770,55.13
COMUNA 13,1013000135,9470,5340,56.39
COMUNA 13,1013000136,11514,5983,51.96
COMUNA 13,1013000137,11092,5648,50.92
COMUNA 13,1013000138,22404,12916,57.65
COMUNA 13,1013000139,14138,8399,59.41
COMUNA 13,1013000140,6549,3602,55.0
COMUNA 13,1013000141,11241,6615,58.85
COMUNA 13,1013000142,18669,13665,73.2
COMUNA 13,1013000143,13904,8317,59.82
