NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES,VOTOS_AGRUPACION,PORCENTAJE_AGRUPACION
COMUNA 01,1001000001,7137,75,1.05
COMUNA 01,1001000002,6643,81,1.22
COMUNA 01,1001000003,3377,25,0.74
COMUNA 01,1001000005,5402,70,1.3
COMUNA 01,1001000006,11110,233,2.1
COMUNA 01,1001000007,5335,148,2.77
COMUNA 01,1001000008,5738,110,1.92
COMUNA 01,1001000009,7313,142,1.94
COMUNA 01,1001000010,8189,128,1.56
COMUNA 01,1001000011,8197,95,1.16
COMUNA 01,1001000012,7778,120,1.54
COMUNA 01,1001000013,8908,100,1.12
COMUNA 01,1001000014,3528,55,1.56
COMUNA 01,1001000015,5819,71,1.22
COMUNA 01,1001000016,5959,64,1.07
COMUNA 01,1001000017,8788,88,1.0
COMUNA 01,1001000018,4918,66,1.34
COMUNA 01,1001000019,7895,92,1.17
COMUNA 02,1002000020,7172,103,1.44
COMUNA 02,1002000021,8085,186,2.3
COMUNA 02,1002000022,11880,146,1.23
COMUNA 02,1002000023,14764,222,1.5
COMUNA 02,1002000024,9718,251,2.58
COMUNA 02,1002000025,9396,215,2.29
COMUNA 02,1002000026,12262,322,2.63
COMUNA 02,1002000027,9160,174,1.9
COMUNA 02,1002000028,13232,132,1.0
COMUNA 02,1002000029,8625,90,1.04
COMUNA 03,1003000030,7996,68,0.85
COMUNA 03,1003000031,8885,118,1.33
COMUNA 03,1003000032,7971,143,1.79
COMUNA 03,1003000033,6477,65,1.0
COMUNA 03,1003000034,10017,120,1.2
COMUNA 03,1003000035,9320,136,1.46
COMUNA 03,1003000036,6242,82,1.31
COMUNA 03,1003000037,8264,93,1.13
COMUNA 03,1003000038,9115,103,1.13
COMUNA 03,1003000039,9584,117,1.22
COMUNA 03,1003000040,7370,75,1.02
COMUNA 03,1003000041,13765,166,1.21
COMUNA 03,1003000042,12151,133,1.09
COMUNA 04,1004000043,9222,116,1.26
COMUNA 04,1004000044,7296,56,0.77
COMUNA 04,1004000045,5354,54,1.01
COMUNA 04,1004000046,4894,57,1.16
COMUNA 04,1004000047,11199,133,1.19
COMUNA 04,1004000048,10301,108,1.05
COMUNA 04,1004000049,9162,143,1.56
COMUNA 04,1004000050,11010,82,0.74
COMUNA 04,1004000051,8029,65,0.81
COMUNA 04,1004000052,9377,143,1.53
COMUNA 04,1004000053,10605,164,1.55
COMUNA 04,1004000054,11533,163,1.41
COMUNA 04,1004000055,7434,98,1.32
COMUNA 04,1004000056,6819,74,1.09
COMUNA 04,1004000057,14664,166,1.13
COMUNA 05,1005000058,10885,126,1.16
COMUNA 05,1005000059,10370,112,1.08
COMUNA 05,1005000060,12272,116,0.95
COMUNA 05,1005000061,11715,109,0.93
COMUNA 05,1005000062,8030,110,1.37
COMUNA 05,1005000063,15545,161,1.04
COMUNA 05,1005000064,16707,173,1.04
COMUNA 05,1005000065,10511,123,1.17
COMUNA 05,1005000066,10201,116,1.14
COMUNA 05,1005000067,15739,114,0.72
COMUNA 06,1006000068,15756,121,0.77
COMUNA 06,1006000069,22541,164,0.73
COMUNA 06,1006000070,20657,170,0.82
COMUNA 06,1006000071,24706,202,0.82
COMUNA 06,1006000072,10797,127,1.18
COMUNA 06,1006000073,13841,113,0.82
COMUNA 06,1006000074,19296,187,0.97
COMUNA 07,1007000075,8290,62,0.75
