NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES,VOTOS_AGRUPACION,PORCENTAJE_AGRUPACION
COMUNA 01,1001000001,7137,46,0.64
COMUNA 01,1001000002,6643,77,1.16
COMUNA 01,1001000003,3377,11,0.33
COMUNA 01,1001000005,5402,58,1.07
COMUNA 01,1001000006,11110,50,0.45
COMUNA 01,1001000007,5335,44,0.82
COMUNA 01,1001000008,5738,33,0.58
COMUNA 01,1001000009,7313,71,0.97
COMUNA 01,1001000010,8189,84,1.03
COMUNA 01,1001000011,8197,63,0.77
COMUNA 01,1001000012,7778,45,0.58
COMUNA 01,1001000013,8908,82,0.92
COMUNA 01,1001000014,3528,36,1.02
COMUNA 01,1001000015,5819,53,0.91
COMUNA 01,1001000016,5959,55,0.92
COMUNA 01,1001000017,8788,97,1.1
COMUNA 01,1001000018,4918,38,0.77
COMUNA 01,1001000019,7895,67,0.85
COMUNA 02,1002000020,7172,48,0.67
COMUNA 02,1002000021,8085,41,0.51
COMUNA 02,1002000022,11880,79,0.66
COMUNA 02,1002000023,14764,116,0.79
COMUNA 02,1002000024,9718,58,0.6
COMUNA 02,1002000025,9396,54,0.57
COMUNA 02,1002000026,12262,82,0.67
COMUNA 02,1002000027,9160,93,1.02
COMUNA 02,1002000028,13232,112,0.85
COMUNA 02,1002000029,8625,73,0.85
COMUNA 03,1003000030,7996,98,1.23
COMUNA 03,1003000031,8885,104,1.17
COMUNA 03,1003000032,7971,96,1.2
COMUNA 03,1003000033,6477,73,1.13
COMUNA 03,1003000034,10017,114,1.14
COMUNA 03,1003000035,9320,107,1.15
COMUNA 03,1003000036,6242,65,1.04
COMUNA 03,1003000037,8264,86,1.04
COMUNA 03,1003000038,9115,75,0.82
COMUNA 03,1003000039,9584,105,1.1
COMUNA 03,1003000040,7370,81,1.1
COMUNA 03,1003000041,13765,156,1.13
COMUNA 03,1003000042,12151,139,1.14
COMUNA 04,1004000043,9222,96,1.04
COMUNA 04,1004000044,7296,99,1.36
COMUNA 04,1004000045,5354,57,1.06
COMUNA 04,1004000046,4894,45,0.92
COMUNA 04,1004000047,11199,97,0.87
COMUNA 04,1004000048,10301,93,0.9
COMUNA 04,1004000049,9162,101,1.1
COMUNA 04,1004000050,11010,140,1.27
COMUNA 04,1004000051,8029,69,0.86
COMUNA 04,1004000052,9377,91,0.97
COMUNA 04,1004000053,10605,106,1.0
COMUNA 04,1004000054,11533,115,1.0
COMUNA 04,1004000055,7434,96,1.29
COMUNA 04,1004000056,6819,75,1.1
COMUNA 04,1004000057,14664,146,1.0
COMUNA 05,1005000058,10885,119,1.09
COMUNA 05,1005000059,10370,97,0.94
COMUNA 05,1005000060,12272,136,1.11
COMUNA 05,1005000061,11715,85,0.73
COMUNA 05,1005000062,8030,82,1.02
COMUNA 05,1005000063,15545,134,0.86
COMUNA 05,1005000064,16707,164,0.98
COMUNA 05,1005000065,10511,112,1.07
COMUNA 05,1005000066,10201,104,1.02
COMUNA 05,1005000067,15739,149,0.95
COMUNA 06,1006000068,15756,151,0.96
COMUNA 06,1006000069,22541,197,0.87
COMUNA 06,1006000070,20657,191,0.92
COMUNA 06,1006000071,24706,225,0.91
COMUNA 06,1006000072,10797,135,1.25
COMUNA 06,1006000073,13841,143,1.03
COMUNA 06,1006000074,19296,157,0.81
COMUNA 07,1007000075,8290,80,0.97
COMUNA 07,1007000076,13226,129,0.98
COMUNA 07,1007000077,10301,87,0.84
COMUNA 07,1007000078,8198,99,1.21
COMUNA 07,1007000079,10081,79,0.78
COMUNA 07,1007000080,10634,100,0.94
COMUNA 07,1007000081,9812,107,1.09
COMUNA 07,1007000082,11311,94,0.83
COMUNA 07,1007000083,16294,151,0.93
COMUNA 07,1007000084,8846,104,1.18
COMUNA 07,1007000085,6089,64,1.05
COMUNA 07,1007000086,21039,231,1.1
COMUNA 08,1008000087,23153,263,1.14
COMUNA 08,1008000088,13116,182,1.39
COMUNA 08,1008000089,36250,428,1.18
COMUNA 08,1008000090,34601,373,1.08
COMUNA 09,1009000091,6731,86,1.28
COMUNA 09,1009000092,10706,135,1.26
COMUNA 09,1009000093,6695,83,1.24
COMUNA 09,1009000094,8441,88,1.04
COMUNA 09,1009000095,15018,194,1.29
COMUNA 09,1009000096,8485,86,1.01
COMUNA 09,1009000097,10997,103,0.94
COMUNA 09,1009000098,16240,156,0.96
COMUNA 09,1009000099,8796,82,0.93
COMUNA 09,1009000100,11076,90,0.81
COMUNA 09,1009000101,13447,150,1.12
COMUNA 10,1010000102,10509,112,1.07
COMUNA 10,1010000103,10289,133,1.29
COMUNA 10,1010000104,10113,138,1.36
COMUNA 10,1010000105,14873,166,1.12
COMUNA 10,1010000106,9278,119,1.28
COMUNA 10,1010000107,15517,169,1.09
COMUNA 10,1010000108,9711,106,1.09
COMUNA 10,1010000109,15192,159,1.05
COMUNA 10,1010000110,8071,95,1.18
COMUNA 10,1010000111,8598,81,0.94
COMUNA 10,1010000112,6582,84,1.28
COMUNA 11,1011000113,10248,107,1.04
COMUNA 11,1011000114,13509,151,1.12
COMUNA 11,1011000115,9425,120,1.27
COMUNA 11,1011000116,13646,148,1.08
COMUNA 11,1011000117,14829,182,1.23
COMUNA 11,1011000118,11656,106,0.91
COMUNA 11,1011000119,14519,138,0.95
COMUNA 11,1011000120,15266,187,1.22
COMUNA 11,1011000121,12467,144,1.16
COMUNA 11,1011000122,10589,125,1.18
COMUNA 11,1011000123,11582,133,1.15
COMUNA 12,1012000124,13349,144,1.08
COMUNA 12,1012000125,17581,189,1.08
COMUNA 12,1012000126,14680,148,1.01
COMUNA 12,1012000127,19338,174,0.9
COMUNA 12,1012000128,15923,143,0.9
COMUNA 12,1012000129,20511,212,1.03
COMUNA 12,1012000130,13885,128,0.92
COMUNA 12,1012000131,4523,41,0.91
COMUNA 12,1012000132,15977,189,1.18
COMUNA 12,1012000133,16392,159,0.97
COMUNA 13,1013000134,6838,72,1.05
COMUNA 13,1013000135,9470,79,0.83
COMUNA 13,1013000136,11514,91,0.79
COMUNA 13,1013000137,11092,109,0.98
COMUNA 13,1013000138,22404,205,0.92
COMUNA 13,1013000139,14138,115,0.81
COMUNA 13,1013000140,6549,41,0.63
COMUNA 13,1013000141,11241,82,0.73
COMUNA 13,1013000142,18669,114,0.61
COMUNA 13,1013000143,13904,123,0.88
COMUNA 13,1013000144,6206,52,0.84
COMUNA 13,1013000145,11891,114,0.96
COMUNA 13,1013000146,8866,87,0.98
COMUNA 13,1013000147,15980,126,0.79
COMUNA 14,1014000148,17184,109,0.63
COMUNA 14,1014000149,19267,116,0.6
COMUNA 14,1014000150,9692,37,0.38
COMUNA 14,1014000151,19469,127,0.65
COMUNA 14,1014000152,14959,95,0.64
COMUNA 14,1014000153,17576,151,0.86
COMUNA 14,1014000154,20312,225,1.11
COMUNA 14,1014000155,18366,174,0.95
COMUNA 14,1014000156,7567,74,0.98
COMUNA 14,1014000157,12392,114,0.92
COMUNA 15,1015000158,15289,189,1.24
COMUNA 15,1015000159,9436,86,0.91
COMUNA 15,1015000160,17775,182,1.02
COMUNA 15,1015000161,15639,146,0.93
COMUNA 15,1015000162,12689,117,0.92
COMUNA 15,1015000163,9538,75,0.79
COMUNA 15,1015000164,8654,154,1.78
COMUNA 15,1015000165,15832,164,1.04
COMUNA 15,1015000166,13176,133,1.01
COMUNA 15,1015000167,10519,112,1.06
