NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES,VOTOS_AGRUPACION,PORCENTAJE_AGRUPACION
COMUNA 01,1001000001,7137,1,0.01
COMUNA 01,1001000002,6643,2,0.03
COMUNA 01,1001000003,3377,1,0.03
COMUNA 01,1001000005,5402,5,0.09
COMUNA 01,1001000006,11110,4,0.04
COMUNA 01,1001000007,5335,1,0.02
COMUNA 01,1001000008,5738,1,0.02
COMUNA 01,1001000009,7313,0,0.0
COMUNA 01,1001000010,8189,9,0.11
COMUNA 01,1001000011,8197,8,0.1
COMUNA 01,1001000012,7778,1,0.01
COMUNA 01,1001000013,8908,7,0.08
COMUNA 01,1001000014,3528,1,0.03
COMUNA 01,1001000015,5819,4,0.07
COMUNA 01,1001000016,5959,0,0.0
COMUNA 01,1001000017,8788,7,0.08
COMUNA 01,1001000018,4918,2,0.04
COMUNA 01,1001000019,7895,8,0.1
COMUNA 02,1002000020,7172,10,0.14
COMUNA 02,1002000021,8085,1,0.01
COMUNA 02,1002000022,11880,4,0.03
COMUNA 02,1002000023,14764,11,0.07
COMUNA 02,1002000024,9718,7,0.07
COMUNA 02,1002000025,9396,3,0.03
COMUNA 02,1002000026,12262,0,0.0
COMUNA 02,1002000027,9160,0,0.0
COMUNA 02,1002000028,13232,2,0.02
COMUNA 02,1002000029,8625,1,0.01
COMUNA 03,1003000030,7996,1,0.01
COMUNA 03,1003000031,8885,1,0.01
COMUNA 03,1003000032,7971,1,0.01
COMUNA 03,1003000033,6477,1,0.02
COMUNA 03,1003000034,10017,4,0.04
COMUNA 03,1003000035,9320,3,0.03
COMUNA 03,1003000036,6242,1,0.02
COMUNA 03,1003000037,8264,2,0.02
COMUNA 03,1003000038,9115,1,0.01
COMUNA 03,1003000039,9584,0,0.0
COMUNA 03,1003000040,7370,5,0.07
COMUNA 03,1003000041,13765,3,0.02
COMUNA 03,1003000042,12151,2,0.02
COMUNA 04,1004000043,9222,1,0.01
COMUNA 04,1004000044,7296,0,0.0
COMUNA 04,1004000045,5354,2,0.04
COMUNA 04,1004000046,4894,1,0.02
COMUNA 04,1004000047,11199,0,0.0
COMUNA 04,1004000048,10301,2,0.02
COMUNA 04,1004000049,9162,3,0.03
COMUNA 04,1004000050,11010,9,0.08
COMUNA 04,1004000051,8029,5,0.06
COMUNA 04,1004000052,9377,5,0.05
COMUNA 04,1004000053,10605,1,0.01
COMUNA 04,1004000054,11533,3,0.03
