NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES,VOTOS_AGRUPACION,PORCENTAJE_AGRUPACION
COMUNA 01,1001000001,7137,209,2.93
COMUNA 01,1001000002,6643,219,3.3
COMUNA 01,1001000003,3377,139,4.12
COMUNA 01,1001000005,5402,93,1.72
COMUNA 01,1001000006,11110,363,3.27
COMUNA 01,1001000007,5335,178,3.34
COMUNA 01,1001000008,5738,213,3.71
COMUNA 01,1001000009,7313,301,4.12
COMUNA 01,1001000010,8189,320,3.91
COMUNA 01,1001000011,8197,326,3.98
COMUNA 01,1001000012,7778,273,3.51
COMUNA 01,1001000013,8908,318,3.57
COMUNA 01,1001000014,3528,128,3.63
COMUNA 01,1001000015,5819,166,2.85
COMUNA 01,1001000016,5959,178,2.99
COMUNA 01,1001000017,8788,280,3.19
COMUNA 01,1001000018,4918,165,3.36
COMUNA 01,1001000019,7895,237,3.0
COMUNA 02,1002000020,7172,242,3.37
COMUNA 02,1002000021,8085,260,3.22
COMUNA 02,1002000022,11880,435,3.66
COMUNA 02,1002000023,14764,520,3.52
COMUNA 02,1002000024,9718,310,3.19
COMUNA 02,1002000025,9396,313,3.33
COMUNA 02,1002000026,12262,418,3.41
COMUNA 02,1002000027,9160,342,3.73
COMUNA 02,1002000028,13232,480,3.63
COMUNA 02,1002000029,8625,307,3.56
COMUNA 03,1003000030,7996,248,3.1
COMUNA 03,1003000031,8885,311,3.5
COMUNA 03,1003000032,7971,272,3.41
COMUNA 03,1003000033,6477,213,3.29
COMUNA 03,1003000034,10017,399,3.98
COMUNA 03,1003000035,9320,273,2.93
COMUNA 03,1003000036,6242,203,3.25
COMUNA 03,1003000037,8264,289,3.5
COMUNA 03,1003000038,9115,326,3.58
COMUNA 03,1003000039,9584,364,3.8
COMUNA 03,1003000040,7370,264,3.58
COMUNA 03,1003000041,13765,478,3.47
COMUNA 03,1003000042,12151,411,3.38
COMUNA 04,1004000043,9222,337,3.65
COMUNA 04,1004000044,7296,261,3.58
COMUNA 04,1004000045,5354,171,3.19
COMUNA 04,1004000046,4894,165,3.37
COMUNA 04,1004000047,11199,137,1.22
COMUNA 04,1004000048,10301,335,3.25
COMUNA 04,1004000049,9162,293,3.2
COMUNA 04,1004000050,11010,365,3.32
COMUNA 04,1004000051,8029,282,3.51
COMUNA 04,1004000052,9377,241,2.57
COMUNA 04,1004000053,10605,273,2.57
COMUNA 04,1004000054,11533,340,2.95
COMUNA 04,1004000055,7434,228,3.07
COMUNA 04,1004000056,6819,207,3.04
COMUNA 04,1004000057,14664,499,3.4
COMUNA 05,1005000058,10885,406,3.73
COMUNA 05,1005000059,10370,365,3.52
COMUNA 05,1005000060,12272,415,3.38
COMUNA 05,1005000061,11715,412,3.52
COMUNA 05,1005000062,8030,287,3.57
COMUNA 05,1005000063,15545,580,3.73
COMUNA 05,1005000064,16707,541,3.24
COMUNA 05,1005000065,10511,337,3.21
COMUNA 05,1005000066,10201,402,3.94
COMUNA 05,1005000067,15739,532,3.38
COMUNA 06,1006000068,15756,547,3.47
COMUNA 06,1006000069,22541,846,3.75
COMUNA 06,1006000070,20657,740,3.58
COMUNA 06,1006000071,24706,966,3.91
COMUNA 06,1006000072,10797,425,3.94
COMUNA 06,1006000073,13841,471,3.4
COMUNA 06,1006000074,19296,764,3.96
COMUNA 07,1007000075,8290,339,4.09
COMUNA 07,1007000076,13226,543,4.11
COMUNA 07,1007000077,10301,428,4.15
COMUNA 07,1007000078,8198,302,3.68
COMUNA 07,1007000079,10081,327,3.24
COMUNA 07,1007000080,10634,468,4.4
COMUNA 07,1007000081,9812,330,3.36
COMUNA 07,1007000082,11311,439,3.88
COMUNA 07,1007000083,16294,663,4.07
COMUNA 07,1007000084,8846,347,3.92
COMUNA 07,1007000085,6089,264,4.34
COMUNA 07,1007000086,21039,649,3.08
COMUNA 08,1008000087,23153,546,2.36
COMUNA 08,1008000088,13116,465,3.55
COMUNA 08,1008000089,36250,992,2.74
COMUNA 08,1008000090,34601,961,2.78
COMUNA 09,1009000091,6731,215,3.19
COMUNA 09,1009000092,10706,464,4.33
COMUNA 09,1009000093,6695,220,3.29
COMUNA 09,1009000094,8441,310,3.67
COMUNA 09,1009000095,15018,572,3.81
COMUNA 09,1009000096,8485,292,3.44
COMUNA 09,1009000097,10997,354,3.22
COMUNA 09,1009000098,16240,665,4.09
COMUNA 09,1009000099,8796,318,3.62
COMUNA 09,1009000100,11076,456,4.12
COMUNA 09,1009000101,13447,489,3.64
COMUNA 10,1010000102,10509,451,4.29
COMUNA 10,1010000103,10289,382,3.71
COMUNA 10,1010000104,10113,340,3.36
COMUNA 10,1010000105,14873,531,3.57
COMUNA 10,1010000106,9278,323,3.48
COMUNA 10,1010000107,15517,583,3.76
COMUNA 10,1010000108,9711,372,3.83
COMUNA 10,1010000109,15192,519,3.42
COMUNA 10,1010000110,8071,285,3.53
COMUNA 10,1010000111,8598,323,3.76
COMUNA 10,1010000112,6582,258,3.92
COMUNA 11,1011000113,10248,415,4.05
COMUNA 11,1011000114,13509,499,3.69
COMUNA 11,1011000115,9425,349,3.7
COMUNA 11,1011000116,13646,499,3.66
COMUNA 11,1011000117,14829,525,3.54
COMUNA 11,1011000118,11656,441,3.78
COMUNA 11,1011000119,14519,510,3.51
COMUNA 11,1011000120,15266,654,4.28
COMUNA 11,1011000121,12467,495,3.97
COMUNA 11,1011000122,10589,448,4.23
COMUNA 11,1011000123,11582,494,4.27
COMUNA 12,1012000124,13349,500,3.75
COMUNA 12,1012000125,17581,634,3.61
COMUNA 12,1012000126,14680,543,3.7
COMUNA 12,1012000127,19338,764,3.95
COMUNA 12,1012000128,15923,648,4.07
COMUNA 12,1012000129,20511,806,3.93
COMUNA 12,1012000130,13885,552,3.98
COMUNA 12,1012000131,4523,176,3.89
COMUNA 12,1012000132,15977,628,3.93
COMUNA 12,1012000133,16392,651,3.97
COMUNA 13,1013000134,6838,267,3.9
COMUNA 13,1013000135,9470,396,4.18
COMUNA 13,1013000136,11514,411,3.57
COMUNA 13,1013000137,11092,401,3.62
COMUNA 13,1013000138,22404,838,3.74
COMUNA 13,1013000139,14138,516,3.65
COMUNA 13,1013000140,6549,256,3.91
COMUNA 13,1013000141,11241,421,3.75
COMUNA 13,1013000142,18669,694,3.72
COMUNA 13,1013000143,13904,561,4.03
COMUNA 13,1013000144,6206,244,3.93
COMUNA 13,1013000145,11891,408,3.43
COMUNA 13,1013000146,8866,313,3.53
COMUNA 13,1013000147,15980,595,3.72
COMUNA 14,1014000148,17184,627,3.65
COMUNA 14,1014000149,19267,639,3.32
COMUNA 14,1014000150,9692,311,3.21
COMUNA 14,1014000151,19469,703,3.61
COMUNA 14,1014000152,14959,510,3.41
COMUNA 14,1014000153,17576,592,3.37
COMUNA 14,1014000154,20312,693,3.41
COMUNA 14,1014000155,18366,575,3.13
COMUNA 14,1014000156,7567,263,3.48
COMUNA 14,1014000157,12392,421,3.4
COMUNA 15,1015000158,15289,507,3.32
COMUNA 15,1015000159,9436,287,3.04
COMUNA 15,1015000160,17775,579,3.26
COMUNA 15,1015000161,15639,520,3.33
COMUNA 15,1015000162,12689,402,3.17
COMUNA 15,1015000163,9538,252,2.64
COMUNA 15,1015000164,8654,262,3.03
COMUNA 15,1015000165,15832,552,3.49
COMUNA 15,1015000166,13176,470,3.57
COMUNA 15,1015000167,10519,372,3.54
