NOMBRE_REGION,NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_PRES,VOTOS_FIT_PRES,VOTOS_CF_PRES,VOTOS_FDT_PRES,VOTOS_JXC_PRES,VOTOS_NOS_PRES,VOTOS_ULD_PRES,VOTOS_NULO_PRES,VOTOS_RECURRIDO_PRES,VOTOS_IMPUGNADO_PRES,VOTOS_BLANCO_PRES,VOTOS_OTROS_PRES
COMUNA 01,COMUNA 01,1001000001,7137,343,483,3002,2637,75,209,46,1,3,215,123
COMUNA 01,COMUNA 01,1001000002,6643,335,456,2868,2274,81,219,77,2,0,220,111
COMUNA 01,COMUNA 01,1001000003,3377,31,181,466,2467,25,139,11,1,0,42,14
COMUNA 01,COMUNA 01,1001000005,5402,176,184,3616,899,70,93,58,5,1,242,58
COMUNA 01,COMUNA 01,1001000006,11110,148,433,1150,8458,233,363,50,4,1,210,60
COMUNA 01,COMUNA 01,1001000007,5335,106,284,877,3539,148,178,44,1,0,110,48
COMUNA 01,COMUNA 01,1001000008,5738,133,357,1277,3337,110,213,33,1,1,213,63
COMUNA 01,COMUNA 01,1001000009,7313,201,521,1961,3826,142,301,71,0,3,186,101
COMUNA 01,COMUNA 01,1001000010,8189,273,648,2199,4151,128,320,84,9,0,239,138
COMUNA 01,COMUNA 01,1001000011,8197,290,660,2968,3385,95,326,63,8,0,273,129
COMUNA 01,COMUNA 01,1001000012,7778,294,576,2880,3181,120,273,45,1,1,273,134
COMUNA 01,COMUNA 01,1001000013,8908,406,754,3347,3451,100,318,82,7,0,271,172
COMUNA 01,COMUNA 01,1001000014,3528,126,249,1259,1501,55,128,36,1,0,108,65
COMUNA 01,COMUNA 01,1001000015,5819,259,428,2541,2021,71,166,53,4,0,174,102
COMUNA 01,COMUNA 01,1001000016,5959,287,458,2397,2196,64,178,55,0,0,209,115
COMUNA 01,COMUNA 01,1001000017,8788,391,657,3681,3108,88,280,97,7,0,297,182
COMUNA 01,COMUNA 01,1001000018,4918,219,405,2172,1582,66,165,38,2,2,155,112
COMUNA 01,COMUNA 01,1001000019,7895,350,571,3638,2555,92,237,67,8,2,237,138
COMUNA 02,COMUNA 02,1002000020,7172,131,332,1433,4656,103,242,48,10,2,154,61
COMUNA 02,COMUNA 02,1002000021,8085,115,301,790,6176,186,260,41,1,0,154,61
COMUNA 02,COMUNA 02,1002000022,11880,342,866,2362,7211,146,435,79,4,7,299,129
COMUNA 02,COMUNA 02,1002000023,14764,386,1044,2937,9003,222,520,116,11,4,340,181
COMUNA 02,COMUNA 02,1002000024,9718,222,589,1565,6371,251,310,58,7,4,242,99
COMUNA 02,COMUNA 02,1002000025,9396,175,477,1311,6529,215,313,54,3,1,221,97
COMUNA 02,COMUNA 02,1002000026,12262,190,653,1560,8703,322,418,82,0,1,234,99
COMUNA 02,COMUNA 02,1002000027,9160,261,674,1995,5223,174,342,93,0,0,262,136
COMUNA 02,COMUNA 02,1002000028,13232,488,993,3443,7062,132,480,112,2,0,353,167
COMUNA 02,COMUNA 02,1002000029,8625,310,675,2219,4585,90,307,73,1,2,234,129
COMUNA 03,COMUNA 03,1003000030,7996,307,717,2435,3734,68,248,98,1,0,270,118
COMUNA 03,COMUNA 03,1003000031,8885,342,720,2717,4178,118,311,104,1,0,269,125
COMUNA 03,COMUNA 03,1003000032,7971,328,643,2558,3504,143,272,96,1,0,266,160
COMUNA 03,COMUNA 03,1003000033,6477,290,532,2221,2723,65,213,73,1,0,240,119
COMUNA 03,COMUNA 03,1003000034,10017,404,815,3451,4217,120,399,114,4,0,328,165
COMUNA 03,COMUNA 03,1003000035,9320,435,799,3672,3444,136,273,107,3,0,283,168
COMUNA 03,COMUNA 03,1003000036,6242,322,523,2722,1998,82,203,65,1,0,212,114
COMUNA 03,COMUNA 03,1003000037,8264,368,695,3270,3056,93,289,86,2,0,259,146
