NOMBRE_REGION,NOMBRE_REGION,VOTOS_TOTALES_PRES,VOTOS_FIT_PRES,VOTOS_CF_PRES,VOTOS_FDT_PRES,VOTOS_JXC_PRES,VOTOS_NOS_PRES,VOTOS_ULD_PRES,VOTOS_NULO_PRES,VOTOS_RECURRIDO_PRES,VOTOS_IMPUGNADO_PRES,VOTOS_BLANCO_PRES,VOTOS_OTROS_PRES
COMUNA 01,COMUNA 01,122034,4368,8305,42299,54568,1763,4106,1010,62,14,3674,1865
COMUNA 02,COMUNA 02,104294,2620,6604,19615,65519,1841,3627,756,39,21,2493,1159
COMUNA 03,COMUNA 03,117157,5124,9685,43139,46502,1419,4051,1299,25,7,3790,2116
COMUNA 04,COMUNA 04,136899,5798,10671,57837,47191,1622,4134,1426,36,35,5801,2348
COMUNA 05,COMUNA 05,121975,5740,11063,43785,48489,1260,4277,1182,38,15,3810,2316
COMUNA 06,COMUNA 06,127594,5248,12071,38548,58450,1084,4759,1199,40,9,3968,2218
COMUNA 07,COMUNA 07,134121,5247,12772,47901,53251,1444,5099,1325,52,55,4631,2344
COMUNA 08,COMUNA 08,107120,4018,8297,51803,31848,1421,2964,1246,45,68,3792,1618
COMUNA 09,COMUNA 09,116632,4568,11999,44797,42504,1395,4355,1253,28,30,3818,1885
COMUNA 10,COMUNA 10,118733,5148,12605,40478,47071,1477,4367,1362,68,23,4031,2103
COMUNA 11,COMUNA 11,137736,5461,14253,42788,60101,1546,5329,1541,42,21,4363,2291
COMUNA 12,COMUNA 12,152159,6180,14814,45793,69058,1621,5902,1527,33,27,4720,2484
COMUNA 13,COMUNA 13,168762,5457,12963,36370,97275,1848,6321,1410,36,16,4895,2171
COMUNA 14,COMUNA 14,156784,4675,11017,35605,90998,1777,5334,1222,39,26,4102,1989
COMUNA 15,COMUNA 15,128547,6094,11488,47133,50344,1074,4203,1358,61,16,4509,2267
