NOMBRE_REGION,NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_PRES,PORCENTAJE_FIT_PRES,PORCENTAJE_CF_PRES,PORCENTAJE_FDT_PRES,PORCENTAJE_JXC_PRES,PORCENTAJE_NOS_PRES,PORCENTAJE_ULD_PRES,PORCENTAJE_NULO_PRES,PORCENTAJE_RECURRIDO_PRES,PORCENTAJE_IMPUGNADO_PRES,PORCENTAJE_BLANCO_PRES,PORCENTAJE_OTROS_PRES
COMUNA 01,COMUNA 01,1001000001,7137,4.81,6.77,42.06,36.95,1.05,2.93,0.64,0.01,0.04,3.01,1.72
COMUNA 01,COMUNA 01,1001000002,6643,5.04,6.86,43.17,34.23,1.22,3.3,1.16,0.03,0.0,3.31,1.67
COMUNA 01,COMUNA 01,1001000003,3377,0.92,5.36,13.8,73.05,0.74,4.12,0.33,0.03,0.0,1.24,0.41
COMUNA 01,COMUNA 01,1001000005,5402,3.26,3.41,66.94,16.64,1.3,1.72,1.07,0.09,0.02,4.48,1.07
COMUNA 01,COMUNA 01,1001000006,11110,1.33,3.9,10.35,76.13,2.1,3.27,0.45,0.04,0.01,1.89,0.54
COMUNA 01,COMUNA 01,1001000007,5335,1.99,5.32,16.44,66.34,2.77,3.34,0.82,0.02,0.0,2.06,0.9
COMUNA 01,COMUNA 01,1001000008,5738,2.32,6.22,22.26,58.16,1.92,3.71,0.58,0.02,0.02,3.71,1.1
COMUNA 01,COMUNA 01,1001000009,7313,2.75,7.12,26.82,52.32,1.94,4.12,0.97,0.0,0.04,2.54,1.38
COMUNA 01,COMUNA 01,1001000010,8189,3.33,7.91,26.85,50.69,1.56,3.91,1.03,0.11,0.0,2.92,1.69
COMUNA 01,COMUNA 01,1001000011,8197,3.54,8.05,36.21,41.3,1.16,3.98,0.77,0.1,0.0,3.33,1.57
COMUNA 01,COMUNA 01,1001000012,7778,3.78,7.41,37.03,40.9,1.54,3.51,0.58,0.01,0.01,3.51,1.72
COMUNA 01,COMUNA 01,1001000013,8908,4.56,8.46,37.57,38.74,1.12,3.57,0.92,0.08,0.0,3.04,1.93
COMUNA 01,COMUNA 01,1001000014,3528,3.57,7.06,35.69,42.55,1.56,3.63,1.02,0.03,0.0,3.06,1.84
COMUNA 01,COMUNA 01,1001000015,5819,4.45,7.36,43.67,34.73,1.22,2.85,0.91,0.07,0.0,2.99,1.75
COMUNA 01,COMUNA 01,1001000016,5959,4.82,7.69,40.22,36.85,1.07,2.99,0.92,0.0,0.0,3.51,1.93
COMUNA 01,COMUNA 01,1001000017,8788,4.45,7.48,41.89,35.37,1.0,3.19,1.1,0.08,0.0,3.38,2.07
COMUNA 01,COMUNA 01,1001000018,4918,4.45,8.24,44.16,32.17,1.34,3.36,0.77,0.04,0.04,3.15,2.28
COMUNA 01,COMUNA 01,1001000019,7895,4.43,7.23,46.08,32.36,1.17,3.0,0.85,0.1,0.03,3.0,1.75
COMUNA 02,COMUNA 02,1002000020,7172,1.83,4.63,19.98,64.92,1.44,3.37,0.67,0.14,0.03,2.15,0.85
COMUNA 02,COMUNA 02,1002000021,8085,1.42,3.72,9.77,76.39,2.3,3.22,0.51,0.01,0.0,1.9,0.75
COMUNA 02,COMUNA 02,1002000022,11880,2.88,7.29,19.88,60.7,1.23,3.66,0.66,0.03,0.06,2.52,1.09
COMUNA 02,COMUNA 02,1002000023,14764,2.61,7.07,19.89,60.98,1.5,3.52,0.79,0.07,0.03,2.3,1.23
COMUNA 02,COMUNA 02,1002000024,9718,2.28,6.06,16.1,65.56,2.58,3.19,0.6,0.07,0.04,2.49,1.02
COMUNA 02,COMUNA 02,1002000025,9396,1.86,5.08,13.95,69.49,2.29,3.33,0.57,0.03,0.01,2.35,1.03
COMUNA 02,COMUNA 02,1002000026,12262,1.55,5.33,12.72,70.98,2.63,3.41,0.67,0.0,0.01,1.91,0.81
COMUNA 02,COMUNA 02,1002000027,9160,2.85,7.36,21.78,57.02,1.9,3.73,1.02,0.0,0.0,2.86,1.48
COMUNA 02,COMUNA 02,1002000028,13232,3.69,7.5,26.02,53.37,1.0,3.63,0.85,0.02,0.0,2.67,1.26
COMUNA 02,COMUNA 02,1002000029,8625,3.59,7.83,25.73,53.16,1.04,3.56,0.85,0.01,0.02,2.71,1.5
COMUNA 03,COMUNA 03,1003000030,7996,3.84,8.97,30.45,46.7,0.85,3.1,1.23,0.01,0.0,3.38,1.48
COMUNA 03,COMUNA 03,1003000031,8885,3.85,8.1,30.58,47.02,1.33,3.5,1.17,0.01,0.0,3.03,1.41
