NOMBRE_REGION,NOMBRE_REGION,VOTOS_TOTALES_PRES,PORCENTAJE_FIT_PRES,PORCENTAJE_CF_PRES,PORCENTAJE_FDT_PRES,PORCENTAJE_JXC_PRES,PORCENTAJE_NOS_PRES,PORCENTAJE_ULD_PRES,PORCENTAJE_NULO_PRES,PORCENTAJE_RECURRIDO_PRES,PORCENTAJE_IMPUGNADO_PRES,PORCENTAJE_BLANCO_PRES,PORCENTAJE_OTROS_PRES
COMUNA 01,COMUNA 01,122034,3.58,6.81,34.66,44.72,1.44,3.36,0.83,0.05,0.01,3.01,1.72
COMUNA 02,COMUNA 02,104294,2.51,6.33,18.81,62.82,1.77,3.48,0.72,0.04,0.02,2.39,1.67
COMUNA 03,COMUNA 03,117157,4.37,8.27,36.82,39.69,1.21,3.46,1.11,0.02,0.01,3.23,0.41
COMUNA 04,COMUNA 04,136899,4.24,7.79,42.25,34.47,1.18,3.02,1.04,0.03,0.03,4.24,1.07
COMUNA 05,COMUNA 05,121975,4.71,9.07,35.9,39.75,1.03,3.51,0.97,0.03,0.01,3.12,0.54
COMUNA 06,COMUNA 06,127594,4.11,9.46,30.21,45.81,0.85,3.73,0.94,0.03,0.01,3.11,0.9
COMUNA 07,COMUNA 07,134121,3.91,9.52,35.71,39.7,1.08,3.8,0.99,0.04,0.04,3.45,1.1
COMUNA 08,COMUNA 08,107120,3.75,7.75,48.36,29.73,1.33,2.77,1.16,0.04,0.06,3.54,1.38
COMUNA 09,COMUNA 09,116632,3.92,10.29,38.41,36.44,1.2,3.73,1.07,0.02,0.03,3.27,1.69
COMUNA 10,COMUNA 10,118733,4.34,10.62,34.09,39.64,1.24,3.68,1.15,0.06,0.02,3.4,1.57
COMUNA 11,COMUNA 11,137736,3.96,10.35,31.07,43.63,1.12,3.87,1.12,0.03,0.02,3.17,1.72
COMUNA 12,COMUNA 12,152159,4.06,9.74,30.1,45.39,1.07,3.88,1.0,0.02,0.02,3.1,1.93
COMUNA 13,COMUNA 13,168762,3.23,7.68,21.55,57.64,1.1,3.75,0.84,0.02,0.01,2.9,1.84
COMUNA 14,COMUNA 14,156784,2.98,7.03,22.71,58.04,1.13,3.4,0.78,0.02,0.02,2.62,1.75
COMUNA 15,COMUNA 15,128547,4.74,8.94,36.67,39.16,0.84,3.27,1.06,0.05,0.01,3.51,1.93
