NOMBRE_REGION,NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_PRES,VOTOS_FIT_PRES,PORCENTAJE_FIT_PRES,VOTOS_CF_PRES,PORCENTAJE_CF_PRES,VOTOS_FDT_PRES,PORCENTAJE_FDT_PRES,VOTOS_JXC_PRES,PORCENTAJE_JXC_PRES,VOTOS_NOS_PRES,PORCENTAJE_NOS_PRES,VOTOS_ULD_PRES,PORCENTAJE_ULD_PRES,VOTOS_NULO_PRES,PORCENTAJE_NULO_PRES,VOTOS_RECURRIDO_PRES,PORCENTAJE_RECURRIDO_PRES,VOTOS_IMPUGNADO_PRES,PORCENTAJE_IMPUGNADO_PRES,VOTOS_BLANCO_PRES,PORCENTAJE_BLANCO_PRES,VOTOS_OTROS_PRES,PORCENTAJE_OTROS_PRES
COMUNA 01,COMUNA 01,1001000001,7137,343,4.81,483,6.77,3002,42.06,2637,36.95,75,1.05,209,2.93,46,0.64,1,0.01,3,0.04,215,3.01,123,1.72
COMUNA 01,COMUNA 01,1001000002,6643,335,5.04,456,6.86,2868,43.17,2274,34.23,81,1.22,219,3.3,77,1.16,2,0.03,0,0.0,220,3.31,111,1.67
COMUNA 01,COMUNA 01,1001000003,3377,31,0.92,181,5.36,466,13.8,2467,73.05,25,0.74,139,4.12,11,0.33,1,0.03,0,0.0,42,1.24,14,0.41
COMUNA 01,COMUNA 01,1001000005,5402,176,3.26,184,3.41,3616,66.94,899,16.64,70,1.3,93,1.72,58,1.07,5,0.09,1,0.02,242,4.48,58,1.07
COMUNA 01,COMUNA 01,1001000006,11110,148,1.33,433,3.9,1150,10.35,8458,76.13,233,2.1,363,3.27,50,0.45,4,0.04,1,0.01,210,1.89,60,0.54
COMUNA 01,COMUNA 01,1001000007,5335,106,1.99,284,5.32,877,16.44,3539,66.34,148,2.77,178,3.34,44,0.82,1,0.02,0,0.0,110,2.06,48,0.9
COMUNA 01,COMUNA 01,1001000008,5738,133,2.32,357,6.22,1277,22.26,3337,58.16,110,1.92,213,3.71,33,0.58,1,0.02,1,0.02,213,3.71,63,1.1
COMUNA 01,COMUNA 01,1001000009,7313,201,2.75,521,7.12,1961,26.82,3826,52.32,142,1.94,301,4.12,71,0.97,0,0.0,3,0.04,186,2.54,101,1.38
COMUNA 01,COMUNA 01,1001000010,8189,273,3.33,648,7.91,2199,26.85,4151,50.69,128,1.56,320,3.91,84,1.03,9,0.11,0,0.0,239,2.92,138,1.69
COMUNA 01,COMUNA 01,1001000011,8197,290,3.54,660,8.05,2968,36.21,3385,41.3,95,1.16,326,3.98,63,0.77,8,0.1,0,0.0,273,3.33,129,1.57
COMUNA 01,COMUNA 01,1001000012,7778,294,3.78,576,7.41,2880,37.03,3181,40.9,120,1.54,273,3.51,45,0.58,1,0.01,1,0.01,273,3.51,134,1.72
COMUNA 01,COMUNA 01,1001000013,8908,406,4.56,754,8.46,3347,37.57,3451,38.74,100,1.12,318,3.57,82,0.92,7,0.08,0,0.0,271,3.04,172,1.93
COMUNA 01,COMUNA 01,1001000014,3528,126,3.57,249,7.06,1259,35.69,1501,42.55,55,1.56,128,3.63,36,1.02,1,0.03,0,0.0,108,3.06,65,1.84
COMUNA 01,COMUNA 01,1001000015,5819,259,4.45,428,7.36,2541,43.67,2021,34.73,71,1.22,166,2.85,53,0.91,4,0.07,0,0.0,174,2.99,102,1.75
COMUNA 01,COMUNA 01,1001000016,5959,287,4.82,458,7.69,2397,40.22,2196,36.85,64,1.07,178,2.99,55,0.92,0,0.0,0,0.0,209,3.51,115,1.93
COMUNA 01,COMUNA 01,1001000017,8788,391,4.45,657,7.48,3681,41.89,3108,35.37,88,1.0,280,3.19,97,1.1,7,0.08,0,0.0,297,3.38,182,2.07
COMUNA 01,COMUNA 01,1001000018,4918,219,4.45,405,8.24,2172,44.16,1582,32.17,66,1.34,165,3.36,38,0.77,2,0.04,2,0.04,155,3.15,112,2.28
COMUNA 01,COMUNA 01,1001000019,7895,350,4.43,571,7.23,3638,46.08,2555,32.36,92,1.17,237,3.0,67,0.85,8,0.1,2,0.03,237,3.0,138,1.75
