NOMBRE_REGION,NOMBRE_REGION,VOTOS_TOTALES_PRES,VOTOS_FIT_PRES,PORCENTAJE_FIT_PRES,VOTOS_CF_PRES,PORCENTAJE_CF_PRES,VOTOS_FDT_PRES,PORCENTAJE_FDT_PRES,VOTOS_JXC_PRES,PORCENTAJE_JXC_PRES,VOTOS_NOS_PRES,PORCENTAJE_NOS_PRES,VOTOS_ULD_PRES,PORCENTAJE_ULD_PRES,VOTOS_NULO_PRES,PORCENTAJE_NULO_PRES,VOTOS_RECURRIDO_PRES,PORCENTAJE_RECURRIDO_PRES,VOTOS_IMPUGNADO_PRES,PORCENTAJE_IMPUGNADO_PRES,VOTOS_BLANCO_PRES,PORCENTAJE_BLANCO_PRES,VOTOS_OTROS_PRES,PORCENTAJE_OTROS_PRES
COMUNA 01,COMUNA 01,122034,4368,3.58,8305,6.81,42299,34.66,54568,44.72,1763,1.44,4106,3.36,1010,0.83,62,0.05,14,0.01,3674,3.01,1865,1.72
COMUNA 02,COMUNA 02,104294,2620,2.51,6604,6.33,19615,18.81,65519,62.82,1841,1.77,3627,3.48,756,0.72,39,0.04,21,0.02,2493,2.39,1159,1.67
COMUNA 03,COMUNA 03,117157,5124,4.37,9685,8.27,43139,36.82,46502,39.69,1419,1.21,4051,3.46,1299,1.11,25,0.02,7,0.01,3790,3.23,2116,0.41
COMUNA 04,COMUNA 04,136899,5798,4.24,10671,7.79,57837,42.25,47191,34.47,1622,1.18,4134,3.02,1426,1.04,36,0.03,35,0.03,5801,4.24,2348,1.07
COMUNA 05,COMUNA 05,121975,5740,4.71,11063,9.07,43785,35.9,48489,39.75,1260,1.03,4277,3.51,1182,0.97,38,0.03,15,0.01,3810,3.12,2316,0.54
COMUNA 06,COMUNA 06,127594,5248,4.11,12071,9.46,38548,30.21,58450,45.81,1084,0.85,4759,3.73,1199,0.94,40,0.03,9,0.01,3968,3.11,2218,0.9
COMUNA 07,COMUNA 07,134121,5247,3.91,12772,9.52,47901,35.71,53251,39.7,1444,1.08,5099,3.8,1325,0.99,52,0.04,55,0.04,4631,3.45,2344,1.1
COMUNA 08,COMUNA 08,107120,4018,3.75,8297,7.75,51803,48.36,31848,29.73,1421,1.33,2964,2.77,1246,1.16,45,0.04,68,0.06,3792,3.54,1618,1.38
COMUNA 09,COMUNA 09,116632,4568,3.92,11999,10.29,44797,38.41,42504,36.44,1395,1.2,4355,3.73,1253,1.07,28,0.02,30,0.03,3818,3.27,1885,1.69
COMUNA 10,COMUNA 10,118733,5148,4.34,12605,10.62,40478,34.09,47071,39.64,1477,1.24,4367,3.68,1362,1.15,68,0.06,23,0.02,4031,3.4,2103,1.57
COMUNA 11,COMUNA 11,137736,5461,3.96,14253,10.35,42788,31.07,60101,43.63,1546,1.12,5329,3.87,1541,1.12,42,0.03,21,0.02,4363,3.17,2291,1.72
COMUNA 12,COMUNA 12,152159,6180,4.06,14814,9.74,45793,30.1,69058,45.39,1621,1.07,5902,3.88,1527,1.0,33,0.02,27,0.02,4720,3.1,2484,1.93
COMUNA 13,COMUNA 13,168762,5457,3.23,12963,7.68,36370,21.55,97275,57.64,1848,1.1,6321,3.75,1410,0.84,36,0.02,16,0.01,4895,2.9,2171,1.84
COMUNA 14,COMUNA 14,156784,4675,2.98,11017,7.03,35605,22.71,90998,58.04,1777,1.13,5334,3.4,1222,0.78,39,0.02,26,0.02,4102,2.62,1989,1.75
COMUNA 15,COMUNA 15,128547,6094,4.74,11488,8.94,47133,36.67,50344,39.16,1074,0.84,4203,3.27,1358,1.06,61,0.05,16,0.01,4509,3.51,2267,1.93
