NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM1,VOTOS_BLANCO_COM1,PORCENTAJE_BLANCO_COM1
COMUNA 01,1001000001,7437,625,8.4
COMUNA 01,1001000002,6581,630,9.57
COMUNA 01,1001000003,3356,204,6.08
COMUNA 01,1001000005,5922,729,12.31
COMUNA 01,1001000006,11082,727,6.56
COMUNA 01,1001000007,5321,397,7.46
COMUNA 01,1001000008,5680,514,9.05
COMUNA 01,1001000009,7299,695,9.52
COMUNA 01,1001000010,8173,786,9.62
COMUNA 01,1001000011,8193,851,10.39
COMUNA 01,1001000012,7724,772,9.99
COMUNA 01,1001000013,8806,792,8.99
COMUNA 01,1001000014,3518,358,10.18
COMUNA 01,1001000015,5805,557,9.6
COMUNA 01,1001000016,5927,614,10.36
COMUNA 01,1001000017,8777,899,10.24
COMUNA 01,1001000018,4783,471,9.85
COMUNA 01,1001000019,7831,836,10.68
