NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM1,VOTOS_FIT_COM1,PORCENTAJE_FIT_COM1,VOTOS_CF_COM1,PORCENTAJE_CF_COM1,VOTOS_FDT_COM1,PORCENTAJE_FDT_COM1,VOTOS_JXC_COM1,PORCENTAJE_JXC_COM1,VOTOS_NULO_COM1,PORCENTAJE_NULO_COM1,VOTOS_RECURRIDO_COM1,PORCENTAJE_RECURRIDO_COM1,VOTOS_IMPUGNADO_COM1,PORCENTAJE_IMPUGNADO_COM1,VOTOS_BLANCO_COM1,PORCENTAJE_BLANCO_COM1
COMUNA 01,1001000001,7437,405,5.45,411,5.53,3023,40.65,2803,37.69,41,0.55,1,0.01,3,0.04,625,8.4
COMUNA 01,1001000002,6581,367,5.58,381,5.79,2714,41.24,2321,35.27,63,0.96,2,0.03,0,0.0,630,9.57
COMUNA 01,1001000003,3356,41,1.22,138,4.11,434,12.93,2505,74.64,9,0.27,1,0.03,0,0.0,204,6.08
COMUNA 01,1001000005,5922,211,3.56,177,2.99,3734,63.05,950,16.04,50,0.84,3,0.05,1,0.02,729,12.31
COMUNA 01,1001000006,11082,180,1.62,343,3.1,1071,9.66,8215,74.13,51,0.46,5,0.05,2,0.02,727,6.56
COMUNA 01,1001000007,5321,121,2.27,221,4.15,828,15.56,3477,65.34,40,0.75,0,0.0,0,0.0,397,7.46
COMUNA 01,1001000008,5680,150,2.64,298,5.25,1200,21.13,3326,58.56,27,0.48,1,0.02,1,0.02,514,9.05
COMUNA 01,1001000009,7299,215,2.95,435,5.96,1853,25.39,3907,53.53,63,0.86,0,0.0,1,0.01,695,9.52
COMUNA 01,1001000010,8173,314,3.84,523,6.4,2048,25.06,4186,51.22,74,0.91,9,0.11,0,0.0,786,9.62
COMUNA 01,1001000011,8193,332,4.05,538,6.57,2801,34.19,3423,41.78,59,0.72,9,0.11,0,0.0,851,10.39
COMUNA 01,1001000012,7724,364,4.71,482,6.24,2707,35.05,3227,41.78,39,0.5,1,0.01,1,0.01,772,9.99
COMUNA 01,1001000013,8806,452,5.13,650,7.38,3165,35.94,3505,39.8,65,0.74,11,0.12,1,0.01,792,8.99
COMUNA 01,1001000014,3518,133,3.78,205,5.83,1199,34.08,1525,43.35,31,0.88,1,0.03,0,0.0,358,10.18
COMUNA 01,1001000015,5805,285,4.91,364,6.27,2405,41.43,2039,35.12,48,0.83,4,0.07,0,0.0,557,9.6
COMUNA 01,1001000016,5927,332,5.6,368,6.21,2232,37.66,2240,37.79,45,0.76,0,0.0,0,0.0,614,10.36
COMUNA 01,1001000017,8777,436,4.97,542,6.18,3466,39.49,3154,35.93,91,1.04,8,0.09,0,0.0,899,10.24
COMUNA 01,1001000018,4783,223,4.66,330,6.9,2048,42.82,1593,33.31,29,0.61,2,0.04,0,0.0,471,9.85
COMUNA 01,1001000019,7831,373,4.76,475,6.07,3394,43.34,2560,32.69,56,0.72,8,0.1,0,0.0,836,10.68
