NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM1,VOTOS_NULO_COM1,PORCENTAJE_NULO_COM1
COMUNA 01,1001000001,7437,41,0.55
COMUNA 01,1001000002,6581,63,0.96
COMUNA 01,1001000003,3356,9,0.27
COMUNA 01,1001000005,5922,50,0.84
COMUNA 01,1001000006,11082,51,0.46
COMUNA 01,1001000007,5321,40,0.75
COMUNA 01,1001000008,5680,27,0.48
COMUNA 01,1001000009,7299,63,0.86
COMUNA 01,1001000010,8173,74,0.91
COMUNA 01,1001000011,8193,59,0.72
COMUNA 01,1001000012,7724,39,0.5
COMUNA 01,1001000013,8806,65,0.74
COMUNA 01,1001000014,3518,31,0.88
COMUNA 01,1001000015,5805,48,0.83
COMUNA 01,1001000016,5927,45,0.76
COMUNA 01,1001000017,8777,91,1.04
COMUNA 01,1001000018,4783,29,0.61
COMUNA 01,1001000019,7831,56,0.72
