NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM12,VOTOS_FIT_COM12,PORCENTAJE_FIT_COM12,VOTOS_CF_COM12,PORCENTAJE_CF_COM12,VOTOS_FDT_COM12,PORCENTAJE_FDT_COM12,VOTOS_JXC_COM12,PORCENTAJE_JXC_COM12,VOTOS_NULO_COM12,PORCENTAJE_NULO_COM12,VOTOS_RECURRIDO_COM12,PORCENTAJE_RECURRIDO_COM12,VOTOS_IMPUGNADO_COM12,PORCENTAJE_IMPUGNADO_COM12,VOTOS_BLANCO_COM12,PORCENTAJE_BLANCO_COM12,VOTOS_OTROS_COM12,PORCENTAJE_OTROS_COM12
COMUNA 12,1012000124,13313,611,4.59,1033,7.76,4466,33.55,5485,41.2,125,0.94,2,0.02,0,0.0,1338,10.05,253,1.9
COMUNA 12,1012000125,17353,822,4.74,1483,8.55,5190,29.91,7785,44.86,183,1.05,5,0.03,2,0.01,1596,9.2,287,1.65
COMUNA 12,1012000126,14554,716,4.92,1242,8.53,4488,30.84,6361,43.71,128,0.88,4,0.03,1,0.01,1387,9.53,227,1.56
COMUNA 12,1012000127,19326,757,3.92,1496,7.74,4550,23.54,10398,53.8,151,0.78,9,0.05,3,0.02,1665,8.62,297,1.54
COMUNA 12,1012000128,15845,763,4.82,1331,8.4,4515,28.49,7278,45.93,131,0.83,2,0.01,0,0.0,1537,9.7,288,1.82
COMUNA 12,1012000129,20568,879,4.27,1474,7.17,5644,27.44,10046,48.84,195,0.95,5,0.02,0,0.0,1946,9.46,379,1.84
COMUNA 12,1012000130,13754,630,4.58,982,7.14,3895,28.32,6647,48.33,104,0.76,3,0.02,0,0.0,1257,9.14,236,1.72
COMUNA 12,1012000131,4533,219,4.83,385,8.49,1262,27.84,2086,46.02,48,1.06,0,0.0,3,0.07,445,9.82,85,1.88
COMUNA 12,1012000132,15858,734,4.63,1245,7.85,4941,31.16,7030,44.33,165,1.04,5,0.03,34,0.21,1455,9.18,249,1.57
COMUNA 12,1012000133,16354,773,4.73,1327,8.11,4397,26.89,7966,48.71,147,0.9,2,0.01,0,0.0,1448,8.85,294,1.8
