NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM7,VOTOS_JXC_COM7,PORCENTAJE_JXC_COM7
COMUNA 07,1007000075,8194,3622,44.2
COMUNA 07,1007000076,13107,5658,43.17
COMUNA 07,1007000077,10239,3768,36.8
COMUNA 07,1007000078,8193,3077,37.56
COMUNA 07,1007000079,10072,4480,44.48
COMUNA 07,1007000080,10600,4623,43.61
COMUNA 07,1007000081,9824,4481,45.61
COMUNA 07,1007000082,11678,4998,42.8
COMUNA 07,1007000083,16300,8292,50.87
COMUNA 07,1007000084,8775,3533,40.26
COMUNA 07,1007000085,6062,2747,45.32
COMUNA 07,1007000086,21655,5409,24.98
