NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM7,VOTOS_RECURRIDO_COM7,PORCENTAJE_RECURRIDO_COM7
COMUNA 07,1007000075,8194,3,0.04
COMUNA 07,1007000076,13107,5,0.04
COMUNA 07,1007000077,10239,2,0.02
COMUNA 07,1007000078,8193,6,0.07
COMUNA 07,1007000079,10072,3,0.03
COMUNA 07,1007000080,10600,2,0.02
COMUNA 07,1007000081,9824,28,0.29
COMUNA 07,1007000082,11678,5,0.04
COMUNA 07,1007000083,16300,8,0.05
COMUNA 07,1007000084,8775,1,0.01
COMUNA 07,1007000085,6062,1,0.02
COMUNA 07,1007000086,21655,4,0.02
