NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_DIPNAC,VOTOS_FDT_DIPNAC,PORCENTAJE_FDT_DIPNAC
COMUNA 01,1001000001,7115,2815,39.56
COMUNA 01,1001000002,6635,2701,40.71
COMUNA 01,1001000003,3377,435,12.88
COMUNA 01,1001000005,5393,3372,62.53
COMUNA 01,1001000006,11100,1069,9.63
COMUNA 01,1001000007,5335,817,15.31
COMUNA 01,1001000008,5688,1197,21.04
COMUNA 01,1001000009,7309,1845,25.24
COMUNA 01,1001000010,8189,2025,24.73
COMUNA 01,1001000011,8197,2795,34.1
COMUNA 01,1001000012,7768,2700,34.76
COMUNA 01,1001000013,8890,3154,35.48
COMUNA 01,1001000014,3528,1205,34.16
COMUNA 01,1001000015,5820,2393,41.12
COMUNA 01,1001000016,5943,2250,37.86
COMUNA 01,1001000017,8778,3465,39.47
COMUNA 01,1001000018,4859,2041,42.0
COMUNA 01,1001000019,7851,3414,43.48
COMUNA 02,1002000020,6947,1290,18.57
COMUNA 02,1002000021,8080,740,9.16
COMUNA 02,1002000022,11875,2232,18.8
COMUNA 02,1002000023,14752,2775,18.81
COMUNA 02,1002000024,9689,1480,15.28
COMUNA 02,1002000025,9401,1235,13.14
COMUNA 02,1002000026,12226,1446,11.83
COMUNA 02,1002000027,9137,1889,20.67
COMUNA 02,1002000028,13207,3238,24.52
COMUNA 02,1002000029,8625,2102,24.37
COMUNA 03,1003000030,7979,2272,28.47
COMUNA 03,1003000031,8888,2538,28.56
COMUNA 03,1003000032,7974,2383,29.88
COMUNA 03,1003000033,6432,2089,32.48
COMUNA 03,1003000034,10020,3244,32.38
COMUNA 03,1003000035,9306,3445,37.02
COMUNA 03,1003000036,6278,2617,41.69
COMUNA 03,1003000037,8258,3064,37.1
COMUNA 03,1003000038,9107,3353,36.82
COMUNA 03,1003000039,9583,3385,35.32
COMUNA 03,1003000040,7371,2581,35.02
COMUNA 03,1003000041,13721,5230,38.12
COMUNA 03,1003000042,12062,4380,36.31
COMUNA 04,1004000043,9232,3398,36.81
COMUNA 04,1004000044,7311,2657,36.34
COMUNA 04,1004000045,5353,2211,41.3
COMUNA 04,1004000046,4881,1992,40.81
COMUNA 04,1004000047,11181,6563,58.7
COMUNA 04,1004000048,10295,3565,34.63
COMUNA 04,1004000049,9129,3484,38.16
COMUNA 04,1004000050,10959,3269,29.83
COMUNA 04,1004000051,8034,2447,30.46
COMUNA 04,1004000052,9454,4069,43.04
COMUNA 04,1004000053,10692,4565,42.7
COMUNA 04,1004000054,11477,4283,37.32
COMUNA 04,1004000055,7420,3133,42.22
COMUNA 04,1004000056,6864,2890,42.1
COMUNA 04,1004000057,14630,5534,37.83
COMUNA 05,1005000058,10877,4086,37.57
COMUNA 05,1005000059,10361,3926,37.89
COMUNA 05,1005000060,12266,4313,35.16
COMUNA 05,1005000061,11723,3586,30.59
COMUNA 05,1005000062,8034,2828,35.2
COMUNA 05,1005000063,15526,4976,32.05
COMUNA 05,1005000064,16714,5537,33.13
COMUNA 05,1005000065,10516,3411,32.44
COMUNA 05,1005000066,10193,3328,32.65
COMUNA 05,1005000067,15739,5102,32.42
COMUNA 06,1006000068,15765,4949,31.39
COMUNA 06,1006000069,22535,5711,25.34
COMUNA 06,1006000070,20684,6166,29.81
COMUNA 06,1006000071,24724,6643,26.87
COMUNA 06,1006000072,10770,3536,32.83
COMUNA 06,1006000073,13842,4299,31.06
COMUNA 06,1006000074,19277,4713,24.45
COMUNA 07,1007000075,8275,2581,31.19
COMUNA 07,1007000076,13207,4243,32.13
COMUNA 07,1007000077,10308,3815,37.01
COMUNA 07,1007000078,8195,3086,37.66
COMUNA 07,1007000079,10047,3047,30.33
COMUNA 07,1007000080,10633,3161,29.73
COMUNA 07,1007000081,9827,2846,28.96
COMUNA 07,1007000082,11287,3420,30.3
COMUNA 07,1007000083,16283,4009,24.62
COMUNA 07,1007000084,8838,2928,33.13
COMUNA 07,1007000085,6063,1701,28.06
COMUNA 07,1007000086,20925,10197,48.73
COMUNA 08,1008000087,22915,12362,53.95
